dataset,model,cal_size,test_size,n_classes,MS_brier,MS_logloss,MS_ece-15,MS_accuracy,MS_time
MIC,TabPFN-v2.6,1132,567,8,0.1822047084569931,0.4804667532444,0.042543187737464905,0.8871251940727234,0.2210926776751876
SDSS17,TabPFN-v2.6,52035,26018,3,0.03435555472970009,0.06748944520950317,0.0012877886183559895,0.9788607954978943,0.23277039919048548
anneal,TabPFN-v2.6,598,300,5,0.01787494495511055,0.2691386938095093,0.010641721077263355,0.9866666793823242,0.09000994637608528
hiva_agnostic,TabPFN-v2.6,2563,1282,3,0.06838712841272354,0.1745734065771103,0.00042945146560668945,0.9648985862731934,0.02472558431327343
maternal_health_risk,TabPFN-v2.6,676,338,3,0.1913241297006607,0.3677939474582672,0.050664711743593216,0.8727810382843018,0.0305226044729352
splice,TabPFN-v2.6,2126,1064,3,0.03677060082554817,0.08063342422246933,0.01428765058517456,0.9774436354637146,0.01893783826380968
students_dropout_and_academic_success,TabPFN-v2.6,2949,1475,3,0.311850905418396,0.5502750873565674,0.027236131951212883,0.7830508351325989,0.027262628078460693
website_phishing,TabPFN-v2.6,902,451,3,0.11107996106147766,0.2103434056043625,0.02422722615301609,0.9312638640403748,0.023439659737050533
MIC,TabICLv2,1132,567,8,0.1855475753545761,0.5030068159103394,0.042168255895376205,0.8853615522384644,0.19488206040114164
SDSS17,TabICLv2,52035,26018,3,0.03527769073843956,0.07096870243549347,0.001362886163406074,0.978553295135498,0.24392792116850615
anneal,TabICLv2,598,300,5,0.007040778174996376,0.12674576044082642,0.0029786357190459967,0.996666669845581,0.08804430440068245
hiva_agnostic,TabICLv2,2563,1282,3,0.06838884949684143,0.1749281883239746,0.0006239613285288215,0.9648985862731934,0.042497566901147366
maternal_health_risk,TabICLv2,676,338,3,0.17578153312206268,0.3461707830429077,0.03920792043209076,0.8846153616905212,0.02972180675715208
splice,TabICLv2,2126,1064,3,0.03475590795278549,0.07626304775476456,0.01411366555839777,0.981203019618988,0.023294543847441673
students_dropout_and_academic_success,TabICLv2,2949,1475,3,0.3107708990573883,0.5469432473182678,0.0216040201485157,0.7762711644172668,0.01929956115782261
website_phishing,TabICLv2,902,451,3,0.10875534266233444,0.20693285763263702,0.026769254356622696,0.9334811568260193,0.02679887507110834
MIC,RealTabPFN-v2.5,1132,567,8,0.1815951019525528,0.4787020683288574,0.04052608832716942,0.8906525373458862,0.19824345409870148
SDSS17,RealTabPFN-v2.5,52035,26018,3,0.03236955404281616,0.06544789671897888,0.001321174786426127,0.9803212881088257,0.25334319192916155
anneal,RealTabPFN-v2.5,598,300,5,0.007165119517594576,0.02272503450512886,0.004892739001661539,0.996666669845581,0.054651761427521706
hiva_agnostic,RealTabPFN-v2.5,2563,1282,3,0.06825806200504303,0.17370402812957764,0.0004608631134033203,0.9648985862731934,0.03250014781951904
maternal_health_risk,RealTabPFN-v2.5,676,338,3,0.20479190349578857,0.38534310460090637,0.051601048558950424,0.8757396340370178,0.029561007395386696
splice,RealTabPFN-v2.5,2126,1064,3,0.03961209952831268,0.08551424741744995,0.01304028369486332,0.9736841917037964,0.022471518255770206
students_dropout_and_academic_success,RealTabPFN-v2.5,2949,1475,3,0.30874475836753845,0.546320378780365,0.01571282558143139,0.7884745597839355,0.024433976039290428
website_phishing,RealTabPFN-v2.5,902,451,3,0.11530102044343948,0.22043083608150482,0.029192164540290833,0.9290465712547302,0.03343308437615633
MIC,TabICL_GPU,1132,567,8,0.19390584528446198,0.5328261256217957,0.03675144538283348,0.8835979104042053,0.2219594633206725
SDSS17,TabICL_GPU,52035,26018,3,0.037939753383398056,0.07488391548395157,0.0025242604315280914,0.9767468571662903,0.38574868999421597
anneal,TabICL_GPU,598,300,5,0.025391774252057076,0.11531800776720047,0.010664425790309906,0.9833333492279053,0.10322926566004753
maternal_health_risk,TabICL_GPU,676,338,3,0.18087255954742432,0.3613737225532532,0.032726045697927475,0.88165682554245,0.027431455440819263
splice,TabICL_GPU,2126,1064,3,0.07651185989379883,0.14270445704460144,0.012444894760847092,0.9483082890510559,0.02487198729068041
students_dropout_and_academic_success,TabICL_GPU,2949,1475,3,0.3211906850337982,0.5656537413597107,0.025801710784435272,0.7681356072425842,0.02524098288267851
website_phishing,TabICL_GPU,902,451,3,0.11239296197891235,0.20762483775615692,0.029730651527643204,0.9334811568260193,0.02476888708770275
MIC,LimiX_GPU,1132,567,8,0.18951515853405,0.5105658173561096,0.044271327555179596,0.8818342089653015,0.18215413205325603
anneal,LimiX_GPU,598,300,5,0.007219997234642506,0.019423723220825195,0.004054786171764135,0.996666669845581,0.04580099880695343
hiva_agnostic,LimiX_GPU,2563,1282,3,0.06841886043548584,0.17632168531417847,0.0008315517916344106,0.9648985862731934,0.03129548765718937
maternal_health_risk,LimiX_GPU,676,338,3,0.19153915345668793,0.37066709995269775,0.04623384401202202,0.88165682554245,0.0321736466139555
splice,LimiX_GPU,2126,1064,3,0.036677516996860504,0.08135682344436646,0.017418064177036285,0.9821428656578064,0.02354863751679659
students_dropout_and_academic_success,LimiX_GPU,2949,1475,3,0.3160100281238556,0.5571066737174988,0.03390079364180565,0.7769491672515869,0.025753485970199108
website_phishing,LimiX_GPU,902,451,3,0.1156628206372261,0.21476411819458008,0.026789145544171333,0.9290465712547302,0.021767886355519295
MIC,TabM_GPU,1132,567,8,0.18289662897586823,0.4707046449184418,0.044266488403081894,0.8888888955116272,0.15976350847631693
SDSS17,TabM_GPU,52035,26018,3,0.04038705676794052,0.08058469742536545,0.0022251266054809093,0.9751710295677185,0.38832981139421463
anneal,TabM_GPU,598,300,5,0.0101255988702178,0.037212032824754715,0.006344502791762352,0.996666669845581,0.07218201737850904
hiva_agnostic,TabM_GPU,2563,1282,3,0.06827857345342636,0.17410361766815186,0.00015604496002197266,0.9648985862731934,0.018730925396084785
maternal_health_risk,TabM_GPU,676,338,3,0.26293033361434937,0.4737790822982788,0.07305943220853806,0.8254438042640686,0.02564635593444109
splice,TabM_GPU,2126,1064,3,0.0415007509291172,0.09225063025951385,0.015697909519076347,0.9755638837814331,0.029836989007890224
students_dropout_and_academic_success,TabM_GPU,2949,1475,3,0.3183613717556,0.5632980465888977,0.02664981782436371,0.7735593318939209,0.03197631984949112
website_phishing,TabM_GPU,902,451,3,0.1202709823846817,0.2292882204055786,0.020826511085033417,0.9246119856834412,0.02487370651215315
MIC,RealMLP_GPU,1132,567,8,0.18282993137836456,0.4716898202896118,0.03149024397134781,0.8888888955116272,0.13345743250101805
SDSS17,RealMLP_GPU,52035,26018,3,0.04263294115662575,0.08555508404970169,0.002127091633155942,0.9741716980934143,0.23879848886281252
anneal,RealMLP_GPU,598,300,5,0.023486889898777008,0.6832078695297241,0.01285207737237215,0.9866666793823242,0.031671841628849506
hiva_agnostic,RealMLP_GPU,2563,1282,3,0.06845308095216751,0.17559024691581726,0.000506628945004195,0.9648985862731934,0.022957622073590755
maternal_health_risk,RealMLP_GPU,676,338,3,0.20975586771965027,0.3994491994380951,0.07952076196670532,0.8846153616905212,0.027059455402195454
splice,RealMLP_GPU,2126,1064,3,0.03956378251314163,0.08655164390802383,0.014784104190766811,0.9765037298202515,0.030176501721143723
students_dropout_and_academic_success,RealMLP_GPU,2949,1475,3,0.31543871760368347,0.5589389204978943,0.024342309683561325,0.7830508351325989,0.03038553148508072
website_phishing,RealMLP_GPU,902,451,3,0.11735367774963379,0.21031293272972107,0.02898554690182209,0.9268292784690857,0.03341519087553024
MIC,BetaTabPFN_GPU,1132,567,8,0.18014557659626007,0.45179206132888794,0.04736391454935074,0.8888888955116272,0.1583166429772973
SDSS17,BetaTabPFN_GPU,52035,26018,3,0.04756855219602585,0.09451033920049667,0.003455637488514185,0.9712506532669067,0.3687270088121295
anneal,BetaTabPFN_GPU,598,300,5,0.019999999552965164,0.6881347894668579,0.009999573230743408,0.9900000095367432,0.027914022095501423
hiva_agnostic,BetaTabPFN_GPU,2563,1282,3,0.06826088577508926,0.17370453476905823,7.718801498413086e-05,0.9648985862731934,0.029513109475374222
maternal_health_risk,BetaTabPFN_GPU,676,338,3,0.28305500745773315,0.49875420331954956,0.08488941937685013,0.8284023404121399,0.027646404691040516
splice,BetaTabPFN_GPU,2126,1064,3,0.03980204835534096,0.08561525493860245,0.015573586337268353,0.9746240377426147,0.02798324264585972
students_dropout_and_academic_success,BetaTabPFN_GPU,2949,1475,3,0.31967636942863464,0.567040205001831,0.03281736746430397,0.7735593318939209,0.030512508936226368
website_phishing,BetaTabPFN_GPU,902,451,3,0.12864142656326294,0.23366747796535492,0.023110555484890938,0.9179601073265076,0.028635886497795582
MIC,ModernNCA_GPU,1132,567,8,0.18170325458049774,0.4527185261249542,0.030722400173544884,0.8906525373458862,0.18412973638623953
SDSS17,ModernNCA_GPU,52035,26018,3,0.037945929914712906,0.07476475834846497,0.003044922137632966,0.9760934710502625,0.3234546408057213
anneal,ModernNCA_GPU,598,300,5,0.02503376081585884,0.3861681818962097,0.013400502502918243,0.9866666793823242,0.0244461502879858
hiva_agnostic,ModernNCA_GPU,2563,1282,3,0.06851708889007568,0.17651782929897308,0.002919329795986414,0.9648985862731934,0.035007283091545105
maternal_health_risk,ModernNCA_GPU,676,338,3,0.21320347487926483,0.39863771200180054,0.03730838745832443,0.860946774482727,0.030177904292941093
splice,ModernNCA_GPU,2126,1064,3,0.04931565746665001,0.10756649821996689,0.03268924728035927,0.9755638837814331,0.028651134110987186
students_dropout_and_academic_success,ModernNCA_GPU,2949,1475,3,0.3225097954273224,0.5709595680236816,0.023603837937116623,0.7783051133155823,0.030317514203488827
website_phishing,ModernNCA_GPU,902,451,3,0.12692922353744507,0.23176969587802887,0.02199302241206169,0.9179601073265076,0.02686910517513752
MIC,Mitra_GPU,1132,567,8,0.18278557062149048,0.4732080399990082,0.04261879250407219,0.8853615522384644,0.18234254233539104
anneal,Mitra_GPU,598,300,5,0.009253916330635548,0.029338832944631577,0.0075003160163760185,0.996666669845581,0.04776504822075367
maternal_health_risk,Mitra_GPU,676,338,3,0.19642779231071472,0.382690966129303,0.05718694627285004,0.88165682554245,0.029545611701905727
splice,Mitra_GPU,2126,1064,3,0.042114630341529846,0.0896260216832161,0.016748527064919472,0.972744345664978,0.024176139384508133
students_dropout_and_academic_success,Mitra_GPU,2949,1475,3,0.3130189776420593,0.5545331835746765,0.025032510980963707,0.7715254426002502,0.022153408266603947
website_phishing,Mitra_GPU,902,451,3,0.11641768366098404,0.22148779034614563,0.03126547113060951,0.9312638640403748,0.03090595081448555
