dataset,model,cal_size,test_size,n_classes,CatBoost_brier,CatBoost_logloss,CatBoost_ece-15,CatBoost_accuracy,CatBoost_time
MIC,TabPFN-v2.6,1132,567,8,0.1811417067333244,0.46401772528788837,0.03256772831082344,0.8888888955116272,1.3220023941248655
SDSS17,TabPFN-v2.6,52035,26018,3,0.03428176860197368,0.0675628312569901,0.001081479829736054,0.9788607954978943,10.98900178167969
anneal,TabPFN-v2.6,598,300,5,0.007396061156519821,0.02574042627676232,0.002572468016296625,0.996666669845581,3.1662995303049684
hiva_agnostic,TabPFN-v2.6,2563,1282,3,0.06858902903294468,0.17651132607934092,0.0005753460573032498,0.9648985862731934,0.7379886759445071
maternal_health_risk,TabPFN-v2.6,676,338,3,0.1881630740954825,0.36463513928619046,0.045784734189510345,0.8698225021362305,0.5335529837757349
splice,TabPFN-v2.6,2126,1064,3,0.03495491231900214,0.07643322262090153,0.0129252253100276,0.9755638837814331,0.7831315929070115
students_dropout_and_academic_success,TabPFN-v2.6,2949,1475,3,0.31491407868356874,0.5580927922682343,0.03247823566198349,0.7810169458389282,0.870410124771297
website_phishing,TabPFN-v2.6,902,451,3,0.1107182056392027,0.2041134660538237,0.015084861777722836,0.9290465712547302,0.6068346668034792
MIC,TabICLv2,1132,567,8,0.18542054746606296,0.4720235906048895,0.03273243084549904,0.8871251940727234,1.3866731747984886
SDSS17,TabICLv2,52035,26018,3,0.03539309638096633,0.07130637714428602,0.0020305365324020386,0.9782842397689819,10.634118229150772
anneal,TabICLv2,598,300,5,0.011533794780682035,0.036637423663386806,0.010145659558475018,0.996666669845581,2.2156937904655933
hiva_agnostic,TabICLv2,2563,1282,3,0.06856415786180972,0.1766758372793794,0.0029131039045751095,0.9648985862731934,0.5686446214094758
maternal_health_risk,TabICLv2,676,338,3,0.18075826897625602,0.3522857613484063,0.033464036881923676,0.88165682554245,0.6967629697173834
splice,TabICLv2,2126,1064,3,0.03395758401905202,0.0749232993984494,0.013124724850058556,0.9774436354637146,0.7338225832208991
students_dropout_and_academic_success,TabICLv2,2949,1475,3,0.3123642785786167,0.5549371984912037,0.02950068563222885,0.7823728919029236,0.7693304214626551
website_phishing,TabICLv2,902,451,3,0.10813685023342204,0.2021085806148614,0.02527598664164543,0.9379157423973083,0.5513693615794182
MIC,RealTabPFN-v2.5,1132,567,8,0.18141086595066996,0.4638908683627015,0.0311654731631279,0.8853615522384644,1.0906704468652606
SDSS17,RealTabPFN-v2.5,52035,26018,3,0.03202471818271216,0.06466458963478562,0.0007438727770932019,0.9807441234588623,10.935321054421365
anneal,RealTabPFN-v2.5,598,300,5,0.010595456209095949,0.029759323631440106,0.004220471251755953,0.9933333396911621,2.0345469899475574
hiva_agnostic,RealTabPFN-v2.5,2563,1282,3,0.06834003635612852,0.1744775456256857,0.0011665821075439453,0.9648985862731934,0.5705288862809539
maternal_health_risk,RealTabPFN-v2.5,676,338,3,0.20151623931704307,0.3893900926010755,0.04287923499941826,0.8668639063835144,0.5861782124266028
splice,RealTabPFN-v2.5,2126,1064,3,0.039201000621613906,0.08537116946903879,0.009579641744494438,0.9746240377426147,0.6130308900028467
students_dropout_and_academic_success,RealTabPFN-v2.5,2949,1475,3,0.31242852254396514,0.5536534665667636,0.0276040006428957,0.7762711644172668,0.8081560954451561
website_phishing,RealTabPFN-v2.5,902,451,3,0.11133847764455011,0.20390979031454948,0.01878068782389164,0.9290465712547302,0.6855521202087402
MIC,TabICL_GPU,1132,567,8,0.1934933903166221,0.49451781491896624,0.024064434692263603,0.8835979104042053,1.0071916272863746
