dataset,model,cal_size,test_size,n_classes,CatBoost_brier,CatBoost_logloss,CatBoost_ece-15,CatBoost_accuracy,CatBoost_time
SDSS17,TabICL_GPU,52035,26018,3,0.038229670638738514,0.07576096402101162,0.0021319969091564417,0.9763625264167786,11.383334586396813
anneal,TabICL_GPU,598,300,5,0.0262301388741754,0.05344726803008654,0.011089678853750229,0.9800000190734863,2.354664793238044
maternal_health_risk,TabICL_GPU,676,338,3,0.1870919289020463,0.3614584603665398,0.033760011196136475,0.8757396340370178,0.5740793691948056
splice,TabICL_GPU,2126,1064,3,0.07457214698949372,0.1439941489660814,0.007762290071696043,0.9501879811286926,0.7517311004921794
students_dropout_and_academic_success,TabICL_GPU,2949,1475,3,0.3241558833362746,0.5741466488098041,0.026587393134832382,0.7647457718849182,0.9007400376722217
website_phishing,TabICL_GPU,902,451,3,0.11090770156402686,0.20451163987068022,0.019491776823997498,0.9268292784690857,0.5930429864674807
MIC,LimiX_GPU,1132,567,8,0.1903405957750622,0.490097214989055,0.026822566986083984,0.8835979104042053,1.0570055600255728
anneal,LimiX_GPU,598,300,5,0.014780695397230691,0.034825084644166684,0.011905335821211338,0.9900000095367432,2.4114092038944364
hiva_agnostic,LimiX_GPU,2563,1282,3,0.06866030502333488,0.17718165757353582,0.001534848241135478,0.9648985862731934,0.6413878807798028
maternal_health_risk,LimiX_GPU,676,338,3,0.18634248350103877,0.36032389420321687,0.04341194033622742,0.8934911489486694,0.4645688747987151
splice,LimiX_GPU,2126,1064,3,0.03346237030102499,0.07885171358701894,0.013572178781032562,0.9830827116966248,0.8453647354617715
students_dropout_and_academic_success,LimiX_GPU,2949,1475,3,0.3203016679211743,0.566499961526051,0.016576386988162994,0.7722033858299255,0.8523108791559935
website_phishing,LimiX_GPU,902,451,3,0.11311262222483648,0.21154808664668437,0.030356809496879578,0.9312638640403748,0.5412612734362483
MIC,TabM_GPU,1132,567,8,0.1842412610499632,0.46767690451637395,0.02689385414123535,0.8871251940727234,1.0719597022980452
SDSS17,TabM_GPU,52035,26018,3,0.04010020309044073,0.08026673327713654,0.002264399081468582,0.9750557541847229,9.5896688811481
anneal,TabM_GPU,598,300,5,0.013110174125417245,0.038403181491263066,0.007154164835810661,0.9900000095367432,2.507625817321241
hiva_agnostic,TabM_GPU,2563,1282,3,0.06841497404435862,0.17640448660264277,0.0037792325019836426,0.9648985862731934,0.5438970038667321
maternal_health_risk,TabM_GPU,676,338,3,0.2783289897967874,0.49030330695350016,0.06576844304800034,0.8047337532043457,0.634747700765729
splice,TabM_GPU,2126,1064,3,0.04089040653258256,0.08745011422719416,0.012328785844147205,0.9736841917037964,0.7072661658748984
students_dropout_and_academic_success,TabM_GPU,2949,1475,3,0.3206228519994744,0.5691115804994247,0.029700931161642075,0.7688135504722595,0.7652236437425017
website_phishing,TabM_GPU,902,451,3,0.11941066350146279,0.2193284723616673,0.017061568796634674,0.9135255217552185,0.540365188382566
MIC,RealMLP_GPU,1132,567,8,0.18484003584587405,0.4676235420130124,0.026264037936925888,0.8871251940727234,1.0704778218641877
SDSS17,RealMLP_GPU,52035,26018,3,0.042273620933961205,0.08522682428537622,0.003711166325956583,0.9746713638305664,12.876092755235732
anneal,RealMLP_GPU,598,300,5,0.018660251681452827,0.04419712252173095,0.006685265805572271,0.9866666793823242,2.585820270702243
hiva_agnostic,RealMLP_GPU,2563,1282,3,0.06836434272328454,0.17472361813553175,0.0012044988106936216,0.9648985862731934,0.6823078989982605
maternal_health_risk,RealMLP_GPU,676,338,3,0.2178462744249146,0.4044128246321699,0.06677300482988358,0.8698225021362305,0.5259380871430039
splice,RealMLP_GPU,2126,1064,3,0.03859535349301312,0.08238266178601958,0.008649581111967564,0.9755638837814331,0.7795081231743097
students_dropout_and_academic_success,RealMLP_GPU,2949,1475,3,0.3159553997953745,0.55962366435732,0.02754451334476471,0.783728837966919,1.0353506300598383
website_phishing,RealMLP_GPU,902,451,3,0.12044904737047366,0.2162035622848748,0.03501046448945999,0.9201774001121521,0.6783239329233766
MIC,BetaTabPFN_GPU,1132,567,8,0.18320470612580936,0.46567755075083733,0.032288502901792526,0.8906525373458862,1.0312192356213927
SDSS17,BetaTabPFN_GPU,52035,26018,3,0.047331048125112185,0.0939612316391532,0.003934962674975395,0.9715965986251831,11.810681471601129
anneal,BetaTabPFN_GPU,598,300,5,0.019877448485601246,0.0572986502698198,0.010043833404779434,0.9900000095367432,2.4071871479973197
hiva_agnostic,BetaTabPFN_GPU,2563,1282,3,0.06830029257277394,0.17413706371195833,0.000974118709564209,0.9648985862731934,0.571069753728807
maternal_health_risk,BetaTabPFN_GPU,676,338,3,0.3043026880038079,0.5305178422018165,0.04794606566429138,0.7928994297981262,0.7312452923506498
splice,BetaTabPFN_GPU,2126,1064,3,0.03900085931267848,0.08427095314163215,0.00995426345616579,0.9755638837814331,0.7116867303848267
students_dropout_and_academic_success,BetaTabPFN_GPU,2949,1475,3,0.3198016153174749,0.5686926263584019,0.01654558815062046,0.7694915533065796,0.7997760064899921
website_phishing,BetaTabPFN_GPU,902,451,3,0.12945369819130376,0.2346602049655664,0.019158324226737022,0.9223946928977966,0.5666640000417829
MIC,ModernNCA_GPU,1132,567,8,0.1833583280668215,0.46582917875279767,0.03912670910358429,0.8888888955116272,1.0108426148071885
SDSS17,ModernNCA_GPU,52035,26018,3,0.03794150094751306,0.07494217202693444,0.0025478864554315805,0.9764778017997742,7.823930404148996
anneal,ModernNCA_GPU,598,300,5,0.01680308064328927,0.043588548390198885,0.00835007056593895,0.9900000095367432,4.5931755574420094
hiva_agnostic,ModernNCA_GPU,2563,1282,3,0.06840141012608572,0.17490095938977124,0.004427008796483278,0.9648985862731934,0.6002212278544903
maternal_health_risk,ModernNCA_GPU,676,338,3,0.22321651561629818,0.3996056772537163,0.03360194340348244,0.8431952595710754,0.530226749368012
splice,ModernNCA_GPU,2126,1064,3,0.04145165755794955,0.09311447477671472,0.02003403753042221,0.9736841917037964,0.6629272224381566
students_dropout_and_academic_success,ModernNCA_GPU,2949,1475,3,0.32464123910803133,0.5765574311628144,0.02248922362923622,0.7769491672515869,0.8540180623531342
website_phishing,ModernNCA_GPU,902,451,3,0.13006492765141467,0.23246994984510272,0.03204075247049332,0.911308228969574,0.8532024621963501
