dataset,model,cal_size,test_size,n_classes,TS_brier,TS_logloss,TS_ece-15,TS_accuracy,TS_time
MIC,TabPFN-v2.6,1132,567,8,0.1790030300617218,0.4478168785572052,0.042794935405254364,0.8871251940727234,0.02648087404668331
SDSS17,TabPFN-v2.6,52035,26018,3,0.03442066162824631,0.06764781475067139,0.0006261359667405486,0.9789376854896545,0.18369910586625338
anneal,TabPFN-v2.6,598,300,5,0.007101690862327814,0.027274239808321,0.0036529903300106525,0.996666669845581,0.005829228088259697
hiva_agnostic,TabPFN-v2.6,2563,1282,3,0.06839258968830109,0.17513911426067352,0.00030739279463887215,0.9648985862731934,0.011588206514716148
maternal_health_risk,TabPFN-v2.6,676,338,3,0.19107095897197723,0.36950016021728516,0.05018401890993118,0.88165682554245,0.00517605897039175
splice,TabPFN-v2.6,2126,1064,3,0.03692123293876648,0.08066969364881516,0.013418767601251602,0.9765037298202515,0.010215368121862411
students_dropout_and_academic_success,TabPFN-v2.6,2949,1475,3,0.3114096522331238,0.549698531627655,0.024505093693733215,0.7810169458389282,0.013066279701888561
website_phishing,TabPFN-v2.6,902,451,3,0.11308639496564865,0.20519158244132996,0.021006891503930092,0.9312638640403748,0.006035638973116875
MIC,TabICLv2,1132,567,8,0.18189002573490143,0.4608210325241089,0.03162969648838043,0.89241623878479,0.01022415328770876
SDSS17,TabICLv2,52035,26018,3,0.03537248820066452,0.07112956792116165,0.001289442996494472,0.9784764647483826,0.17912410199642181
anneal,TabICLv2,598,300,5,0.013251536525785923,0.03312994912266731,0.0066583044826984406,0.9933333396911621,0.0058859484270215034
hiva_agnostic,TabICLv2,2563,1282,3,0.06923173367977142,0.18030060827732086,0.006806512828916311,0.9648985862731934,0.01182324904948473
maternal_health_risk,TabICLv2,676,338,3,0.17922358214855194,0.35404127836227417,0.04066484421491623,0.8875739574432373,0.005292225629091263
splice,TabICLv2,2126,1064,3,0.034959178417921066,0.07668008655309677,0.01578175090253353,0.981203019618988,0.010214217007160187
students_dropout_and_academic_success,TabICLv2,2949,1475,3,0.3105835020542145,0.546513020992279,0.02059350162744522,0.7803390026092529,0.013121375814080238
website_phishing,TabICLv2,902,451,3,0.1104516014456749,0.2027120143175125,0.020990189164876938,0.9312638640403748,0.006029210053384304
MIC,RealTabPFN-v2.5,1132,567,8,0.17873206734657288,0.4460069239139557,0.027689438313245773,0.8888888955116272,0.010472128167748451
SDSS17,RealTabPFN-v2.5,52035,26018,3,0.033074960112571716,0.0667128786444664,0.001772328861989081,0.9798600673675537,0.1837087720632553
anneal,RealTabPFN-v2.5,598,300,5,0.007249334827065468,0.020868174731731415,0.006034844554960728,0.996666669845581,0.005759716033935547
hiva_agnostic,RealTabPFN-v2.5,2563,1282,3,0.06841527670621872,0.1752193123102188,0.001416921615600586,0.9648985862731934,0.011817245744168758
maternal_health_risk,RealTabPFN-v2.5,676,338,3,0.2049035131931305,0.3850522041320801,0.0796394944190979,0.8727810382843018,0.005295568145811558
splice,RealTabPFN-v2.5,2126,1064,3,0.04008537530899048,0.08644194155931473,0.013576670549809933,0.9736841917037964,0.010273974388837814
students_dropout_and_academic_success,RealTabPFN-v2.5,2949,1475,3,0.30800798535346985,0.5450946092605591,0.020340127870440483,0.7877966165542603,0.013109221123158932
website_phishing,RealTabPFN-v2.5,902,451,3,0.11595215648412704,0.20882613956928253,0.026170963421463966,0.9268292784690857,0.006155543029308319
MIC,TabICL_GPU,1132,567,8,0.19000594317913055,0.47801679372787476,0.03558886796236038,0.8853615522384644,0.010400135070085526
SDSS17,TabICL_GPU,52035,26018,3,0.03839373588562012,0.07572536170482635,0.0024777082726359367,0.9765162467956543,0.1830545999109745
anneal,TabICL_GPU,598,300,5,0.019432397559285164,0.043036360293626785,0.014808181673288345,0.9866666793823242,0.005820856429636478
maternal_health_risk,TabICL_GPU,676,338,3,0.1833636313676834,0.3631710112094879,0.03915945813059807,0.8875739574432373,0.005253595300018787
splice,TabICL_GPU,2126,1064,3,0.07577421516180038,0.14198610186576843,0.014192013069987297,0.9501879811286926,0.010214070789515972
students_dropout_and_academic_success,TabICL_GPU,2949,1475,3,0.3204493522644043,0.5647484064102173,0.02054128237068653,0.7667796611785889,0.01309039257466793
website_phishing,TabICL_GPU,902,451,3,0.1141960471868515,0.2045350819826126,0.02165587618947029,0.9312638640403748,0.005892651155591011
MIC,LimiX_GPU,1132,567,8,0.1855303794145584,0.4738055169582367,0.04275462031364441,0.8871251940727234,0.010312847793102264
anneal,LimiX_GPU,598,300,5,0.007068471983075142,0.019528815522789955,0.003522828221321106,0.996666669845581,0.005683135241270065
hiva_agnostic,LimiX_GPU,2563,1282,3,0.0683659091591835,0.17401570081710815,0.0012384511064738035,0.9648985862731934,0.011708940379321575
maternal_health_risk,LimiX_GPU,676,338,3,0.19181933999061584,0.3805994391441345,0.061835214495658875,0.8934911489486694,0.005244413390755653
splice,LimiX_GPU,2126,1064,3,0.037664130330085754,0.08279172331094742,0.016648951917886734,0.9802631735801697,0.010209850035607815
students_dropout_and_academic_success,LimiX_GPU,2949,1475,3,0.31480151414871216,0.5550111532211304,0.029250528663396835,0.7776271104812622,0.01310060080140829
website_phishing,LimiX_GPU,902,451,3,0.11869724094867706,0.21615289151668549,0.02115199901163578,0.9268292784690857,0.00584251806139946
MIC,TabM_GPU,1132,567,8,0.17978772521018982,0.44711658358573914,0.02619911916553974,0.8906525373458862,0.01017765048891306
SDSS17,TabM_GPU,52035,26018,3,0.04162273928523064,0.0828549936413765,0.003409593366086483,0.9741716980934143,0.18827348109334707
anneal,TabM_GPU,598,300,5,0.009513318538665771,0.04042750969529152,0.006264289375394583,0.996666669845581,0.005814895033836365
hiva_agnostic,TabM_GPU,2563,1282,3,0.06826527416706085,0.17386430501937866,0.0001240372657775879,0.9648985862731934,0.01168149709701538
maternal_health_risk,TabM_GPU,676,338,3,0.26130175590515137,0.4768293499946594,0.0994623675942421,0.8520709872245789,0.005187652073800564
splice,TabM_GPU,2126,1064,3,0.046291742473840714,0.09739045053720474,0.012444318272173405,0.9708646535873413,0.010542336851358414
students_dropout_and_academic_success,TabM_GPU,2949,1475,3,0.31751587986946106,0.5617331266403198,0.01957939937710762,0.7728813290596008,0.013158787973225117
website_phishing,TabM_GPU,902,451,3,0.12143208086490631,0.22121672332286835,0.03390369936823845,0.9223946928977966,0.006013697944581509
MIC,RealMLP_GPU,1132,567,8,0.1809125393629074,0.450965017080307,0.038511842489242554,0.8959435820579529,0.010458594188094139
SDSS17,RealMLP_GPU,52035,26018,3,0.04312743619084358,0.08636268973350525,0.002439207397401333,0.9737105369567871,0.195764753036201
anneal,RealMLP_GPU,598,300,5,0.012585571967065334,0.029593706130981445,0.006721575278788805,0.9900000095367432,0.00588475726544857
hiva_agnostic,RealMLP_GPU,2563,1282,3,0.0688275620341301,0.17877992987632751,0.001354837091639638,0.9648985862731934,0.011820497922599316
maternal_health_risk,RealMLP_GPU,676,338,3,0.21180865168571472,0.39652305841445923,0.08295861631631851,0.860946774482727,0.005267458036541939
splice,RealMLP_GPU,2126,1064,3,0.040882740169763565,0.08787747472524643,0.017238277941942215,0.9746240377426147,0.010233107954263687
students_dropout_and_academic_success,RealMLP_GPU,2949,1475,3,0.31627973914146423,0.561560332775116,0.026540523394942284,0.7844067811965942,0.0132690304890275
website_phishing,RealMLP_GPU,902,451,3,0.11835183948278427,0.21077655255794525,0.027002766728401184,0.9246119856834412,0.006105986423790455
MIC,BetaTabPFN_GPU,1132,567,8,0.17994610965251923,0.45341289043426514,0.022823845967650414,0.8888888955116272,0.010426857508718967
SDSS17,BetaTabPFN_GPU,52035,26018,3,0.04901406541466713,0.09787598997354507,0.0019759598653763533,0.9705972671508789,0.18335284385830164
anneal,BetaTabPFN_GPU,598,300,5,0.015011108480393887,0.043645039200782776,0.005502899643033743,0.9900000095367432,0.005745995789766312
hiva_agnostic,BetaTabPFN_GPU,2563,1282,3,0.06833717972040176,0.17507952451705933,0.0001291036605834961,0.9648985862731934,0.011781846173107624
maternal_health_risk,BetaTabPFN_GPU,676,338,3,0.28414562344551086,0.5031534433364868,0.0788259357213974,0.8047337532043457,0.0051521845161914825
splice,BetaTabPFN_GPU,2126,1064,3,0.04166631028056145,0.08772172778844833,0.01851874217391014,0.9708646535873413,0.010187221691012383
students_dropout_and_academic_success,BetaTabPFN_GPU,2949,1475,3,0.3187962770462036,0.5689432621002197,0.025061756372451782,0.7715254426002502,0.013042802922427654
website_phishing,BetaTabPFN_GPU,902,451,3,0.13256202638149261,0.23555266857147217,0.032128412276506424,0.9179601073265076,0.005995326675474644
MIC,ModernNCA_GPU,1132,567,8,0.183018758893013,0.4558742046356201,0.04673037678003311,0.8888888955116272,0.010532623156905174
SDSS17,ModernNCA_GPU,52035,26018,3,0.03826748952269554,0.07546326518058777,0.003570903092622757,0.9764778017997742,0.18270740006119013
anneal,ModernNCA_GPU,598,300,5,0.008551671169698238,0.03983152285218239,0.006258572451770306,0.996666669845581,0.005541786551475525
hiva_agnostic,ModernNCA_GPU,2563,1282,3,0.06890462338924408,0.17866425216197968,0.004390999209135771,0.9648985862731934,0.0115786949172616
maternal_health_risk,ModernNCA_GPU,676,338,3,0.21611592173576355,0.39550238847732544,0.04174679517745972,0.8461538553237915,0.005058187060058117
splice,ModernNCA_GPU,2126,1064,3,0.04992687702178955,0.10797480493783951,0.031722016632556915,0.972744345664978,0.00998678244650364
students_dropout_and_academic_success,ModernNCA_GPU,2949,1475,3,0.3225623667240143,0.5709126591682434,0.022330179810523987,0.7755932211875916,0.013020954094827175
website_phishing,ModernNCA_GPU,902,451,3,0.12877552211284637,0.22778095304965973,0.03348656743764877,0.9201774001121521,0.006044825538992882
MIC,Mitra_GPU,1132,567,8,0.18297742307186127,0.4629131257534027,0.0377662219107151,0.8871251940727234,0.010268067009747028
anneal,Mitra_GPU,598,300,5,0.009663711301982403,0.02953537553548813,0.008149024099111557,0.996666669845581,0.005544930696487427
maternal_health_risk,Mitra_GPU,676,338,3,0.19231992959976196,0.38111230731010437,0.06950167566537857,0.8905325531959534,0.005310795269906521
splice,Mitra_GPU,2126,1064,3,0.0416957251727581,0.09002484381198883,0.019643327221274376,0.972744345664978,0.010319449007511139
students_dropout_and_academic_success,Mitra_GPU,2949,1475,3,0.3122543692588806,0.5529206395149231,0.019832560792565346,0.7749152779579163,0.013162622228264809
website_phishing,Mitra_GPU,902,451,3,0.11799520254135132,0.21460947394371033,0.029872281476855278,0.9312638640403748,0.006104005500674248
MIC,TabDPT_GPU,1132,567,8,0.18904785811901093,0.4849597215652466,0.02085389569401741,0.8853615522384644,0.010475968942046165
SDSS17,TabDPT_GPU,52035,26018,3,0.041024502366781235,0.08449063450098038,0.0037286928854882717,0.9749019742012024,0.18481922522187233
anneal,TabDPT_GPU,598,300,5,0.010682845488190651,0.032305799424648285,0.0039866529405117035,0.9933333396911621,0.005813491530716419
hiva_agnostic,TabDPT_GPU,2563,1282,3,0.06833218038082123,0.17467482388019562,0.00016391705139540136,0.9648985862731934,0.0118526890873909
maternal_health_risk,TabDPT_GPU,676,338,3,0.17985236644744873,0.34630632400512695,0.039879851043224335,0.8786982297897339,0.005336201749742031
splice,TabDPT_GPU,2126,1064,3,0.09879155457019806,0.1791451871395111,0.008187114261090755,0.9332706928253174,0.010301508940756321
students_dropout_and_academic_success,TabDPT_GPU,2949,1475,3,0.32342618703842163,0.5696499347686768,0.01509523019194603,0.7654237151145935,0.013267775997519493
website_phishing,TabDPT_GPU,902,451,3,0.11795441806316376,0.21059080958366394,0.025995029136538506,0.9290465712547302,0.0061309561133384705
