dataset,model,cal_size,test_size,n_classes,Hist-quantile_brier,Hist-quantile_logloss,Hist-quantile_ece-15,Hist-quantile_accuracy,Hist-quantile_time
MIC,TabPFN-v2.6,1132,567,8,0.188425829088843,1.4815719754052883,0.05290355905890465,0.8818342089653015,0.005681246984750032
SDSS17,TabPFN-v2.6,52035,26018,3,0.04947855170495301,0.09587958474616731,0.019858291372656822,0.9685986638069153,0.019649372901767492
anneal,TabPFN-v2.6,598,300,5,0.05921541432122975,0.109389457174386,0.024102317169308662,0.9599999785423279,0.0027384371496737003
hiva_agnostic,TabPFN-v2.6,2563,1282,3,0.06849099769274013,0.1770376696559972,0.0007643739809282124,0.9648985862731934,0.002553301863372326
maternal_health_risk,TabPFN-v2.6,676,338,3,0.19267785138183163,1.5138267386472677,0.05002247169613838,0.8757396340370178,0.0017769471742212772
splice,TabPFN-v2.6,2126,1064,3,0.06176530699993568,0.17553606744402725,0.034744590520858765,0.9614661931991577,0.0022981110960245132
students_dropout_and_academic_success,TabPFN-v2.6,2949,1475,3,0.3166913197947199,0.5583530537727296,0.02196192741394043,0.7796609997749329,0.002669885754585266
website_phishing,TabPFN-v2.6,902,451,3,0.11846969282245778,0.6354856633742382,0.026234891265630722,0.9246119856834412,0.0018497584387660027
MIC,TabICLv2,1132,567,8,0.1908906458379345,1.367473802725926,0.04309336841106415,0.8818342089653015,0.00482277013361454
SDSS17,TabICLv2,52035,26018,3,0.05184104761199742,0.1047215593483706,0.02679292857646942,0.9657544493675232,0.017912774346768856
anneal,TabICLv2,598,300,5,0.07755242763149797,0.15685346593917232,0.024174630641937256,0.9366666674613953,0.002709388267248869
hiva_agnostic,TabICLv2,2563,1282,3,0.06867238003226701,0.22953797988974298,0.0007478594779968262,0.9648985862731934,0.0024995626881718636
maternal_health_risk,TabICLv2,676,338,3,0.18300339160027398,1.0998509165109702,0.04493164271116257,0.8905325531959534,0.001726906280964613
splice,TabICLv2,2126,1064,3,0.06707829501635584,0.2412702852873759,0.031086517497897148,0.9605262875556946,0.0022035958245396614
students_dropout_and_academic_success,TabICLv2,2949,1475,3,0.3133382706658018,0.5542124217345222,0.024064471945166588,0.7803390026092529,0.002649914938956499
website_phishing,TabICLv2,902,451,3,0.10886016481677276,0.33784666355329374,0.031474724411964417,0.9356984496116638,0.0018668007105588913
MIC,RealTabPFN-v2.5,1132,567,8,0.18514228465338425,1.2476322031520846,0.04410243034362793,0.8853615522384644,0.004583125002682209
SDSS17,RealTabPFN-v2.5,52035,26018,3,0.05057996755886384,0.09888046833151816,0.017763927578926086,0.9684833288192749,0.017938735894858837
anneal,RealTabPFN-v2.5,598,300,5,0.05438150927001695,0.10359749156637113,0.025228280574083328,0.9566666483879089,0.0027394620701670647
hiva_agnostic,RealTabPFN-v2.5,2563,1282,3,0.06861037115728788,0.22766622680509163,4.941225051879883e-05,0.9648985862731934,0.002508584875613451
maternal_health_risk,RealTabPFN-v2.5,676,338,3,0.2015550785182522,1.1412298242331655,0.05462918430566788,0.8786982297897339,0.001673388760536909
splice,RealTabPFN-v2.5,2126,1064,3,0.06949090061434093,0.1853144200823338,0.03010077401995659,0.9548872113227844,0.0022812383249402046
students_dropout_and_academic_success,RealTabPFN-v2.5,2949,1475,3,0.31090328554720104,0.5515155639082219,0.02245589718222618,0.7735593318939209,0.0026068920269608498
website_phishing,RealTabPFN-v2.5,902,451,3,0.12168422933260092,0.6404443509380953,0.019322596490383148,0.9223946928977966,0.0017624888569116592
MIC,TabICL_GPU,1132,567,8,0.20085080644021794,1.2940059129860102,0.04321307688951492,0.8783068656921387,0.004716420080512762
SDSS17,TabICL_GPU,52035,26018,3,0.05349975940276221,0.10381979321972444,0.016262156888842583,0.964370846748352,0.017755269072949886
anneal,TabICL_GPU,598,300,5,0.08414570669752539,0.14484390838404249,0.05002563074231148,0.9333333373069763,0.0027201101183891296
maternal_health_risk,TabICL_GPU,676,338,3,0.18583243235938135,1.1141651518411773,0.0553324930369854,0.88165682554245,0.0017492761835455894
splice,TabICL_GPU,2126,1064,3,0.09093977774673666,0.21699336922640106,0.026452917605638504,0.932330846786499,0.0022909659892320633
students_dropout_and_academic_success,TabICL_GPU,2949,1475,3,0.32626422511348124,0.5771357420712443,0.023975219577550888,0.7694915533065796,0.0026092822663486004
website_phishing,TabICL_GPU,902,451,3,0.12006689210327631,0.3524091940309305,0.02911326102912426,0.9223946928977966,0.0018239798955619335
MIC,LimiX_GPU,1132,567,8,0.19272242027143782,1.500314232936095,0.04016293212771416,0.8800705671310425,0.004762138705700636
anneal,LimiX_GPU,598,300,5,0.0714085023133169,0.12867208525935664,0.03286891058087349,0.949999988079071,0.002691204659640789
hiva_agnostic,LimiX_GPU,2563,1282,3,0.06871725898541908,0.17928343275853495,0.0005640387535095215,0.9648985862731934,0.0025146063417196274
maternal_health_risk,LimiX_GPU,676,338,3,0.18974856174671512,0.7428964282056217,0.0501999594271183,0.8875739574432373,0.001724781934171915
splice,LimiX_GPU,2126,1064,3,0.0660274164755641,0.23785451108815434,0.023694390431046486,0.9539473652839661,0.0023048603907227516
students_dropout_and_academic_success,LimiX_GPU,2949,1475,3,0.3220817069530794,0.566398070244281,0.035239484161138535,0.7708474397659302,0.0026348172686994076
website_phishing,LimiX_GPU,902,451,3,0.1223947821497906,0.3563464623387968,0.02356724813580513,0.9223946928977966,0.0018138471059501171
MIC,TabM_GPU,1132,567,8,0.1868560275041337,1.133486656582254,0.0337056964635849,0.8871251940727234,0.0047118039801716805
SDSS17,TabM_GPU,52035,26018,3,0.05902015821012837,0.11451082280332127,0.021473098546266556,0.9638327360153198,0.018187884707003832
anneal,TabM_GPU,598,300,5,0.12046152439928297,0.2168837351385308,0.04669853299856186,0.9200000166893005,0.0026916838251054287
hiva_agnostic,TabM_GPU,2563,1282,3,0.06852957595747186,0.17789045048093302,0.0010106563568115234,0.9648985862731934,0.002507209312170744
maternal_health_risk,TabM_GPU,676,338,3,0.27369062176071063,0.8682758927452697,0.08249633759260178,0.7958579659461975,0.0017099189572036266
splice,TabM_GPU,2126,1064,3,0.06064891220507899,0.2943157500110019,0.025026077404618263,0.9633458852767944,0.0022898949682712555
students_dropout_and_academic_success,TabM_GPU,2949,1475,3,0.3195311957178987,0.5671982406919114,0.022835835814476013,0.7681356072425842,0.002635268960148096
website_phishing,TabM_GPU,902,451,3,0.12845988300626981,0.36704147911785373,0.030527960509061813,0.9223946928977966,0.0018245410174131393
MIC,RealMLP_GPU,1132,567,8,0.19138139303532797,1.4808176287989476,0.034928061068058014,0.8783068656921387,0.004713083151727915
SDSS17,RealMLP_GPU,52035,26018,3,0.058941670543433425,0.12135530521644093,0.023711631074547768,0.9630640149116516,0.01805484900251031
anneal,RealMLP_GPU,598,300,5,0.12541731174776913,0.21488926660053692,0.04993194341659546,0.9100000262260437,0.002626652829349041
hiva_agnostic,RealMLP_GPU,2563,1282,3,0.06834953265610842,0.1758516000480593,0.0009458065032958984,0.9648985862731934,0.0025111441500484943
maternal_health_risk,RealMLP_GPU,676,338,3,0.21910491520878383,0.7793842229496637,0.07925984263420105,0.8757396340370178,0.0017236019484698772
splice,RealMLP_GPU,2126,1064,3,0.0669224384587944,0.243723486351416,0.033739883452653885,0.9595864415168762,0.0022784057073295116
students_dropout_and_academic_success,RealMLP_GPU,2949,1475,3,0.3194269315356664,0.6084884618213261,0.026857595890760422,0.7816948890686035,0.0026661111041903496
website_phishing,RealMLP_GPU,902,451,3,0.12209071796605546,0.3523425330419394,0.026827087625861168,0.9246119856834412,0.0018754350021481514
MIC,BetaTabPFN_GPU,1132,567,8,0.18836446329382808,1.1472103428338962,0.044249795377254486,0.8853615522384644,0.004794453736394644
SDSS17,BetaTabPFN_GPU,52035,26018,3,0.06324071079822507,0.1248748933738389,0.017537247389554977,0.9607579112052917,0.01784747513011098
anneal,BetaTabPFN_GPU,598,300,5,0.10810368550274391,0.19297113530508592,0.08968988060951233,0.95333331823349,0.0027373535558581352
hiva_agnostic,BetaTabPFN_GPU,2563,1282,3,0.06846932965371258,0.17556172352511928,0.00046753883361816406,0.9648985862731934,0.0024934280663728714
maternal_health_risk,BetaTabPFN_GPU,676,338,3,0.28921987846447905,1.0770234767245828,0.07247414439916611,0.8254438042640686,0.0017476119101047516
splice,BetaTabPFN_GPU,2126,1064,3,0.06382933278527445,0.11824079194779603,0.03488323464989662,0.9633458852767944,0.0023315967991948128
students_dropout_and_academic_success,BetaTabPFN_GPU,2949,1475,3,0.3224475050382069,0.5731373733004509,0.025555452331900597,0.7640677690505981,0.0026068007573485374
website_phishing,BetaTabPFN_GPU,902,451,3,0.1284269929523538,0.3622205943506664,0.026773830875754356,0.9201774001121521,0.0018251868896186352
MIC,ModernNCA_GPU,1132,567,8,0.18620952524957227,0.5738610094461134,0.03820490464568138,0.8888888955116272,0.004743699915707111
SDSS17,ModernNCA_GPU,52035,26018,3,0.05859090546521453,0.11907853307482481,0.030741384252905846,0.964370846748352,0.01845886604860425
anneal,ModernNCA_GPU,598,300,5,0.1557400870844034,0.2688245008158781,0.09701132774353027,0.8899999856948853,0.0027154386043548584
hiva_agnostic,ModernNCA_GPU,2563,1282,3,0.06846996705227806,0.1762077573638676,0.004773139953613281,0.9648985862731934,0.0025019152089953423
maternal_health_risk,ModernNCA_GPU,676,338,3,0.2262173049605457,1.5416062956080478,0.05187700688838959,0.857988178730011,0.0017233616672456264
splice,ModernNCA_GPU,2126,1064,3,0.07624985759839065,0.13903778587001434,0.04093281924724579,0.9567669034004211,0.0022334889508783817
students_dropout_and_academic_success,ModernNCA_GPU,2949,1475,3,0.32766949615691915,0.5783739223557807,0.044055625796318054,0.7722033858299255,0.0026547489687800407
website_phishing,ModernNCA_GPU,902,451,3,0.12901703785679694,0.3590444064990684,0.03319700062274933,0.9179601073265076,0.0018965601921081543
MIC,Mitra_GPU,1132,567,8,0.188008683353771,1.58756598743382,0.02933240495622158,0.8871251940727234,0.004938690923154354
