dataset,model,cal_size,test_size,n_classes,VS_brier,VS_logloss,VS_ece-15,VS_accuracy,VS_time
MIC,TabPFN-v2.6,1132,567,8,0.1795351356267929,0.45062199234962463,0.041998788714408875,0.8906525373458862,0.049284838140010834
SDSS17,TabPFN-v2.6,52035,26018,3,0.034311048686504364,0.06742780655622482,0.0010129737202078104,0.978783905506134,0.15434598084539175
anneal,TabPFN-v2.6,598,300,5,0.006464601494371891,0.29189202189445496,0.002454042434692383,0.996666669845581,0.07193862646818161
hiva_agnostic,TabPFN-v2.6,2563,1282,3,0.06826673448085785,0.17381340265274048,1.519918441772461e-05,0.9648985862731934,0.05758940149098635
maternal_health_risk,TabPFN-v2.6,676,338,3,0.19122914969921112,0.372123658657074,0.04035138338804245,0.8786982297897339,0.009832530282437801
splice,TabPFN-v2.6,2126,1064,3,0.03671850636601448,0.08063515275716782,0.01373650785535574,0.9774436354637146,0.010888362303376198
students_dropout_and_academic_success,TabPFN-v2.6,2949,1475,3,0.31209248304367065,0.5508958697319031,0.026069995015859604,0.7816948890686035,0.018549936823546886
website_phishing,TabPFN-v2.6,902,451,3,0.11098544299602509,0.20811986923217773,0.02116457372903824,0.9312638640403748,0.00997195765376091
MIC,TabICLv2,1132,567,8,0.18142199516296387,0.45909881591796875,0.02663429081439972,0.8888888955116272,0.03318122401833534
SDSS17,TabICLv2,52035,26018,3,0.03534483164548874,0.07107666879892349,0.0013207548763602972,0.978553295135498,0.11275372188538313
anneal,TabICLv2,598,300,5,0.01254256907850504,0.30397874116897583,0.0069991108030080795,0.9933333396911621,0.026639635674655437
hiva_agnostic,TabICLv2,2563,1282,3,0.06826670467853546,0.1738131046295166,6.854534149169922e-06,0.9648985862731934,0.044096602126955986
maternal_health_risk,TabICLv2,676,338,3,0.17841869592666626,0.3668941855430603,0.035249728709459305,0.8786982297897339,0.011040844023227692
splice,TabICLv2,2126,1064,3,0.034670472145080566,0.07619542628526688,0.015081539750099182,0.981203019618988,0.011714641936123371
students_dropout_and_academic_success,TabICLv2,2949,1475,3,0.3110998868942261,0.5477018356323242,0.025453653186559677,0.7769491672515869,0.012169742956757545
website_phishing,TabICLv2,902,451,3,0.10773077607154846,0.20380622148513794,0.028699830174446106,0.9356984496116638,0.010602470487356186
MIC,RealTabPFN-v2.5,1132,567,8,0.17933224141597748,0.44721758365631104,0.04200151190161705,0.89241623878479,0.02924894168972969
SDSS17,RealTabPFN-v2.5,52035,26018,3,0.03237956389784813,0.06550020724534988,0.0013398634037002921,0.9803597331047058,0.15713626332581043
anneal,RealTabPFN-v2.5,598,300,5,0.006789644714444876,0.10583367943763733,0.0028089946135878563,0.996666669845581,0.039617895148694515
hiva_agnostic,RealTabPFN-v2.5,2563,1282,3,0.06827469915151596,0.17388015985488892,0.0002314448356628418,0.9648985862731934,0.044342332519590855
maternal_health_risk,RealTabPFN-v2.5,676,338,3,0.20554803311824799,0.3850735127925873,0.06404458731412888,0.8757396340370178,0.011659403331577778
splice,RealTabPFN-v2.5,2126,1064,3,0.03958087041974068,0.08575376868247986,0.012185394763946533,0.9746240377426147,0.012816427275538445
students_dropout_and_academic_success,RealTabPFN-v2.5,2949,1475,3,0.3092760741710663,0.547816812992096,0.020132234320044518,0.7844067811965942,0.015907500870525837
website_phishing,RealTabPFN-v2.5,902,451,3,0.11540235579013824,0.21515777707099915,0.02947014570236206,0.9290465712547302,0.008737871423363686
MIC,TabICL_GPU,1132,567,8,0.19019857048988342,0.47622057795524597,0.030636906623840332,0.8853615522384644,0.038961177691817284
SDSS17,TabICL_GPU,52035,26018,3,0.038283344358205795,0.07549979537725449,0.0025637277867645025,0.9766315817832947,0.15129749104380608
anneal,TabICL_GPU,598,300,5,0.019641296938061714,0.22747640311717987,0.011469942517578602,0.9900000095367432,0.023476161062717438
maternal_health_risk,TabICL_GPU,676,338,3,0.18310405313968658,0.37698081135749817,0.03905663266777992,0.88165682554245,0.012285429053008556
splice,TabICL_GPU,2126,1064,3,0.07510663568973541,0.1410711705684662,0.012390504591166973,0.9520676732063293,0.0092557268217206
students_dropout_and_academic_success,TabICL_GPU,2949,1475,3,0.321468710899353,0.5664953589439392,0.030800938606262207,0.7661017179489136,0.018492460250854492
website_phishing,TabICL_GPU,902,451,3,0.11074546724557877,0.20260374248027802,0.02646024152636528,0.9379157423973083,0.010364219546318054
MIC,LimiX_GPU,1132,567,8,0.18576182425022125,0.4749123454093933,0.04670102894306183,0.8871251940727234,0.050323713570833206
anneal,LimiX_GPU,598,300,5,0.008364951238036156,0.22710804641246796,0.004923962522298098,0.996666669845581,0.032406372018158436
hiva_agnostic,LimiX_GPU,2563,1282,3,0.06826656311750412,0.17381148040294647,7.510185241699219e-06,0.9648985862731934,0.05262144561856985
maternal_health_risk,LimiX_GPU,676,338,3,0.19215857982635498,0.3791535496711731,0.05621708929538727,0.8875739574432373,0.007975859567523003
splice,LimiX_GPU,2126,1064,3,0.036637332290410995,0.08123022317886353,0.018991190940141678,0.9830827116966248,0.011698614805936813
students_dropout_and_academic_success,LimiX_GPU,2949,1475,3,0.31586211919784546,0.5571161508560181,0.02882513962686062,0.7769491672515869,0.021788885816931725
website_phishing,LimiX_GPU,902,451,3,0.11418549716472626,0.21034033596515656,0.03456415608525276,0.9312638640403748,0.010999173857271671
MIC,TabM_GPU,1132,567,8,0.18035174906253815,0.4497585594654083,0.036152902990579605,0.8941798806190491,0.03843132220208645
SDSS17,TabM_GPU,52035,26018,3,0.040607795119285583,0.08131316304206848,0.003929289989173412,0.9750941395759583,0.1596954744309187
anneal,TabM_GPU,598,300,5,0.008069196715950966,0.046206094324588776,0.004938185680657625,0.996666669845581,0.015999283641576767
hiva_agnostic,TabM_GPU,2563,1282,3,0.06827622652053833,0.17421962320804596,5.429983139038086e-05,0.9648985862731934,0.07038988173007965
maternal_health_risk,TabM_GPU,676,338,3,0.2627558708190918,0.47930023074150085,0.0829475000500679,0.8402366638183594,0.008902627974748611
splice,TabM_GPU,2126,1064,3,0.04141857847571373,0.09259656816720963,0.013522165827453136,0.9746240377426147,0.01238447055220604
students_dropout_and_academic_success,TabM_GPU,2949,1475,3,0.3185192942619324,0.5633823275566101,0.024091191589832306,0.7728813290596008,0.015751760452985764
website_phishing,TabM_GPU,902,451,3,0.12007686495780945,0.22527854144573212,0.026280656456947327,0.9268292784690857,0.011647878214716911
MIC,RealMLP_GPU,1132,567,8,0.18127872049808502,0.45276665687561035,0.041144344955682755,0.8941798806190491,0.0432323906570673
SDSS17,RealMLP_GPU,52035,26018,3,0.04270141199231148,0.08566518872976303,0.0020992327481508255,0.9740948677062988,0.1439934754744172
