dataset,model,cal_size,test_size,n_classes,VS_brier,VS_logloss,VS_ece-15,VS_accuracy,VS_time
imagenet,densenet161,25000,25000,1000,0.3208712935447693,0.9512895941734314,0.021958379074931145,0.770799994468689,12.741358790546656
imagenet,resnet152,25000,25000,1000,0.3308241665363312,0.962700605392456,0.021367119625210762,0.7623999714851379,13.489911399781704
imagenet,beit,10000,40000,1000,0.22055497765541077,0.6300562024116516,0.03336961939930916,0.8511750102043152,5.235067091882229
imagenet,convnext,10000,40000,1000,0.2103937715291977,0.628807783126831,0.03327614814043045,0.8581500053405762,9.918589401990175
imagenet,eva,10000,40000,1000,0.21835945546627045,0.7269701957702637,0.038234442472457886,0.855525016784668,5.86863749101758
imagenet,resnet50,10000,40000,1000,0.33586668968200684,1.0171743631362915,0.022055331617593765,0.7599999904632568,5.4698745906353
imagenet,swin,10000,40000,1000,0.24224531650543213,0.7652988433837891,0.05053320154547691,0.8401749730110168,4.3037574999034405
imagenet,vit,10000,40000,1000,0.2632494270801544,0.7733633518218994,0.029122132807970047,0.8176249861717224,5.378912791609764
