dataset,model,cal_size,test_size,n_classes,Base-model_logloss,Base-model_brier,Base-model_accuracy,Base-model_ece-15,Base-model_time
imagenet,densenet161,25000,25000,1000,0.943954348564148,0.32500413060188293,0.7704799771308899,0.05716409161686897,0
imagenet,resnet152,25000,25000,1000,0.9884786605834961,0.3376283645629883,0.7620400190353394,0.06538747251033783,0
imagenet,beit,10000,40000,1000,0.6228620409965515,0.2213287055492401,0.8529999852180481,0.0748174712061882,0
imagenet,convnext,10000,40000,1000,0.6080559492111206,0.21360591053962708,0.8617249727249146,0.09379057586193085,0
imagenet,eva,10000,40000,1000,0.604139506816864,0.21259520947933197,0.8584250211715698,0.054586559534072876,0
imagenet,resnet50,10000,40000,1000,0.9599176645278931,0.3346059024333954,0.7615500092506409,0.03729742020368576,0
imagenet,swin,10000,40000,1000,0.6958043575286865,0.23667597770690918,0.8392750024795532,0.04216871038079262,0
imagenet,vit,10000,40000,1000,0.6897293329238892,0.2609897255897522,0.8184499740600586,0.03839078173041344,0
