dataset,model,cal_size,test_size,n_classes,Isotonic_brier,Isotonic_logloss,Isotonic_ece-15,Isotonic_accuracy,Isotonic_time
imagenet,densenet161,25000,25000,1000,0.3296770995931897,3.893046023699835,0.04570101946592331,0.7667199969291687,5.863316977396607
imagenet,resnet152,25000,25000,1000,0.3406345066439526,3.9128647246785397,0.05071520805358887,0.7566400170326233,6.184441043063998
imagenet,beit,10000,40000,1000,0.23759602411438746,5.38745468876942,0.04190295189619064,0.8409249782562256,4.783666626550257
imagenet,convnext,10000,40000,1000,0.22591510388194733,5.123106060902665,0.03991548344492912,0.8500249981880188,4.738386674784124
imagenet,eva,10000,40000,1000,0.23262320523675598,5.373822059849924,0.04736745357513428,0.844825029373169,4.6231625229120255
imagenet,resnet50,10000,40000,1000,0.3571204416812453,7.220005206281805,0.06416648626327515,0.7470499873161316,4.409837268292904
imagenet,swin,10000,40000,1000,0.253011222454491,5.788035296369191,0.05175264552235603,0.8319249749183655,4.321728627197444
imagenet,vit,10000,40000,1000,0.282966292354952,6.343211891799597,0.05844377726316452,0.8060500025749207,4.198129741474986
