dataset,model,cal_size,test_size,n_classes,ETS_brier,ETS_logloss,ETS_ece-15,ETS_accuracy,ETS_time
autoUniv-au6-750,LightGBM,675,75,8,0.8186332413031314,1.9159829638860901,0.09329117834568024,0.36000001430511475,0.010929398238658905
autoUniv-au6-750,LinearModel,675,75,8,0.8674584247043325,2.055448030796086,0.04754718765616417,0.1733333319425583,0.01887837052345276
autoUniv-au6-750,NeuralNetFastAI,675,75,8,0.8554708928007676,2.007067758599014,0.08104145526885986,0.2266666740179062,0.015065670013427734
autoUniv-au6-750,NeuralNetTorch,675,75,8,0.8517103536299492,1.9917074327726194,0.04311512038111687,0.2133333384990692,0.007905472069978714
autoUniv-au6-750,RandomForest,675,75,8,0.7860429403261302,1.8429702795388858,0.07391712814569473,0.3866666555404663,0.00960392877459526
autoUniv-au6-750,XGBoost,675,75,8,0.8230880189199127,1.9357785498833928,0.2074899971485138,0.4000000059604645,0.009640168398618698
autoUniv-au7-1100,CatBoost,990,110,5,0.7271489302890563,1.403612987794166,0.1725062131881714,0.4363636374473572,0.006396256387233734
autoUniv-au7-1100,ExtraTrees,990,110,5,0.7484376875862054,1.458376430090782,0.07935944944620132,0.38181817531585693,0.006370756775140762
autoUniv-au7-1100,LightGBM,990,110,5,0.7190132579218197,1.3922905615325427,0.09916560351848602,0.4000000059604645,0.006136391311883926
autoUniv-au7-1100,LinearModel,990,110,5,0.7685714744474401,1.5180151275911202,0.1192215085029602,0.37272727489471436,0.006280314177274704
autoUniv-au7-1100,NeuralNetFastAI,990,110,5,0.7387716282459477,1.4342024643343352,0.06713035702705383,0.3636363744735718,0.010604359209537506
autoUniv-au7-1100,NeuralNetTorch,990,110,5,0.7270843523956316,1.4165092670950425,0.06281241029500961,0.37272727489471436,0.0058974698185920715
autoUniv-au7-1100,RandomForest,990,110,5,0.7180725788411929,1.4039481806434306,0.10508351027965546,0.3909091055393219,0.00846361368894577
autoUniv-au7-1100,XGBoost,990,110,5,0.7076156247956953,1.3679099753091541,0.12006855756044388,0.3909091055393219,0.004887614399194717
autoUniv-au7-700,CatBoost,630,70,3,0.5902830987701491,0.9724880430202514,0.23450781404972076,0.5142857432365417,0.003820423036813736
autoUniv-au7-700,ExtraTrees,630,70,3,0.5810033109568219,0.960810230832706,0.17635689675807953,0.44285714626312256,0.003440123051404953
autoUniv-au7-700,LightGBM,630,70,3,0.5590264950284354,0.9272032468981952,0.11040495336055756,0.48571428656578064,0.003878314048051834
autoUniv-au7-700,LinearModel,630,70,3,0.6724627482875528,1.1071356578549783,0.117222361266613,0.3571428656578064,0.012648660689592361
autoUniv-au7-700,NeuralNetFastAI,630,70,3,0.6162854895846641,1.0230723463204612,0.05901233106851578,0.4714285731315613,0.004265937954187393
autoUniv-au7-700,NeuralNetTorch,630,70,3,0.6272386716020452,1.036390733992496,0.09393592178821564,0.4285714328289032,0.004302520304918289
autoUniv-au7-700,RandomForest,630,70,3,0.5457933056244483,0.893027977828045,0.10155189782381058,0.5285714268684387,0.0043523237109184265
autoUniv-au7-700,XGBoost,630,70,3,0.565850420722731,0.9369878265782416,0.14867523312568665,0.5,0.006512366235256195
balance-scale,CatBoost,562,63,3,0.049420195590846226,0.10694220732234067,0.036301158368587494,0.9682539701461792,0.006021853536367416
balance-scale,ExtraTrees,562,63,3,0.14433545497662043,0.36703615125719524,0.10648071020841599,0.8888888955116272,0.011263705790042877
balance-scale,LightGBM,562,63,3,0.057477230382101424,0.11137683143862705,0.058840811252593994,0.9682539701461792,0.004363931715488434
balance-scale,LinearModel,562,63,3,0.09523293375586682,0.17340860964281044,0.05326532572507858,0.8888888955116272,0.005730222910642624
balance-scale,NeuralNetFastAI,562,63,3,0.0168530295213402,0.032581446053081574,0.018587922677397728,0.9841269850730896,0.009899131953716278
balance-scale,NeuralNetTorch,562,63,3,0.0012677148043276475,0.006258216923651388,0.005805475637316704,1.0,0.0034641139209270477
balance-scale,RandomForest,562,63,3,0.13888701356733324,0.32862195195904487,0.109103262424469,0.9047619104385376,0.007329888641834259
balance-scale,XGBoost,562,63,3,0.04819358891398822,0.09536544911536031,0.0469232052564621,0.9523809552192688,0.010298315435647964
baseball,CatBoost,1206,134,3,0.07061098405200418,0.1436118382316592,0.040947187691926956,0.9626865386962891,0.004913788288831711
baseball,ExtraTrees,1206,134,3,0.07195781439613254,0.1381659110768348,0.028785666450858116,0.9626865386962891,0.004859544336795807
baseball,LightGBM,1206,134,3,0.07242981809156791,0.1397810044888571,0.0294346883893013,0.9552238583564758,0.004917427897453308
baseball,LinearModel,1206,134,3,0.06703720897683463,0.13163064267883465,0.04090448468923569,0.9552238583564758,0.006749842315912247
baseball,NeuralNetFastAI,1206,134,3,0.07345350125131798,0.13555977225978832,0.03741910681128502,0.9477611780166626,0.007141426205635071
baseball,NeuralNetTorch,1206,134,3,0.07550864828040046,0.14550408034470405,0.05377760902047157,0.9402984976768494,0.0066359564661979675
baseball,RandomForest,1206,134,3,0.07415925306190892,0.14506889208095017,0.0387495718896389,0.9626865386962891,0.007086828351020813
baseball,XGBoost,1206,134,3,0.07147427502449524,0.15159807936735736,0.04771847650408745,0.9626865386962891,0.0047700852155685425
car,CatBoost,1555,173,4,0.00018492040418447645,0.0019055679164245477,0.0018548452062532306,1.0,0.01894640550017357
car,ExtraTrees,1555,173,4,0.015360649163995072,0.036931295463705334,0.012416433542966843,0.9942196607589722,0.008311424404382706
car,LightGBM,1555,173,4,5.688850627718418e-49,0.0,5.960464477539063e-08,1.0,0.003939513117074966
car,LinearModel,1555,173,4,0.08466267170185579,0.13088773768628895,0.06039069592952728,0.913294792175293,0.005346361547708511
car,NeuralNetFastAI,1555,173,4,1.305692193837488e-15,2.230866952486745e-09,5.960464477539063e-08,1.0,0.013563115149736404
car,NeuralNetTorch,1555,173,4,0.00016958474995827728,0.0010274475619255193,0.0009810163173824549,1.0,0.003217894583940506
car,RandomForest,1555,173,4,0.03264114975890935,0.07058076565460751,0.0156983882188797,0.9826589822769165,0.019243042916059494
car,XGBoost,1555,173,4,4.3937195640983004e-05,0.000996482850150814,0.000984787940979004,1.0,0.005826674401760101
cardiotocography,CatBoost,1913,213,10,3.052033181551944e-09,3.102593068006436e-05,3.057718276977539e-05,1.0,0.004976760596036911
cardiotocography,ExtraTrees,1913,213,10,1.0972847604094532e-41,0.0,5.960464477539063e-08,1.0,0.016401372849941254
cardiotocography,LightGBM,1913,213,10,1.9291710142626582e-11,3.6898402463489622e-06,2.1457672119140625e-06,1.0,0.004496477544307709
cardiotocography,LinearModel,1913,213,10,3.4899169521726897e-10,6.55465235255326e-06,5.304813385009766e-06,1.0,0.004481762647628784
cardiotocography,NeuralNetFastAI,1913,213,10,0.0001333977380476374,0.0006054736911242067,0.0005684078205376863,1.0,0.004450768232345581
cardiotocography,NeuralNetTorch,1913,213,10,8.999971188747796e-13,8.999989641742521e-07,5.960464477539063e-08,1.0,0.0044398680329322815
cardiotocography,RandomForest,1913,213,10,5.548366101739712e-90,0.0,5.960464477539063e-08,1.0,0.005383744835853577
cardiotocography,XGBoost,1913,213,10,6.741688895710206e-12,1.0461863520444035e-06,2.980232238769531e-07,1.0,0.018581729382276535
cmc,CatBoost,1325,148,3,0.49595461611596664,0.8377136402648923,0.06740140914916992,0.5945945978164673,0.00486455112695694
cmc,ExtraTrees,1325,148,3,0.5069867722864239,0.8586433440451448,0.0848260298371315,0.5810810923576355,0.005466673523187637
cmc,LightGBM,1325,148,3,0.5236006990320787,0.8838080091139222,0.0975782722234726,0.5405405163764954,0.004510093480348587
cmc,LinearModel,1325,148,3,0.5235318025728547,0.8741054679711434,0.09626128524541855,0.6013513803482056,0.007065135985612869
cmc,NeuralNetFastAI,1325,148,3,0.4981376487063896,0.8389051306261424,0.07559546083211899,0.5945945978164673,0.005757853388786316
cmc,NeuralNetTorch,1325,148,3,0.5027908113740136,0.8481742571981168,0.07326103746891022,0.6216216087341309,0.007384061813354492
cmc,RandomForest,1325,148,3,0.5047699203861551,0.8486380852084446,0.07110606133937836,0.587837815284729,0.005076177418231964
cmc,XGBoost,1325,148,3,0.5001830652245025,0.8472017509634565,0.10070039331912994,0.5810810923576355,0.004492584615945816
cnae-9,CatBoost,972,108,9,0.07148156301780544,0.16822556229933786,0.054605673998594284,0.9537037014961243,0.007896438241004944
cnae-9,ExtraTrees,972,108,9,0.06568502694796029,0.15326906857581887,0.045505523681640625,0.9629629850387573,0.010577183216810226
cnae-9,LightGBM,972,108,9,0.050180862177840936,0.11834957935065728,0.036764174699783325,0.9629629850387573,0.004786554723978043
cnae-9,LinearModel,972,108,9,0.06720717960258657,0.14589203139133566,0.02331206202507019,0.9444444179534912,0.00795305147767067
cnae-9,NeuralNetFastAI,972,108,9,0.05216200594125436,0.11393748701882883,0.036874596029520035,0.9537037014961243,0.004801400005817413
cnae-9,NeuralNetTorch,972,108,9,0.056286365197594695,0.13568766771066548,0.048674289137125015,0.9629629850387573,0.007349193096160889
cnae-9,RandomForest,972,108,9,0.07509057726810633,0.17981597168439342,0.028462104499340057,0.9537037014961243,0.009808685630559921
cnae-9,XGBoost,972,108,9,0.08441202519492676,0.1826535720457715,0.04684470593929291,0.9351851940155029,0.013672560453414917
collins,CatBoost,900,100,30,0.8074588450235689,2.1165412679178326,0.06527498364448547,0.2800000011920929,0.008323729038238525
collins,ExtraTrees,900,100,30,0.8438523045970621,2.2268532710387023,0.044711388647556305,0.2199999988079071,0.01051182672381401
collins,LightGBM,900,100,30,0.8143839343671381,2.1736087916463456,0.0750151053071022,0.28999999165534973,0.006970103830099106
collins,LinearModel,900,100,30,0.8130526150405487,2.1578319224040006,0.10876163095235825,0.3400000035762787,0.02691703662276268
collins,NeuralNetFastAI,900,100,30,0.8026792000952778,2.0990996103728174,0.11824113875627518,0.36000001430511475,0.008754868060350418
collins,NeuralNetTorch,900,100,30,0.7843781101167383,2.031281999720814,0.06947173923254013,0.3499999940395355,0.008811838924884796
collins,RandomForest,900,100,30,0.8400866775872236,2.2416032467927822,0.0538804866373539,0.25999999046325684,0.009428422898054123
collins,XGBoost,900,100,30,0.8403952592295826,2.345695674150373,0.09722822904586792,0.25,0.009400982409715652
connect-4,CatBoost,60801,6756,3,0.1782958553431075,0.3217969968949418,0.015610077418386936,0.8735938668251038,0.1017383486032486
connect-4,ExtraTrees,60801,6756,3,0.25462402815034163,0.46580020208049056,0.011620188131928444,0.8213440179824829,0.1832696534693241
connect-4,LightGBM,60801,6756,3,0.1784752394014935,0.3228586752750185,0.011877757497131824,0.873741865158081,0.12016435712575912
connect-4,LinearModel,60801,6756,3,0.33491036401777263,0.5965452374081941,0.012515213340520859,0.7588809728622437,0.10230124741792679
connect-4,NeuralNetFastAI,60801,6756,3,0.1673140237678391,0.30078535502087383,0.019171392545104027,0.884251058101654,0.13774780929088593
connect-4,NeuralNetTorch,60801,6756,3,0.1754164163038592,0.31442798067303646,0.025371801108121872,0.8784784078598022,0.12076849490404129
connect-4,RandomForest,60801,6756,3,0.26562020574507894,0.48610497297220623,0.01840137504041195,0.8126109838485718,0.13358960300683975
connect-4,XGBoost,60801,6756,3,0.1793774452819648,0.32318414613334145,0.014332783408463001,0.8725576996803284,0.12002604827284813
dilbert,CatBoost,9000,1000,5,0.024462376190412614,0.04672024151215362,0.01146806962788105,0.9800000190734863,0.021967362612485886
dilbert,ExtraTrees,9000,1000,5,0.03811406280344588,0.07690176325123359,0.006891146767884493,0.9739999771118164,0.03767528757452965
dilbert,LightGBM,9000,1000,5,0.013254529649725793,0.026588495494960052,0.004338017199188471,0.9909999966621399,0.021456949412822723
dilbert,LinearModel,9000,1000,5,0.0904112074217513,0.16633972914300643,0.021003661677241325,0.9380000233650208,0.050503212958574295
dilbert,NeuralNetFastAI,9000,1000,5,0.020416327303128434,0.041285489767261624,0.012781310826539993,0.9879999756813049,0.02132919430732727
dilbert,NeuralNetTorch,9000,1000,5,0.01359552305560164,0.029625137702351475,0.01256210170686245,0.9929999709129333,0.0246049165725708
dilbert,RandomForest,9000,1000,5,0.06705530137949596,0.12897386169321645,0.012620043009519577,0.9520000219345093,0.041493818163871765
dilbert,XGBoost,9000,1000,5,0.02296284505856132,0.04544760036805163,0.009148938581347466,0.9850000143051147,0.03179076686501503
dna,CatBoost,2867,319,3,0.0594370977698613,0.11191574576808398,0.027735620737075806,0.962382435798645,0.007661599665880203
dna,ExtraTrees,2867,319,3,0.08055299576843626,0.15219226862677407,0.0363355427980423,0.9498432874679565,0.008450958877801895
dna,LightGBM,2867,319,3,0.06097681259531164,0.11173585098564082,0.023947354406118393,0.962382435798645,0.008864663541316986
dna,LinearModel,2867,319,3,0.12049913200276054,0.22576820090080432,0.0225866436958313,0.9278996586799622,0.023226231336593628
dna,NeuralNetFastAI,2867,319,3,0.07856418843657371,0.14582402204831926,0.0271593164652586,0.9467084407806396,0.0177859328687191
dna,NeuralNetTorch,2867,319,3,0.07962463522671971,0.14988262297035654,0.020733289420604706,0.9467084407806396,0.008831873536109924
dna,RandomForest,2867,319,3,0.08825076848475129,0.16059911734681873,0.019548451527953148,0.9404388666152954,0.011630184948444366
dna,XGBoost,2867,319,3,0.058759228295835714,0.11194998090160083,0.020139411091804504,0.9655172228813171,0.010169927030801773
eucalyptus,CatBoost,662,74,5,0.40580446293277156,0.6963547035288256,0.10669899731874466,0.6891891956329346,0.00411982461810112
eucalyptus,ExtraTrees,662,74,5,0.37382804647112833,0.6488061055770862,0.11676615476608276,0.662162184715271,0.004166506230831146
eucalyptus,LightGBM,662,74,5,0.36551557604012735,0.6503875875699092,0.15515638887882233,0.662162184715271,0.004573911428451538
eucalyptus,LinearModel,662,74,5,0.4393075056763694,0.7475189659844458,0.1099558174610138,0.6351351141929626,0.00900965929031372
eucalyptus,NeuralNetFastAI,662,74,5,0.4034553083412545,0.6575472410562473,0.1011306643486023,0.7027027010917664,0.004499249160289764
eucalyptus,NeuralNetTorch,662,74,5,0.42406962778408663,0.6680566364808233,0.08520481735467911,0.6486486196517944,0.004541810601949692
eucalyptus,RandomForest,662,74,5,0.39647492493777703,0.6866631224350307,0.08753971010446548,0.6756756901741028,0.004172530025243759
eucalyptus,XGBoost,662,74,5,0.4080296417561165,0.7349043614068936,0.11227011680603027,0.6756756901741028,0.004617549479007721
eye_movements,CatBoost,9842,1094,3,0.35251840107668264,0.5956459708400934,0.0340711772441864,0.7394881248474121,0.02182706817984581
eye_movements,ExtraTrees,9842,1094,3,0.3185039863631313,0.5469665671372052,0.043879128992557526,0.7687385678291321,0.03838606923818588
eye_movements,LightGBM,9842,1094,3,0.28216036927512705,0.493502665197756,0.02780723385512829,0.8034734725952148,0.022161919623613358
eye_movements,LinearModel,9842,1094,3,0.564031909543714,0.9183558120402899,0.028460433706641197,0.5054844617843628,0.024250458925962448
eye_movements,NeuralNetFastAI,9842,1094,3,0.4336202593439838,0.7204026813818403,0.045195575803518295,0.664533793926239,0.02446090802550316
eye_movements,NeuralNetTorch,9842,1094,3,0.41664192190227606,0.6939404233510352,0.06200677528977394,0.690127968788147,0.04545780271291733
eye_movements,RandomForest,9842,1094,3,0.38036301447470516,0.6432266623704256,0.024202359840273857,0.7148080468177795,0.03908563405275345
eye_movements,XGBoost,9842,1094,3,0.31972570202281403,0.5488071235666853,0.03892524167895317,0.7714807987213135,0.019280049949884415
fabert,CatBoost,7413,824,7,0.35510982065881425,0.7397212046013312,0.05894143879413605,0.737864077091217,0.019004952162504196
fabert,ExtraTrees,7413,824,7,0.3713468725212849,0.7400752144210492,0.03342312201857567,0.7123786211013794,0.023893311619758606
fabert,LightGBM,7413,824,7,0.3593911526979494,0.7259320249333934,0.05607582628726959,0.7135922312736511,0.019032083451747894
fabert,LinearModel,7413,824,7,0.49201992039132086,1.022521836328124,0.09382868558168411,0.6359223127365112,0.037557732313871384
fabert,NeuralNetFastAI,7413,824,7,0.38499813316641024,0.7820504115659525,0.040639109909534454,0.7099514603614807,0.02414388209581375
fabert,NeuralNetTorch,7413,824,7,0.4167389021104454,0.8477355728578994,0.08152943849563599,0.7026699185371399,0.04949771240353584
fabert,RandomForest,7413,824,7,0.38193936834132247,0.7660234852496014,0.020597565919160843,0.7050970792770386,0.03003736585378647
fabert,XGBoost,7413,824,7,0.3585677543806648,0.746259678995957,0.035092949867248535,0.7245145440101624,0.018976107239723206
first-order-theorem-proving,CatBoost,5506,612,6,0.5068512489230244,1.0442930280617235,0.06379563361406326,0.6160130500793457,0.015904366970062256
