dataset,model,cal_size,test_size,n_classes,Venn-Abers_brier,Venn-Abers_logloss,Venn-Abers_ece-15,Venn-Abers_accuracy,Venn-Abers_time
Diabetes130US,CatBoost,91589,10177,3,0.4928512300732014,0.8277742908596347,0.004541325848549604,0.6214011907577515,3.0436157435178757
Diabetes130US,ExtraTrees,91589,10177,3,0.5056011174359114,0.8478375119308874,0.0064556533470749855,0.6105924844741821,2.001061838120222
Diabetes130US,LightGBM,91589,10177,3,0.497149751877605,0.8354757730977957,0.00912417657673359,0.6207133531570435,2.2463730052113533
Diabetes130US,LinearModel,91589,10177,3,0.5261842820696752,0.8785956852676151,0.012884426862001419,0.593298614025116,1.5354018881917
Diabetes130US,NeuralNetFastAI,91589,10177,3,0.5032559632317201,0.8445498230302548,0.013872427865862846,0.6158003211021423,1.830972120165825
Diabetes130US,NeuralNetTorch,91589,10177,3,0.5110427188329094,0.8561049063957071,0.00856482982635498,0.607448160648346,1.5752382948994637
Diabetes130US,RandomForest,91589,10177,3,0.5047406464363297,0.8468338987080765,0.005477398168295622,0.6080377101898193,1.8516554050147533
Diabetes130US,XGBoost,91589,10177,3,0.4939705911945479,0.8286450622453384,0.012249884195625782,0.6229733824729919,3.012938793748617
GesturePhaseSegmentationProcessed,CatBoost,8885,988,5,0.3864555948549981,0.7401879545714779,0.019708242267370224,0.7176113128662109,0.5109161958098412
GesturePhaseSegmentationProcessed,ExtraTrees,8885,988,5,0.41470675893866815,0.7926214825555566,0.05581575632095337,0.6993927359580994,0.14789839833974838
GesturePhaseSegmentationProcessed,LightGBM,8885,988,5,0.39127607923089686,0.7527344673999763,0.0399453267455101,0.7115384340286255,0.6163840740919113
GesturePhaseSegmentationProcessed,LinearModel,8885,988,5,0.6454213701639232,1.2471979115549954,0.032475341111421585,0.45951417088508606,0.3126285932958126
GesturePhaseSegmentationProcessed,NeuralNetFastAI,8885,988,5,0.5040004672039423,0.9653116983443222,0.03484698385000229,0.6325910687446594,0.36043401807546616
GesturePhaseSegmentationProcessed,NeuralNetTorch,8885,988,5,0.4898912011593447,0.9462764053677895,0.053095556795597076,0.6427125334739685,0.43209243193268776
GesturePhaseSegmentationProcessed,RandomForest,8885,988,5,0.42552459523885805,0.8069226907140917,0.04199875146150589,0.6791498064994812,0.1376979537308216
GesturePhaseSegmentationProcessed,XGBoost,8885,988,5,0.39233810955563886,0.7535091177648381,0.04894468933343887,0.71659916639328,0.5761475674808025
Indian_pines,CatBoost,8229,915,8,0.07402366358883956,0.13946839491520358,0.0317167192697525,0.9551912546157837,2.2987232096493244
Indian_pines,ExtraTrees,8229,915,8,0.10679553161547202,0.18967859816767138,0.03251529857516289,0.9355190992355347,0.16785062104463577
Indian_pines,LightGBM,8229,915,8,0.059352411087635865,0.11717627118137285,0.02998513914644718,0.9661202430725098,0.40303627774119377
Indian_pines,LinearModel,8229,915,8,0.11837544800989652,0.2226984156787323,0.03464047610759735,0.9256830811500549,0.25113409385085106
Indian_pines,NeuralNetFastAI,8229,915,8,0.05518370417511946,0.10546508531015601,0.016795651987195015,0.9650273323059082,2.4586198329925537
Indian_pines,NeuralNetTorch,8229,915,8,0.047908152565042245,0.09773095254896795,0.027417276054620743,0.9672130942344666,0.9283057153224945
Indian_pines,RandomForest,8229,915,8,0.11110652122340552,0.19589706550300048,0.03542536497116089,0.9344262480735779,0.15719155222177505
Indian_pines,XGBoost,8229,915,8,0.06939979393969448,0.13010105870069155,0.0304422490298748,0.9584699273109436,2.817127753049135
LED-display-domain-7digit,CatBoost,450,50,10,0.4123099515930802,0.8799623755865054,0.1686096489429474,0.7599999904632568,0.06361692398786545
LED-display-domain-7digit,ExtraTrees,450,50,10,0.3816819065869454,0.8236070200514283,0.16896647214889526,0.8199999928474426,0.096937645226717
LED-display-domain-7digit,LightGBM,450,50,10,0.35533290327454453,0.7653331786634968,0.18001461029052734,0.800000011920929,0.06823962554335594
LED-display-domain-7digit,LinearModel,450,50,10,0.369303606442153,0.7779795012263034,0.14939649403095245,0.7400000095367432,0.06541920453310013
LED-display-domain-7digit,NeuralNetFastAI,450,50,10,0.37891977067923494,0.8148854420166489,0.16773124039173126,0.7599999904632568,0.06862517818808556
LED-display-domain-7digit,NeuralNetTorch,450,50,10,0.3679437383954722,0.7797408236547483,0.18013161420822144,0.7799999713897705,0.06839998811483383
LED-display-domain-7digit,RandomForest,450,50,10,0.3923672454438163,0.8380895132434014,0.14794883131980896,0.7599999904632568,0.1001548022031784
LED-display-domain-7digit,XGBoost,450,50,10,0.3753117866898153,0.8091966797889105,0.1878514289855957,0.800000011920929,0.0662810392677784
MiceProtein,CatBoost,972,108,8,0.021477361631854187,0.07581113651927807,0.05860046297311783,0.9907407164573669,0.2887212038040161
MiceProtein,ExtraTrees,972,108,8,0.011570640662592623,0.05411285832450586,0.04526936262845993,0.9907407164573669,0.1470331735908985
MiceProtein,LightGBM,972,108,8,0.025750124666847465,0.08951322490363005,0.07402675598859787,1.0,0.1992700919508934
MiceProtein,LinearModel,972,108,8,0.01899762467432236,0.08105425960093678,0.07353554666042328,1.0,0.14743250235915184
MiceProtein,NeuralNetFastAI,972,108,8,0.037859784129580694,0.12151779158549109,0.10011634975671768,0.9907407164573669,0.09437878802418709
MiceProtein,NeuralNetTorch,972,108,8,0.03659241317092589,0.11362787532013273,0.09769245982170105,1.0,0.015156108886003494
MiceProtein,RandomForest,972,108,8,0.06887266687843957,0.1732249373653349,0.057729776948690414,0.9444444179534912,0.091465063393116
MiceProtein,XGBoost,972,108,8,0.03400404595597553,0.09462947328181406,0.061975426971912384,0.9814814925193787,0.2900368273258209
Traffic_violations,CatBoost,63306,7034,3,0.2684195174693321,0.4040157860542677,0.010714727453887463,0.7991185784339905,15.650927059352398
Traffic_violations,ExtraTrees,63306,7034,3,0.2777269484013346,0.4184596912070081,0.007697947323322296,0.7918680906295776,2.2049549147486687
Traffic_violations,LightGBM,63306,7034,3,0.2722080165718463,0.4112322259544464,0.008624408394098282,0.795137882232666,13.610558956861496
Traffic_violations,LinearModel,63306,7034,3,0.27694938439479083,0.4161633735496692,0.010199501179158688,0.7894512414932251,14.17349474132061
Traffic_violations,NeuralNetFastAI,63306,7034,3,0.27570912468021175,0.4132655198024651,0.010528753511607647,0.7925788760185242,12.084111340343952
Traffic_violations,NeuralNetTorch,63306,7034,3,0.28891066814763094,0.4383622897412541,0.011054770089685917,0.7822007536888123,11.875450015068054
Traffic_violations,RandomForest,63306,7034,3,0.2737454639941429,0.41135868731018854,0.012826668098568916,0.7948535680770874,2.1203654520213604
Traffic_violations,XGBoost,63306,7034,3,0.2731976899706751,0.4094484831253344,0.008565295487642288,0.7925788760185242,13.666918098926544
UMIST_Faces_Cropped,CatBoost,517,58,20,0.08367700314900406,0.2759794280335241,0.16352368891239166,0.9655172228813171,0.38213933259248734
UMIST_Faces_Cropped,ExtraTrees,517,58,20,0.08513684066839407,0.2615302023423941,0.18645663559436798,0.982758641242981,0.14719048514962196
UMIST_Faces_Cropped,LightGBM,517,58,20,0.08547598443536035,0.31433572137111515,0.17220115661621094,0.9655172228813171,0.384339552372694
UMIST_Faces_Cropped,LinearModel,517,58,20,0.09883993372653455,0.31302597007067334,0.17748034000396729,0.9655172228813171,0.10499101877212524
UMIST_Faces_Cropped,NeuralNetFastAI,517,58,20,0.16667702916131724,0.45270451240393145,0.21177107095718384,0.931034505367279,0.03289041295647621
UMIST_Faces_Cropped,NeuralNetTorch,517,58,20,0.12914864470103035,0.3165684103393951,0.10647563636302948,0.8965517282485962,0.0066783130168914795
UMIST_Faces_Cropped,RandomForest,517,58,20,0.07906484975708677,0.25341373035130005,0.1803753674030304,0.982758641242981,0.16692983359098434
UMIST_Faces_Cropped,XGBoost,517,58,20,0.0972446220414951,0.333773952687903,0.1364869922399521,0.9482758641242981,0.379822451621294
analcatdata_authorship,CatBoost,756,85,4,0.04062170624316938,0.09060730237489412,0.04903893172740936,0.9647058844566345,0.09981398284435272
analcatdata_authorship,ExtraTrees,756,85,4,0.03553499670870738,0.08382356264772216,0.05413297563791275,0.9764705896377563,0.058241624385118484
analcatdata_authorship,LightGBM,756,85,4,0.030498304461774865,0.07468455012559246,0.029084857553243637,0.9882352948188782,0.04504520446062088
analcatdata_authorship,LinearModel,756,85,4,0.03200516618543175,0.07398802953245284,0.03728323057293892,0.9882352948188782,0.028089769184589386
analcatdata_authorship,NeuralNetFastAI,756,85,4,0.06679067261896302,0.1038443134087359,0.013027536682784557,0.929411768913269,0.001620657742023468
analcatdata_authorship,NeuralNetTorch,756,85,4,0.07048162398071554,0.12506972527652221,0.05506865307688713,0.9058823585510254,0.0023589283227920532
analcatdata_authorship,RandomForest,756,85,4,0.0495280118218437,0.11386912925300399,0.05634826421737671,0.9647058844566345,0.036015577614307404
analcatdata_authorship,XGBoost,756,85,4,0.027968602260931185,0.06716000112410431,0.052433133125305176,0.9882352948188782,0.10651445388793945
analcatdata_dmft,CatBoost,717,80,6,0.809489982637327,1.7157076431215519,0.06638463586568832,0.26249998807907104,0.02841818705201149
analcatdata_dmft,ExtraTrees,717,80,6,0.8170175175146852,1.7406118313074799,0.046604741364717484,0.23749999701976776,0.029988788068294525
analcatdata_dmft,LightGBM,717,80,6,0.812325275666131,1.7314902441233637,0.03623811528086662,0.23749999701976776,0.02753802016377449
analcatdata_dmft,LinearModel,717,80,6,0.8171341767016077,1.7412001883002959,0.060993753373622894,0.1875,0.027275122702121735
analcatdata_dmft,NeuralNetFastAI,717,80,6,0.820067057281307,1.7489239745317993,0.054799050092697144,0.21250000596046448,0.02952355146408081
analcatdata_dmft,NeuralNetTorch,717,80,6,0.8075914236413553,1.7105296171811954,0.04642610251903534,0.20000000298023224,0.02896999940276146
analcatdata_dmft,RandomForest,717,80,6,0.8181217074092215,1.740476688584699,0.04330404847860336,0.21250000596046448,0.03027471899986267
analcatdata_dmft,XGBoost,717,80,6,0.8038908281068086,1.7041489726989134,0.06195942312479019,0.22499999403953552,0.027349285781383514
artificial-characters,CatBoost,9196,1022,10,0.0801687818844666,0.18341199671940006,0.061627354472875595,0.9589040875434875,3.4793930128216743
artificial-characters,ExtraTrees,9196,1022,10,0.07877900546896077,0.18722636778753862,0.01461106352508068,0.9559686779975891,0.30482277646660805
artificial-characters,LightGBM,9196,1022,10,0.06871489422806566,0.1608921526786889,0.06113426387310028,0.9608610272407532,2.6767555586993694
artificial-characters,LinearModel,9196,1022,10,0.7316713860781642,1.6235405112270833,0.04871371388435364,0.373776912689209,1.3016413860023022
