dataset,model,cal_size,test_size,n_classes,Spline_brier,Spline_logloss,Spline_ece-15,Spline_accuracy,Spline_time
Diabetes130US,CatBoost,91589,10177,3,0.49269667180115534,0.8277571261343596,0.007677520625293255,0.6228750944137573,17.969312009052373
Diabetes130US,ExtraTrees,91589,10177,3,0.5056086361123716,0.8476624866217558,0.007073601707816124,0.6106907725334167,15.314969505066983
Diabetes130US,LightGBM,91589,10177,3,0.49714324550162575,0.8354642041423029,0.011218898929655552,0.6219907402992249,17.74317286303267
Diabetes130US,LinearModel,91589,10177,3,0.526066346947785,0.8783921269086021,0.011332087218761444,0.5931020975112915,23.422920639044605
Diabetes130US,NeuralNetFastAI,91589,10177,3,0.5031309732163672,0.8446038635343025,0.01716373674571514,0.6183550953865051,27.063213790999725
Diabetes130US,NeuralNetTorch,91589,10177,3,0.5108315409060715,0.8558579814746442,0.009216134436428547,0.6067603230476379,15.139660773100331
Diabetes130US,RandomForest,91589,10177,3,0.504533231996958,0.8462593099812007,0.007905670441687107,0.6083325147628784,18.266279758070596
Diabetes130US,XGBoost,91589,10177,3,0.494013707711376,0.8287615970056728,0.009667648002505302,0.6217942237854004,18.54824318701867
GesturePhaseSegmentationProcessed,CatBoost,8885,988,5,0.3882159527328721,0.7440871725003886,0.023671835660934448,0.7135627269744873,4.990737416082993
GesturePhaseSegmentationProcessed,ExtraTrees,8885,988,5,0.4154807491233071,0.7995399167445468,0.06149165332317352,0.7004048824310303,5.422184730065055
GesturePhaseSegmentationProcessed,LightGBM,8885,988,5,0.38908961247061064,0.7483640437423728,0.04106645658612251,0.7125505805015564,4.251988152973354
GesturePhaseSegmentationProcessed,LinearModel,8885,988,5,0.644750385470137,1.247609197103573,0.04566207900643349,0.4655870497226715,5.066997652989812
GesturePhaseSegmentationProcessed,NeuralNetFastAI,8885,988,5,0.5052902995863372,0.9707538290088596,0.030352888628840446,0.6275303363800049,5.173578717978671
GesturePhaseSegmentationProcessed,NeuralNetTorch,8885,988,5,0.48982293976696006,0.9465271855434402,0.04631750285625458,0.6366396546363831,5.098495382000692
GesturePhaseSegmentationProcessed,RandomForest,8885,988,5,0.4258671955394392,0.8246392949566183,0.04303755983710289,0.6831983923912048,5.318113490007818
GesturePhaseSegmentationProcessed,XGBoost,8885,988,5,0.39238993558481927,0.7539923376495745,0.050225235521793365,0.7145748734474182,4.460833357996307
Indian_pines,CatBoost,8229,915,8,0.07183335496798479,0.13212258508147892,0.026918882504105568,0.9551912546157837,7.158897703047842
Indian_pines,ExtraTrees,8229,915,8,0.10576946733151193,0.18787821916847314,0.02734306827187538,0.9344262480735779,5.840000399039127
Indian_pines,LightGBM,8229,915,8,0.05680101754563739,0.11035505327349036,0.025709204375743866,0.9628415107727051,8.17869418207556
Indian_pines,LinearModel,8229,915,8,0.11745470833515134,0.2165338686818694,0.024065157398581505,0.9256830811500549,8.075063286931254
Indian_pines,NeuralNetFastAI,8229,915,8,0.05391546132985923,0.09997145372313122,0.012988320551812649,0.9639344215393066,7.05088263109792
Indian_pines,NeuralNetTorch,8229,915,8,0.04597421019562749,0.0869300157548144,0.01879364624619484,0.9661202430725098,7.522172671975568
Indian_pines,RandomForest,8229,915,8,0.11116231341853272,0.19607780591683063,0.031225334852933884,0.9322404265403748,5.993599512963556
Indian_pines,XGBoost,8229,915,8,0.06746772915351383,0.12351722854024283,0.022539259865880013,0.9573770761489868,7.033178361947648
LED-display-domain-7digit,CatBoost,450,50,10,0.3966256493688121,0.8217094423199682,0.1663164496421814,0.7799999713897705,1.8624707199633121
LED-display-domain-7digit,ExtraTrees,450,50,10,0.37283758469883616,0.7739028919854749,0.1277553141117096,0.800000011920929,2.318348086089827
LED-display-domain-7digit,LightGBM,450,50,10,0.3462235405582581,0.7048356294138632,0.17373555898666382,0.7799999713897705,1.9139301769901067
LED-display-domain-7digit,LinearModel,450,50,10,0.3580842686335542,0.7417872922881072,0.12190495431423187,0.7599999904632568,2.165914061013609
LED-display-domain-7digit,NeuralNetFastAI,450,50,10,0.35866799938191835,0.7346650960308853,0.1341438740491867,0.7799999713897705,2.0149739529006183
LED-display-domain-7digit,NeuralNetTorch,450,50,10,0.3573931498849172,0.7287223470720423,0.14683790504932404,0.7599999904632568,1.9584608080331236
LED-display-domain-7digit,RandomForest,450,50,10,0.3804553441821364,0.7984322025155293,0.1297493577003479,0.7599999904632568,2.133424500003457
LED-display-domain-7digit,XGBoost,450,50,10,0.36653424625291664,0.7581582096986434,0.1698404997587204,0.7599999904632568,1.8474247079575434
MiceProtein,CatBoost,972,108,8,0.0037400327629948634,0.008148354130312658,0.0065546706318855286,1.0,1.6709826540900394
MiceProtein,ExtraTrees,972,108,8,0.004908437438253812,0.013904944148902495,0.011336071416735649,1.0,1.4350263649830595
MiceProtein,LightGBM,972,108,8,0.00048730418151766877,0.0021406143803883557,0.00197984604164958,1.0,1.5352382200071588
MiceProtein,LinearModel,972,108,8,0.0009267783625276615,0.01052327943646358,0.010257774963974953,1.0,1.7219921509968117
MiceProtein,NeuralNetFastAI,972,108,8,0.0006210148805675724,0.004869118448684507,0.004687197506427765,1.0,1.6302952440455556
MiceProtein,NeuralNetTorch,972,108,8,0.0003784361359900965,0.002079681787617548,0.0019763221498578787,1.0,1.8344281220342964
MiceProtein,RandomForest,972,108,8,0.07572161202586702,0.17626172511492616,0.03249431401491165,0.9444444179534912,1.6549802819499746
MiceProtein,XGBoost,972,108,8,0.02422662155798649,0.041259263775330936,0.0303330197930336,0.9814814925193787,1.5231326399371028
Traffic_violations,CatBoost,63306,7034,3,0.2680483654025346,0.4033207413877783,0.009377074427902699,0.7999715805053711,24.672405262943357
Traffic_violations,ExtraTrees,63306,7034,3,0.27759106275226486,0.4189025671002358,0.009897854179143906,0.7888825535774231,26.587411880027503
Traffic_violations,LightGBM,63306,7034,3,0.2721025677375095,0.41071117715611305,0.010284822434186935,0.7964174151420593,25.79335799301043
Traffic_violations,LinearModel,63306,7034,3,0.27645027193709937,0.41551004064671415,0.009799094870686531,0.7917258739471436,24.32334601599723
Traffic_violations,NeuralNetFastAI,63306,7034,3,0.27545372737086793,0.41264184138769744,0.009713591076433659,0.7935740947723389,25.426317609031685
Traffic_violations,NeuralNetTorch,63306,7034,3,0.2889369325800963,0.4379220305666954,0.01050377357751131,0.7822007536888123,24.173400433035567
Traffic_violations,RandomForest,63306,7034,3,0.2735643096233236,0.4110332850713931,0.014204662293195724,0.7959908843040466,24.74409937893506
Traffic_violations,XGBoost,63306,7034,3,0.27289886406230757,0.40894326471379233,0.006894686259329319,0.7931475639343262,24.059247189899907
UMIST_Faces_Cropped,CatBoost,517,58,20,0.011816243767282873,0.02721403370317183,0.019466016441583633,1.0,2.696478856028989
UMIST_Faces_Cropped,ExtraTrees,517,58,20,0.015898169971721384,0.044990457577341034,0.037249308079481125,1.0,2.950249387999065
UMIST_Faces_Cropped,LightGBM,517,58,20,0.05403182899123609,0.21573335144834102,0.01986818015575409,0.9655172228813171,2.81413287401665
UMIST_Faces_Cropped,LinearModel,517,58,20,0.048308823518481446,0.13940950752508532,0.027385106310248375,0.9655172228813171,2.7957373129902408
UMIST_Faces_Cropped,NeuralNetFastAI,517,58,20,0.03385739309814883,0.21616071457456584,0.0020767655223608017,0.982758641242981,2.784344563027844
UMIST_Faces_Cropped,NeuralNetTorch,517,58,20,0.054505674277413,0.31656497081663804,0.05438864231109619,0.982758641242981,1.6867204050067812
UMIST_Faces_Cropped,RandomForest,517,58,20,0.019990935161879806,0.05358500010066018,0.03428971767425537,0.982758641242981,3.0753815419739112
UMIST_Faces_Cropped,XGBoost,517,58,20,0.07904510940727094,0.27600484636755973,0.04089570418000221,0.931034505367279,2.7369674319634214
analcatdata_authorship,CatBoost,756,85,4,0.039377511729652405,0.05988931353685622,0.027763746678829193,0.9764705896377563,0.8572370479814708
analcatdata_authorship,ExtraTrees,756,85,4,0.032412049498301856,0.06319127214687943,0.03158160299062729,0.9764705896377563,0.7604194809682667
analcatdata_authorship,LightGBM,756,85,4,0.0257561137122828,0.08792117222767197,0.015212527476251125,0.9882352948188782,0.7350813219090924
analcatdata_authorship,LinearModel,756,85,4,0.024478181132880753,0.06657284379866196,0.013853279873728752,0.9882352948188782,0.7528184310067445
analcatdata_authorship,NeuralNetFastAI,756,85,4,0.020179224290143433,0.03767125064523266,0.0219044741243124,0.9882352948188782,0.4424246520502493
analcatdata_authorship,NeuralNetTorch,756,85,4,0.025363817688029755,0.047292086260165477,0.022513043135404587,0.9882352948188782,0.5261950679123402
analcatdata_authorship,RandomForest,756,85,4,0.04420157547924097,0.08667891688112132,0.026253651827573776,0.9764705896377563,0.6972746559185907
analcatdata_authorship,XGBoost,756,85,4,0.014240074508832436,0.02514070525324615,0.018971551209688187,0.9882352948188782,0.7241158210672438
analcatdata_dmft,CatBoost,717,80,6,0.8133524112230862,1.728643888226444,0.037502024322748184,0.22499999403953552,0.549191843951121
analcatdata_dmft,ExtraTrees,717,80,6,0.8143382214672688,1.7331379925401822,0.06725772470235825,0.26249998807907104,0.5704786559799686
analcatdata_dmft,LightGBM,717,80,6,0.8117278181675177,1.7261337844150213,0.026488402858376503,0.21250000596046448,0.5618072310462594
analcatdata_dmft,LinearModel,717,80,6,0.8138823467146213,1.7333428379575537,0.02862754464149475,0.21250000596046448,0.5378898970084265
analcatdata_dmft,NeuralNetFastAI,717,80,6,0.8172192720623667,1.7382622544240118,0.04529368877410889,0.17499999701976776,0.5512897809967399
analcatdata_dmft,NeuralNetTorch,717,80,6,0.8124712347243616,1.7301603808607653,0.05138672888278961,0.20000000298023224,0.5456496439874172
analcatdata_dmft,RandomForest,717,80,6,0.8154405533357171,1.7340116654664253,0.014751375652849674,0.22499999403953552,0.5689926700433716
analcatdata_dmft,XGBoost,717,80,6,0.8089009663314544,1.7200512455862929,0.0834784060716629,0.30000001192092896,0.6480190770234913
artificial-characters,CatBoost,9196,1022,10,0.07460484551821935,0.17356257719217302,0.047795530408620834,0.9608610272407532,11.981854509096593
artificial-characters,ExtraTrees,9196,1022,10,0.07807517907697666,0.18670849158678998,0.010120970197021961,0.9559686779975891,10.07966293708887
artificial-characters,LightGBM,9196,1022,10,0.06249899564230255,0.1478244214948011,0.05549788102507591,0.9608610272407532,11.8115171630634
artificial-characters,LinearModel,9196,1022,10,0.7357346199471853,1.63385501082873,0.04048622027039528,0.359099805355072,11.231918488978408
artificial-characters,NeuralNetFastAI,9196,1022,10,0.35940702853821827,0.5987085323498657,0.03328409790992737,0.7045009732246399,10.099876187974587
artificial-characters,NeuralNetTorch,9196,1022,10,0.3472247524543802,0.587501459031182,0.033875878900289536,0.7152642011642456,10.162632466992363
artificial-characters,RandomForest,9196,1022,10,0.07624454959109882,0.17936522363369192,0.017633404582738876,0.9559686779975891,10.977897615986876
artificial-characters,XGBoost,9196,1022,10,0.07044774813077967,0.16405623107304493,0.04744986072182655,0.9647749662399292,11.264239969896153
autoUniv-au6-750,CatBoost,675,75,8,0.8404667843490738,1.9677664758519215,0.13253208994865417,0.25333333015441895,0.7453805899713188
autoUniv-au6-750,ExtraTrees,675,75,8,0.8365617635693129,1.9609221925993567,0.13858959078788757,0.2666666805744171,0.8239444380160421
autoUniv-au6-750,LightGBM,675,75,8,0.8098479189261899,1.8893699576941962,0.15862277150154114,0.4000000059604645,0.7991728659253567
autoUniv-au6-750,LinearModel,675,75,8,0.8517541583816651,1.9938627568461456,0.0316120907664299,0.2133333384990692,1.0101442310260609
autoUniv-au6-750,NeuralNetFastAI,675,75,8,0.8530807357901977,1.996820818531973,0.01686902344226837,0.2266666740179062,0.7878444039961323
autoUniv-au6-750,NeuralNetTorch,675,75,8,0.8532626302568933,1.9945883569599006,0.0116673419252038,0.2133333384990692,0.7236168809467927
autoUniv-au6-750,RandomForest,675,75,8,0.7809992252477991,1.8253906422182713,0.15230073034763336,0.4000000059604645,0.7845974680967629
autoUniv-au6-750,XGBoost,675,75,8,0.8123848463299148,1.9069933461411332,0.135527104139328,0.3733333349227905,0.7708676919573918
autoUniv-au7-1100,CatBoost,990,110,5,0.7203700479472849,1.380715789822342,0.11299088597297668,0.41818180680274963,0.6699784389929846
autoUniv-au7-1100,ExtraTrees,990,110,5,0.7447073103278254,1.4462005291145024,0.1364404857158661,0.4363636374473572,0.8823938550194725
autoUniv-au7-1100,LightGBM,990,110,5,0.7127998486169007,1.38039716745913,0.095063716173172,0.4000000059604645,0.6335380109958351
autoUniv-au7-1100,LinearModel,990,110,5,0.7629340474160025,1.507801037373887,0.12014294415712357,0.37272727489471436,0.6341581749729812
autoUniv-au7-1100,NeuralNetFastAI,990,110,5,0.7391984747439974,1.4413826688245244,0.0672387033700943,0.37272727489471436,0.827720753964968
autoUniv-au7-1100,NeuralNetTorch,990,110,5,0.7262530124210699,1.4062804042904398,0.05815836414694786,0.3636363744735718,0.884793484932743
