dataset,model,cal_size,test_size,n_classes,Isotonic_brier,Isotonic_logloss,Isotonic_ece-15,Isotonic_accuracy,Isotonic_time
Diabetes130US,CatBoost,91589,10177,3,0.4928484841699016,0.8356694149249143,0.0035051710437983274,0.6214011907577515,0.10457164607942104
Diabetes130US,ExtraTrees,91589,10177,3,0.5055986308926219,0.8477630049051669,0.007168392650783062,0.6105924844741821,0.0997578939422965
Diabetes130US,LightGBM,91589,10177,3,0.4971058625622234,0.8354148944510611,0.010165631771087646,0.6208116412162781,0.09829793684184551
Diabetes130US,LinearModel,91589,10177,3,0.5261695464449473,0.8785865563956493,0.011671960353851318,0.5933969020843506,0.10020685847848654
Diabetes130US,NeuralNetFastAI,91589,10177,3,0.5032325855863509,0.8444108427109068,0.013948636129498482,0.615898609161377,0.09828026220202446
Diabetes130US,NeuralNetTorch,91589,10177,3,0.5110341457942256,0.8560488312459587,0.008476648479700089,0.607448160648346,0.09928348567336798
Diabetes130US,RandomForest,91589,10177,3,0.5047643807081635,0.8468696205725396,0.006740224082022905,0.6080377101898193,0.09782104752957821
Diabetes130US,XGBoost,91589,10177,3,0.4939464888962448,0.8285141936509095,0.011614792980253696,0.6229733824729919,0.097249292768538
GesturePhaseSegmentationProcessed,CatBoost,8885,988,5,0.38634627997794424,0.8219122712837671,0.02957688644528389,0.7176113128662109,0.01873109582811594
GesturePhaseSegmentationProcessed,ExtraTrees,8885,988,5,0.4139988497010117,0.8734946050420788,0.0464494526386261,0.6993927359580994,0.01887726876884699
GesturePhaseSegmentationProcessed,LightGBM,8885,988,5,0.39104074498781394,0.9152849502024953,0.028925208374857903,0.7125505805015564,0.01918680127710104
GesturePhaseSegmentationProcessed,LinearModel,8885,988,5,0.6457837106910427,1.2470477164058924,0.034548524767160416,0.45748987793922424,0.018970618955790997
GesturePhaseSegmentationProcessed,NeuralNetFastAI,8885,988,5,0.5035809864464742,0.9632224453941479,0.03147762641310692,0.6336032152175903,0.01860574632883072
GesturePhaseSegmentationProcessed,NeuralNetTorch,8885,988,5,0.4892914914478521,0.9444614471367436,0.05120887607336044,0.6417003870010376,0.01901849266141653
GesturePhaseSegmentationProcessed,RandomForest,8885,988,5,0.4252763105433555,0.8882715386859079,0.0450461246073246,0.6781376600265503,0.018810695968568325
GesturePhaseSegmentationProcessed,XGBoost,8885,988,5,0.3915804145223331,0.8317954730798222,0.039899785071611404,0.71659916639328,0.019161651842296124
Indian_pines,CatBoost,8229,915,8,0.07236653600305176,0.13156793092723215,0.022685807198286057,0.9562841653823853,0.02231077291071415
Indian_pines,ExtraTrees,8229,915,8,0.10557022205549017,0.27285037324518097,0.028496967628598213,0.9344262480735779,0.020479068160057068
Indian_pines,LightGBM,8229,915,8,0.05739407441341015,0.1077538716513699,0.018550630658864975,0.9661202430725098,0.02182089164853096
Indian_pines,LinearModel,8229,915,8,0.11755169985504663,0.21641092222704458,0.017964014783501625,0.9245901703834534,0.020257904194295406
Indian_pines,NeuralNetFastAI,8229,915,8,0.05406100928955102,0.09878137657263684,0.011595170013606548,0.9661202430725098,0.02334735542535782
Indian_pines,NeuralNetTorch,8229,915,8,0.04624395348239324,0.08668090617250122,0.015639128163456917,0.9661202430725098,0.021161138080060482
Indian_pines,RandomForest,8229,915,8,0.10945319530407396,0.27790981032811435,0.0251734871417284,0.9344262480735779,0.019800650887191296
Indian_pines,XGBoost,8229,915,8,0.06844740567136864,0.21386090107956438,0.021078456193208694,0.9584699273109436,0.02358202449977398
LED-display-domain-7digit,CatBoost,450,50,10,0.39629831558383094,0.7921658268390905,0.17044837772846222,0.7799999713897705,0.011466564610600471
LED-display-domain-7digit,ExtraTrees,450,50,10,0.3650239150187599,0.7587746587670213,0.1489996612071991,0.7599999904632568,0.011423616670072079
LED-display-domain-7digit,LightGBM,450,50,10,0.32790752906404924,0.6663891049330296,0.09454573690891266,0.800000011920929,0.011313170194625854
LED-display-domain-7digit,LinearModel,450,50,10,0.35050900008932423,0.6914686892574187,0.19371600449085236,0.7400000095367432,0.011311749927699566
LED-display-domain-7digit,NeuralNetFastAI,450,50,10,0.3574740169343616,0.7136040105126165,0.14178232848644257,0.7599999904632568,0.011474926955997944
LED-display-domain-7digit,NeuralNetTorch,450,50,10,0.33781240438940124,0.7105994877705146,0.15462151169776917,0.7799999713897705,0.011336909607052803
LED-display-domain-7digit,RandomForest,450,50,10,0.3729568472596379,0.7557430914794777,0.10904482007026672,0.7599999904632568,0.011320294812321663
LED-display-domain-7digit,XGBoost,450,50,10,0.35558871605921966,0.7313721262467816,0.155287966132164,0.7799999713897705,0.011888792738318443
MiceProtein,CatBoost,972,108,8,0.015604781071624881,0.8086717393663194,0.007448243908584118,0.9907407164573669,0.010922955349087715
MiceProtein,ExtraTrees,972,108,8,0.016671566932777934,0.027522779788613436,0.008785247802734375,0.9907407164573669,0.01079961471259594
MiceProtein,LightGBM,972,108,8,0.0003323296139899796,0.0014254741868237094,0.0013212893391028047,1.0,0.010955354198813438
MiceProtein,LinearModel,972,108,8,1.5932073909813138e-05,0.001187407350141415,0.0011835694313049316,1.0,0.011112825945019722
MiceProtein,NeuralNetFastAI,972,108,8,7.44149591053622e-05,0.0009085830504003756,0.0008895993232727051,1.0,0.010991919785737991
MiceProtein,NeuralNetTorch,972,108,8,3.2987401150953653e-10,1.2358795861021835e-06,1.430511474609375e-06,1.0,0.010361925698816776
MiceProtein,RandomForest,972,108,8,0.08446279863274775,0.9291933473582246,0.05015692859888077,0.9444444179534912,0.010765676386654377
MiceProtein,XGBoost,972,108,8,0.030095147932852624,0.04381015257096135,0.014942841604351997,0.9722222089767456,0.011143894866108894
Traffic_violations,CatBoost,63306,7034,3,0.2684162682603194,0.40368415522440565,0.010625422932207584,0.7989764213562012,0.06748109217733145
Traffic_violations,ExtraTrees,63306,7034,3,0.27772195915419556,0.418305337350042,0.008723774924874306,0.7918680906295776,0.07179992459714413
Traffic_violations,LightGBM,63306,7034,3,0.2721927529474541,0.41104505596305957,0.009138175286352634,0.7949957251548767,0.0676715038716793
Traffic_violations,LinearModel,63306,7034,3,0.2769339558454594,0.41601169752225164,0.010121827013790607,0.7894512414932251,0.06718363147228956
Traffic_violations,NeuralNetFastAI,63306,7034,3,0.2756877413748901,0.41282813968799636,0.010458431206643581,0.7925788760185242,0.06654075253754854
Traffic_violations,NeuralNetTorch,63306,7034,3,0.2889313536905006,0.4380504769748156,0.013423057273030281,0.7822007536888123,0.06809683237224817
Traffic_violations,RandomForest,63306,7034,3,0.2737358626299782,0.41104272147895404,0.013205326162278652,0.7948535680770874,0.06436005234718323
Traffic_violations,XGBoost,63306,7034,3,0.27319109874291153,0.40921072418632964,0.008920511230826378,0.7925788760185242,0.06850907392799854
UMIST_Faces_Cropped,CatBoost,517,58,20,0.026061392829696228,1.5085807348540967,0.012895805761218071,0.982758641242981,0.018442085944116116
UMIST_Faces_Cropped,ExtraTrees,517,58,20,0.027984250700316547,0.0713177451482294,0.016149252653121948,0.9655172228813171,0.018199536949396133
UMIST_Faces_Cropped,LightGBM,517,58,20,0.06483671912603255,3.018522782035136,0.03405984863638878,0.9655172228813171,0.018402284011244774
UMIST_Faces_Cropped,LinearModel,517,58,20,0.05111809200586114,1.5400382470402614,0.028301196172833443,0.9655172228813171,0.01786484569311142
UMIST_Faces_Cropped,NeuralNetFastAI,517,58,20,0.03323020320009222,1.5211241379140406,0.01141252089291811,0.982758641242981,0.01844275649636984
UMIST_Faces_Cropped,NeuralNetTorch,517,58,20,0.05439986847653344,0.6084583609241795,0.05417262017726898,0.982758641242981,0.017732123844325542
UMIST_Faces_Cropped,RandomForest,517,58,20,0.03677602016264835,1.512161683412089,0.022921156138181686,0.982758641242981,0.01821269281208515
UMIST_Faces_Cropped,XGBoost,517,58,20,0.08757970377663517,3.084146220146757,0.03411107882857323,0.9482758641242981,0.018713886849582195
analcatdata_authorship,CatBoost,756,85,4,0.055529411562751325,2.065757487260209,0.030588144436478615,0.9647058844566345,0.007888776250183582
analcatdata_authorship,ExtraTrees,756,85,4,0.04129741206471786,1.056218740092655,0.023125311359763145,0.9764705896377563,0.007962425239384174
analcatdata_authorship,LightGBM,756,85,4,0.02686382145711655,1.0330455236485208,0.016193393617868423,0.9882352948188782,0.007959901355206966
analcatdata_authorship,LinearModel,756,85,4,0.023728374882798702,1.0286236524017252,0.012846441008150578,0.9882352948188782,0.007885310798883438
analcatdata_authorship,NeuralNetFastAI,756,85,4,0.02025889610894382,0.03779716535511396,0.022022178396582603,0.9882352948188782,0.0076638031750917435
analcatdata_authorship,NeuralNetTorch,756,85,4,0.025336670916310127,0.04720835203274538,0.022603103891015053,0.9882352948188782,0.007840744219720364
analcatdata_authorship,RandomForest,756,85,4,0.04970056859481779,0.09915998348469661,0.043445274233818054,0.9764705896377563,0.007983572781085968
analcatdata_authorship,XGBoost,756,85,4,0.02009507448827347,0.025695747475703013,0.015075492672622204,0.9764705896377563,0.00801647175103426
analcatdata_dmft,CatBoost,717,80,6,0.8113616832315188,1.7205906151790482,0.03907381743192673,0.26249998807907104,0.009459180757403374
analcatdata_dmft,ExtraTrees,717,80,6,0.8192921385318268,1.7453645945188812,0.042651206254959106,0.22499999403953552,0.009496369399130344
analcatdata_dmft,LightGBM,717,80,6,0.8107901940089508,1.727319882608575,0.06692446768283844,0.22499999403953552,0.009356614202260971
analcatdata_dmft,LinearModel,717,80,6,0.816015070940389,1.7334112604015843,0.0649215579032898,0.1875,0.009400845505297184
analcatdata_dmft,NeuralNetFastAI,717,80,6,0.8218041039232287,1.7450545123845793,0.059823762625455856,0.1875,0.009442588314414024
analcatdata_dmft,NeuralNetTorch,717,80,6,0.8064328191780445,2.756826807223805,0.04336930811405182,0.21250000596046448,0.009642199613153934
analcatdata_dmft,RandomForest,717,80,6,0.8163064589636078,1.7351614959543227,0.03159422427415848,0.22499999403953552,0.00947651732712984
analcatdata_dmft,XGBoost,717,80,6,0.8061550915107574,1.7147306345022213,0.04810785874724388,0.26249998807907104,0.009356520138680935
artificial-characters,CatBoost,9196,1022,10,0.07553625565595509,0.16907896242872072,0.043457940220832825,0.9589040875434875,0.027491643093526363
artificial-characters,ExtraTrees,9196,1022,10,0.07884815647045135,0.18127466005204002,0.010089780203998089,0.9540117383003235,0.024180930107831955
artificial-characters,LightGBM,9196,1022,10,0.06343534963657366,0.3044981673119495,0.047427404671907425,0.9608610272407532,0.026217328384518623
artificial-characters,LinearModel,9196,1022,10,0.7314670555813576,1.7020479764705572,0.05995988845825195,0.373776912689209,0.02901650033891201
artificial-characters,NeuralNetFastAI,9196,1022,10,0.3613809490482879,0.7627174615461155,0.027040401473641396,0.7084148526191711,0.027151412330567837
artificial-characters,NeuralNetTorch,9196,1022,10,0.34789631183138314,0.7441290523885356,0.038633670657873154,0.7172211408615112,0.025967249646782875
artificial-characters,RandomForest,9196,1022,10,0.0768999327060287,0.1892442906688741,0.010473886504769325,0.9549902081489563,0.024372532032430172
artificial-characters,XGBoost,9196,1022,10,0.07218406524362206,0.16619987844155312,0.04534650966525078,0.9618395566940308,0.026781128719449043
autoUniv-au6-750,CatBoost,675,75,8,0.8455822382011549,1.977904773045606,0.10443783551454544,0.2266666740179062,0.010630748234689236
autoUniv-au6-750,ExtraTrees,675,75,8,0.8398713260799785,3.0919102693987837,0.11119750142097473,0.25333333015441895,0.010558539070189
autoUniv-au6-750,LightGBM,675,75,8,0.8055854238755334,1.8755210632834394,0.10080721229314804,0.3733333349227905,0.01040838286280632
autoUniv-au6-750,LinearModel,675,75,8,0.8497850756162711,1.990435460184004,0.05579360947012901,0.23999999463558197,0.010704001411795616
autoUniv-au6-750,NeuralNetFastAI,675,75,8,0.8518908191365426,1.9931265328829681,0.018500471487641335,0.2266666740179062,0.010619056411087513
autoUniv-au6-750,NeuralNetTorch,675,75,8,0.8533745760224781,1.9915945122476273,0.05466683954000473,0.23999999463558197,0.010552959516644478
autoUniv-au6-750,RandomForest,675,75,8,0.777526272017004,1.813368387408644,0.08436113595962524,0.3199999928474426,0.010757857002317905
autoUniv-au6-750,XGBoost,675,75,8,0.8182769383310656,1.9383841627040665,0.1718597710132599,0.3733333349227905,0.010773586109280586
autoUniv-au7-1100,CatBoost,990,110,5,0.7235890693646659,1.395269987542837,0.10563063621520996,0.41818180680274963,0.009057270362973213
autoUniv-au7-1100,ExtraTrees,990,110,5,0.7481257674163238,1.4394825106776905,0.13059037923812866,0.4272727370262146,0.00912562571465969
autoUniv-au7-1100,LightGBM,990,110,5,0.715913183788715,1.3847559143279977,0.10146227478981018,0.44545453786849976,0.008978080004453659
autoUniv-au7-1100,LinearModel,990,110,5,0.7792787635863363,3.813584494205501,0.08668611943721771,0.30909091234207153,0.008816043846309185
autoUniv-au7-1100,NeuralNetFastAI,990,110,5,0.7417576980197623,2.1968294788919573,0.10598911345005035,0.3909091055393219,0.008983009494841099
autoUniv-au7-1100,NeuralNetTorch,990,110,5,0.7310837952526673,2.1816304943244966,0.051030222326517105,0.3545454442501068,0.008978570811450481
autoUniv-au7-1100,RandomForest,990,110,5,0.7161889256850172,1.395913123486516,0.11497870832681656,0.38181817531585693,0.009609038010239601
autoUniv-au7-1100,XGBoost,990,110,5,0.7070587432548429,1.3676063374353997,0.07976861298084259,0.4000000059604645,0.009461850859224796
autoUniv-au7-700,CatBoost,630,70,3,0.5659361974215212,4.553810306125533,0.13408218324184418,0.5,0.00741285365074873
autoUniv-au7-700,ExtraTrees,630,70,3,0.5477686472321135,0.9189694830226594,0.16036167740821838,0.4285714328289032,0.007075049914419651
autoUniv-au7-700,LightGBM,630,70,3,0.5290102778844153,0.8724871220837126,0.1155223473906517,0.4714285731315613,0.007147660478949547
autoUniv-au7-700,LinearModel,630,70,3,0.6748072470538912,1.1116775722025192,0.11197547614574432,0.4000000059604645,0.00705843698233366
autoUniv-au7-700,NeuralNetFastAI,630,70,3,0.6189922237271797,1.0382532182337783,0.10860863327980042,0.5285714268684387,0.007066895253956318
autoUniv-au7-700,NeuralNetTorch,630,70,3,0.6331829651690327,1.0521537145275728,0.09446103870868683,0.44285714626312256,0.007043295539915562
autoUniv-au7-700,RandomForest,630,70,3,0.5367616251106835,0.8745414598252588,0.1269724816083908,0.4714285731315613,0.007647684775292873
autoUniv-au7-700,XGBoost,630,70,3,0.5430608938464583,0.8953980283397006,0.12460054457187653,0.48571428656578064,0.007169983349740505
balance-scale,CatBoost,562,63,3,0.040545588718445255,0.08360358110146184,0.053321413695812225,0.9682539701461792,0.0070453230291605
balance-scale,ExtraTrees,562,63,3,0.12201508135331446,0.24496944938741408,0.10948602110147476,0.8888888955116272,0.007225649431347847
balance-scale,LightGBM,562,63,3,0.06130372449558517,0.10434708675094821,0.0444868728518486,0.9682539701461792,0.007019819691777229
balance-scale,LinearModel,562,63,3,0.07673077055274943,0.14294171512386467,0.049718741327524185,0.9523809552192688,0.006973600015044212
balance-scale,NeuralNetFastAI,562,63,3,0.014581609687753879,0.025879223793742516,0.020251914858818054,1.0,0.006875017657876015
balance-scale,NeuralNetTorch,562,63,3,0.0015801113457190638,0.00400703715910866,0.003541325917467475,1.0,0.0068771010264754295
balance-scale,RandomForest,562,63,3,0.12644529639867716,0.25456962550383144,0.10288973152637482,0.8888888955116272,0.007072837091982365
balance-scale,XGBoost,562,63,3,0.03524161059307772,0.07671789963542851,0.036647722125053406,0.9682539701461792,0.007383306510746479
baseball,CatBoost,1206,134,3,0.07965426645944618,0.1428461648546893,0.0417967364192009,0.9328358173370361,0.008028654381632805
baseball,ExtraTrees,1206,134,3,0.07920119455352083,0.14556512182325054,0.022218432277441025,0.9477611780166626,0.007597876712679863
baseball,LightGBM,1206,134,3,0.07252077228694484,0.13699874058992353,0.032565638422966,0.9477611780166626,0.008690602146089077
baseball,LinearModel,1206,134,3,0.07392604090361173,0.13920584393127916,0.035722970962524414,0.9477611780166626,0.007797029800713062
baseball,NeuralNetFastAI,1206,134,3,0.07685957171168212,0.13627603380718495,0.036123380064964294,0.9477611780166626,0.007735585793852806
baseball,NeuralNetTorch,1206,134,3,0.08695168774873246,0.16076212737174836,0.049673739820718765,0.9402984976768494,0.008393657393753529
baseball,RandomForest,1206,134,3,0.0740947793969504,0.13666632361159403,0.042472101747989655,0.9626865386962891,0.0079771364107728
baseball,XGBoost,1206,134,3,0.07754516214927189,0.1404638117408722,0.04036104679107666,0.9477611780166626,0.007870759814977646
car,CatBoost,1555,173,4,0.00039292771700413987,0.0015453936341079898,0.001436317223124206,1.0,0.008873339742422104
car,ExtraTrees,1555,173,4,0.014641273575531816,0.034294462685361154,0.011984890326857567,0.9884393215179443,0.00858940277248621
car,LightGBM,1555,173,4,0.0,0.0,5.960464477539063e-08,1.0,0.008603973314166069
