dataset,model,cal_size,test_size,n_classes,Hist-uniform_brier,Hist-uniform_logloss,Hist-uniform_ece-15,Hist-uniform_accuracy,Hist-uniform_time
autoUniv-au7-1100,NeuralNetFastAI,990,110,5,0.7337832401610339,1.4155012369900342,0.04377339407801628,0.37272727489471436,0.0021737758070230484
autoUniv-au7-1100,NeuralNetTorch,990,110,5,0.7285641391912868,1.4176705784546533,0.03749772533774376,0.3636363744735718,0.002191225066781044
autoUniv-au7-1100,RandomForest,990,110,5,0.7096061818523295,1.3877543622628004,0.04147183895111084,0.41818180680274963,0.0021779481321573257
autoUniv-au7-1100,XGBoost,990,110,5,0.7031418033834713,1.3556482150852267,0.06996917724609375,0.41818180680274963,0.0020980481058359146
autoUniv-au7-700,CatBoost,630,70,3,0.5650819457344217,1.8779869161429907,0.09748011082410812,0.4714285731315613,0.0013504642993211746
autoUniv-au7-700,ExtraTrees,630,70,3,0.5417983175577362,0.9094728214934769,0.1890723705291748,0.4571428596973419,0.0013476237654685974
autoUniv-au7-700,LightGBM,630,70,3,0.5186077387238527,0.8623007759949916,0.10067717730998993,0.5857142806053162,0.0013417042791843414
autoUniv-au7-700,LinearModel,630,70,3,0.6787503466210414,1.120330535706698,0.0762864500284195,0.3857142925262451,0.005362845957279205
autoUniv-au7-700,NeuralNetFastAI,630,70,3,0.61246131862364,1.0215726422315439,0.06606029719114304,0.4571428596973419,0.0013631246984004974
autoUniv-au7-700,NeuralNetTorch,630,70,3,0.6388194231989496,1.0699522974859825,0.08006788045167923,0.4571428596973419,0.0013545230031013489
autoUniv-au7-700,RandomForest,630,70,3,0.5356154006809195,0.8811253490127738,0.1424906849861145,0.5,0.0013690758496522903
autoUniv-au7-700,XGBoost,630,70,3,0.5326143846370052,0.8793222184993671,0.12166248261928558,0.48571428656578064,0.001354975625872612
balance-scale,CatBoost,562,63,3,0.06072938526680741,0.1420690256292253,0.05888179689645767,0.9523809552192688,0.0013226214796304703
balance-scale,ExtraTrees,562,63,3,0.12755031604470332,0.2778824777101056,0.13849729299545288,0.8888888955116272,0.0012700725346803665
balance-scale,LightGBM,562,63,3,0.06883288452183933,0.14353010305093597,0.05120449885725975,0.9523809552192688,0.0013132710009813309
balance-scale,LinearModel,562,63,3,0.06896281361093233,0.1397461002388886,0.04109939932823181,0.9365079402923584,0.001253657042980194
balance-scale,NeuralNetFastAI,562,63,3,0.025571029453830243,0.04073004788184992,0.029390385374426842,0.9841269850730896,0.0013115275651216507
balance-scale,NeuralNetTorch,562,63,3,0.005830903790087463,0.00888279028468925,0.00680278055369854,1.0,0.001280561089515686
balance-scale,RandomForest,562,63,3,0.129096846143258,0.2717812626141024,0.10855028033256531,0.8888888955116272,0.0013223141431808472
balance-scale,XGBoost,562,63,3,0.03439289657697208,0.08798107366344195,0.04727422818541527,0.9682539701461792,0.0012638214975595474
baseball,CatBoost,1206,134,3,0.0848451470632815,0.18213226202947053,0.03253314644098282,0.9552238583564758,0.0014505572617053986
baseball,ExtraTrees,1206,134,3,0.10097884140302013,1.1647086335298502,0.03728099912405014,0.9328358173370361,0.001490095630288124
baseball,LightGBM,1206,134,3,0.09081507528786006,0.1906334551802588,0.030635662376880646,0.9552238583564758,0.0014657769352197647
baseball,LinearModel,1206,134,3,0.07242258691013474,0.14702397998965155,0.04019903019070625,0.9552238583564758,0.0014889370650053024
baseball,NeuralNetFastAI,1206,134,3,0.07862991039586546,0.14941855693173878,0.0318661592900753,0.9477611780166626,0.0014456026256084442
