dataset,model,cal_size,test_size,n_classes,LightGBM_brier,LightGBM_logloss,LightGBM_ece-15,LightGBM_accuracy,LightGBM_time
Diabetes130US,CatBoost,91589,10177,3,0.4927726619645808,0.8274969574418394,0.004237492103129625,0.6214011907577515,5.001764815300703
Diabetes130US,ExtraTrees,91589,10177,3,0.5056040401695251,0.8479437532313321,0.0054925354197621346,0.6107890605926514,4.7989080511033535
Diabetes130US,LightGBM,91589,10177,3,0.49711121998653024,0.8351605899022869,0.010200653225183487,0.6192394495010376,4.8163961209356785
Diabetes130US,LinearModel,91589,10177,3,0.5256379001937938,0.8777327195929276,0.007823774591088295,0.592905580997467,4.704216480255127
Diabetes130US,NeuralNetFastAI,91589,10177,3,0.5032796143950227,0.8443655746124376,0.01622304879128933,0.6174707412719727,4.830243173986673
Diabetes130US,NeuralNetTorch,91589,10177,3,0.5111264861378936,0.8563773528524931,0.008908752351999283,0.6069568395614624,4.816202130168676
Diabetes130US,RandomForest,91589,10177,3,0.5047119082225853,0.8468602674516038,0.006182023324072361,0.607742965221405,4.805305145680904
Diabetes130US,XGBoost,91589,10177,3,0.49371796276310287,0.8277880200919977,0.008387475274503231,0.6214994788169861,5.090559206902981
GesturePhaseSegmentationProcessed,CatBoost,8885,988,5,0.3823902552386222,0.7311476950411016,0.034583039581775665,0.7176113128662109,1.240005187690258
GesturePhaseSegmentationProcessed,ExtraTrees,8885,988,5,0.39872131198767485,0.761139064233347,0.04318443313241005,0.7054656147956848,1.1707813441753387
GesturePhaseSegmentationProcessed,LightGBM,8885,988,5,0.38569265351586446,0.7394113427622704,0.03734687343239784,0.7155870199203491,1.1942289136350155
GesturePhaseSegmentationProcessed,LinearModel,8885,988,5,0.6240937935714621,1.2050840917356418,0.031412892043590546,0.5050607323646545,1.235589899122715
GesturePhaseSegmentationProcessed,NeuralNetFastAI,8885,988,5,0.5029257814054577,0.9680018919193135,0.040086373686790466,0.6336032152175903,1.0977548472583294
GesturePhaseSegmentationProcessed,NeuralNetTorch,8885,988,5,0.49196967726229013,0.9501915292306458,0.04961082711815834,0.6467611193656921,1.1414212360978127
GesturePhaseSegmentationProcessed,RandomForest,8885,988,5,0.4155851458552466,0.789789228628839,0.022681334987282753,0.6892712712287903,1.2397958971560001
GesturePhaseSegmentationProcessed,XGBoost,8885,988,5,0.38374768513139496,0.7356272149368956,0.04631776735186577,0.71659916639328,1.2509256191551685
Indian_pines,CatBoost,8229,915,8,0.0671757885740109,0.125484864118715,0.02683519758284092,0.9573770761489868,1.8594466485083103
Indian_pines,ExtraTrees,8229,915,8,0.10532526109934619,0.19797618773982992,0.04335194081068039,0.9333333373069763,1.3660157769918442
Indian_pines,LightGBM,8229,915,8,0.05951351394749285,0.11826859966817309,0.025842340663075447,0.9639344215393066,1.6168053336441517
Indian_pines,LinearModel,8229,915,8,0.11008139914080611,0.20398386436454477,0.014771977439522743,0.9289617538452148,1.7206618934869766
Indian_pines,NeuralNetFastAI,8229,915,8,0.05566836083388027,0.10787872394632446,0.017695846036076546,0.9661202430725098,1.7693290151655674
Indian_pines,NeuralNetTorch,8229,915,8,0.04634567920623003,0.0882276832755866,0.017422739416360855,0.9726775884628296,1.6113912463188171
Indian_pines,RandomForest,8229,915,8,0.11057384033084663,0.19593844784496756,0.03146083652973175,0.9333333373069763,1.328190851956606
Indian_pines,XGBoost,8229,915,8,0.06485961198003448,0.12308567906655778,0.023902010172605515,0.9617486596107483,1.9132650010287762
LED-display-domain-7digit,CatBoost,450,50,10,0.40942674641173804,0.8860126355480931,0.11354033648967743,0.7200000286102295,0.34252333268523216
LED-display-domain-7digit,ExtraTrees,450,50,10,0.39340521624703517,0.8792590551622319,0.19339406490325928,0.7200000286102295,0.41176314651966095
LED-display-domain-7digit,LightGBM,450,50,10,0.36859392889839077,0.8180382425519472,0.13572539389133453,0.7200000286102295,0.33880170807242393
LED-display-domain-7digit,LinearModel,450,50,10,0.3708203246037267,0.8386903221139488,0.1331639438867569,0.7400000095367432,0.32894011959433556
LED-display-domain-7digit,NeuralNetFastAI,450,50,10,0.373921826245698,0.8203065724699492,0.13070864975452423,0.7599999904632568,0.3419427387416363
LED-display-domain-7digit,NeuralNetTorch,450,50,10,0.3632940311064861,0.8139589235013439,0.19570374488830566,0.800000011920929,0.3485461249947548
LED-display-domain-7digit,RandomForest,450,50,10,0.4184300797363779,0.9186156518707514,0.17421570420265198,0.6800000071525574,0.43604663014411926
