dataset,model,cal_size,test_size,n_classes,VS_brier,VS_logloss,VS_ece-15,VS_accuracy,VS_time
Diabetes130US,CatBoost,91589,10177,3,0.49271368980407715,0.8279514312744141,0.006319338455796242,0.6227768659591675,0.19728740490972996
Diabetes130US,ExtraTrees,91589,10177,3,0.5056663155555725,0.8477649688720703,0.008717913180589676,0.6097081899642944,0.16323513071984053
Diabetes130US,LightGBM,91589,10177,3,0.49708107113838196,0.8353180885314941,0.010099214501678944,0.6211064457893372,0.22841925267130136
Diabetes130US,LinearModel,91589,10177,3,0.5266456604003906,0.8786400556564331,0.01620646007359028,0.5880907773971558,0.30778970289975405
Diabetes130US,NeuralNetFastAI,91589,10177,3,0.5030592679977417,0.8442656993865967,0.015573844313621521,0.6178638339042664,0.2109131021425128
Diabetes130US,NeuralNetTorch,91589,10177,3,0.5108047723770142,0.8557479977607727,0.008487841114401817,0.6083325147628784,0.17934741266071796
Diabetes130US,RandomForest,91589,10177,3,0.5045161247253418,0.8462416529655457,0.005186326801776886,0.6078411936759949,0.2133935261517763
Diabetes130US,XGBoost,91589,10177,3,0.49408411979675293,0.8289515972137451,0.010941779240965843,0.6220890283584595,0.1717189159244299
GesturePhaseSegmentationProcessed,CatBoost,8885,988,5,0.3869221806526184,0.7414554953575134,0.04451679438352585,0.7115384340286255,0.05099982116371393
GesturePhaseSegmentationProcessed,ExtraTrees,8885,988,5,0.40911510586738586,0.7862463593482971,0.04332384467124939,0.6933198571205139,0.07210785150527954
GesturePhaseSegmentationProcessed,LightGBM,8885,988,5,0.3863924741744995,0.7409884333610535,0.03266303986310959,0.7145748734474182,0.04797601047903299
GesturePhaseSegmentationProcessed,LinearModel,8885,988,5,0.6528816819190979,1.267536997795105,0.03946813941001892,0.4665991961956024,0.059507318772375584
GesturePhaseSegmentationProcessed,NeuralNetFastAI,8885,988,5,0.508228063583374,0.9738256931304932,0.045673668384552,0.6295546293258667,0.03931218944489956
GesturePhaseSegmentationProcessed,NeuralNetTorch,8885,988,5,0.49123719334602356,0.9457577466964722,0.04596433416008949,0.637651801109314,0.03342232573777437
GesturePhaseSegmentationProcessed,RandomForest,8885,988,5,0.42347195744514465,0.8245998024940491,0.04797576367855072,0.6801619529724121,0.08382684085518122
GesturePhaseSegmentationProcessed,XGBoost,8885,988,5,0.38956546783447266,0.7471883893013,0.048681728541851044,0.7135627269744873,0.06443935073912144
Indian_pines,CatBoost,8229,915,8,0.07114820927381516,0.12988851964473724,0.02939107082784176,0.9540983438491821,0.19179693516343832
Indian_pines,ExtraTrees,8229,915,8,0.10587313026189804,0.18537788093090057,0.02912796661257744,0.9344262480735779,0.2710739327594638
Indian_pines,LightGBM,8229,915,8,0.058240216225385666,0.10954996943473816,0.020616479218006134,0.9639344215393066,0.20969998370856047
Indian_pines,LinearModel,8229,915,8,0.11777064949274063,0.218256413936615,0.0216207355260849,0.9256830811500549,0.13531652931123972
Indian_pines,NeuralNetFastAI,8229,915,8,0.05313822254538536,0.09788237512111664,0.012872636318206787,0.9672130942344666,0.23977341316640377
Indian_pines,NeuralNetTorch,8229,915,8,0.045942168682813644,0.08651944249868393,0.017498265951871872,0.9693989157676697,0.15729782450944185
Indian_pines,RandomForest,8229,915,8,0.11156471818685532,0.19566063582897186,0.030216490849852562,0.9289617538452148,0.24404148384928703
Indian_pines,XGBoost,8229,915,8,0.06678321957588196,0.12101402878761292,0.022963693365454674,0.9584699273109436,0.21361986827105284
LED-display-domain-7digit,CatBoost,450,50,10,0.40645766258239746,0.8237265944480896,0.1261947751045227,0.7200000286102295,0.01483311876654625
LED-display-domain-7digit,ExtraTrees,450,50,10,0.3862314522266388,0.7585446834564209,0.13024652004241943,0.7599999904632568,0.019278841093182564
LED-display-domain-7digit,LightGBM,450,50,10,0.3495820164680481,0.7146846652030945,0.17742490768432617,0.7799999713897705,0.013010467402637005
LED-display-domain-7digit,LinearModel,450,50,10,0.368818998336792,0.7358283996582031,0.11462588608264923,0.7200000286102295,0.014341597445309162
LED-display-domain-7digit,NeuralNetFastAI,450,50,10,0.3574570417404175,0.7188235521316528,0.1422235369682312,0.7400000095367432,0.016715149395167828
LED-display-domain-7digit,NeuralNetTorch,450,50,10,0.3580547571182251,0.7020490765571594,0.11028700321912766,0.7599999904632568,0.020042230375111103
LED-display-domain-7digit,RandomForest,450,50,10,0.3981426954269409,0.7714817523956299,0.2249172180891037,0.7200000286102295,0.01974020805209875
LED-display-domain-7digit,XGBoost,450,50,10,0.3836808502674103,0.7796275615692139,0.14337199926376343,0.7200000286102295,0.01286439597606659
MiceProtein,CatBoost,972,108,8,0.010774784721434116,0.017911486327648163,0.006213781423866749,0.9907407164573669,0.025876116938889027
MiceProtein,ExtraTrees,972,108,8,0.01851743273437023,0.09663368761539459,0.009258806705474854,0.9907407164573669,0.05003621708601713
MiceProtein,LightGBM,972,108,8,0.0007689874619245529,0.0022477509919553995,0.0019964086823165417,1.0,0.009507834911346436
MiceProtein,LinearModel,972,108,8,0.0012864075833931565,0.006636610720306635,0.0062736934050917625,1.0,0.06539858784526587
MiceProtein,NeuralNetFastAI,972,108,8,1.3922758625994902e-05,0.0004657219396904111,0.00046241283416748047,1.0,0.010952072218060493
MiceProtein,NeuralNetTorch,972,108,8,2.423194422895847e-10,1.5916041320451768e-06,1.6689300537109375e-06,1.0,0.014857077971100807
MiceProtein,RandomForest,972,108,8,0.0703529417514801,0.4171728193759918,0.03754281997680664,0.9444444179534912,0.07849972974509001
MiceProtein,XGBoost,972,108,8,0.04221443459391594,1.0267544984817505,0.023599237203598022,0.9814814925193787,0.2264191573485732
Traffic_violations,CatBoost,63306,7034,3,0.2679727077484131,0.4033434987068176,0.010978369042277336,0.7996872067451477,0.2356270058080554
Traffic_violations,ExtraTrees,63306,7034,3,0.2775452435016632,0.4191919267177582,0.007205398753285408,0.7908729314804077,0.18464583158493042
Traffic_violations,LightGBM,63306,7034,3,0.27188730239868164,0.41050007939338684,0.00828251987695694,0.7954222559928894,0.16295847948640585
Traffic_violations,LinearModel,63306,7034,3,0.2761601209640503,0.41496098041534424,0.011113245040178299,0.7920102477073669,0.20671321544796228
Traffic_violations,NeuralNetFastAI,63306,7034,3,0.27513834834098816,0.41234347224235535,0.00642756000161171,0.7940005660057068,0.24882851541042328
Traffic_violations,NeuralNetTorch,63306,7034,3,0.2888270914554596,0.4378252625465393,0.008635435253381729,0.7831959128379822,0.12766751646995544
Traffic_violations,RandomForest,63306,7034,3,0.27347156405448914,0.41105324029922485,0.012467198073863983,0.7945692539215088,0.18495924305170774
Traffic_violations,XGBoost,63306,7034,3,0.2728463411331177,0.40890923142433167,0.006849275901913643,0.7931475639343262,0.21504407189786434
UMIST_Faces_Cropped,CatBoost,517,58,20,0.024510236456990242,0.3519805371761322,0.010112328454852104,0.982758641242981,0.04103802889585495
UMIST_Faces_Cropped,ExtraTrees,517,58,20,0.011910506524145603,0.015382785350084305,0.010242309421300888,0.982758641242981,0.0585749177262187
UMIST_Faces_Cropped,LightGBM,517,58,20,0.05748853087425232,0.6447929739952087,0.0264542605727911,0.9655172228813171,0.029490206390619278
UMIST_Faces_Cropped,LinearModel,517,58,20,0.046497561037540436,0.13275602459907532,0.02575170248746872,0.9655172228813171,0.03263281751424074
UMIST_Faces_Cropped,NeuralNetFastAI,517,58,20,0.03162675350904465,0.22955888509750366,0.009597684256732464,0.982758641242981,0.00595207791775465
UMIST_Faces_Cropped,NeuralNetTorch,517,58,20,0.05142815411090851,0.32920339703559875,0.0485689677298069,0.982758641242981,0.0043129147961735725
UMIST_Faces_Cropped,RandomForest,517,58,20,0.028972402215003967,0.1829470545053482,0.009199114516377449,0.982758641242981,0.04965550824999809
UMIST_Faces_Cropped,XGBoost,517,58,20,0.06934273988008499,1.616610050201416,0.03142358362674713,0.9482758641242981,0.3298084167763591
analcatdata_authorship,CatBoost,756,85,4,0.0670488178730011,0.22474120557308197,0.03430068492889404,0.9647058844566345,0.04061134532094002
analcatdata_authorship,ExtraTrees,756,85,4,0.04743779078125954,0.07649177312850952,0.027217548340559006,0.9647058844566345,0.048876999877393246
analcatdata_authorship,LightGBM,756,85,4,0.04701622948050499,1.109924554824829,0.023518621921539307,0.9764705896377563,0.017777636647224426
analcatdata_authorship,LinearModel,756,85,4,0.0235294122248888,1.0274888277053833,0.011764585971832275,0.9882352948188782,0.019034987315535545
analcatdata_authorship,NeuralNetFastAI,756,85,4,0.02025897055864334,0.03779765963554382,0.022022318094968796,0.9882352948188782,0.0017464710399508476
analcatdata_authorship,NeuralNetTorch,756,85,4,0.0253407284617424,0.04721958562731743,0.02260289341211319,0.9882352948188782,0.0008018016815185547
analcatdata_authorship,RandomForest,756,85,4,0.036744941025972366,0.07068914920091629,0.01887323334813118,0.9764705896377563,0.025018785148859024
analcatdata_authorship,XGBoost,756,85,4,0.023773809894919395,0.03767601028084755,0.015233778394758701,0.9882352948188782,0.03711206838488579
analcatdata_dmft,CatBoost,717,80,6,0.8106043934822083,1.7196458578109741,0.05508672073483467,0.26249998807907104,0.01783983688801527
analcatdata_dmft,ExtraTrees,717,80,6,0.8139735460281372,1.7333929538726807,0.03967102989554405,0.23749999701976776,0.06133931968361139
analcatdata_dmft,LightGBM,717,80,6,0.8100842237472534,1.7196667194366455,0.042207177728414536,0.21250000596046448,0.027134353294968605
analcatdata_dmft,LinearModel,717,80,6,0.8121816515922546,1.7268556356430054,0.0534638911485672,0.2750000059604645,0.019878050312399864
analcatdata_dmft,NeuralNetFastAI,717,80,6,0.8095552325248718,1.7170403003692627,0.023751921951770782,0.25,0.04398759454488754
analcatdata_dmft,NeuralNetTorch,717,80,6,0.8086441159248352,1.7153600454330444,0.0366707444190979,0.22499999403953552,0.04095619358122349
analcatdata_dmft,RandomForest,717,80,6,0.8147395253181458,1.731731653213501,0.0265146866440773,0.23749999701976776,0.03668552357703447
analcatdata_dmft,XGBoost,717,80,6,0.8071870803833008,1.7145706415176392,0.06609709560871124,0.2874999940395355,0.04552710894495249
artificial-characters,CatBoost,9196,1022,10,0.07184276729822159,0.16649149358272552,0.04480745643377304,0.9598825573921204,0.09354194439947605
artificial-characters,ExtraTrees,9196,1022,10,0.08206348121166229,0.1990797519683838,0.03745407238602638,0.9559686779975891,0.17287544813007116
artificial-characters,LightGBM,9196,1022,10,0.05994575843214989,0.14093580842018127,0.0432775542140007,0.9598825573921204,0.11890382040292025
artificial-characters,LinearModel,9196,1022,10,0.7593629360198975,1.6950695514678955,0.056456707417964935,0.33365949988365173,0.10479411296546459
artificial-characters,NeuralNetFastAI,9196,1022,10,0.3572021722793579,0.5965078473091125,0.036237530410289764,0.7084148526191711,0.10126761998981237
artificial-characters,NeuralNetTorch,9196,1022,10,0.3459634482860565,0.5851315259933472,0.03647439554333687,0.718199610710144,0.1778566837310791
artificial-characters,RandomForest,9196,1022,10,0.08297140896320343,0.20207907259464264,0.04276883974671364,0.9559686779975891,0.1834345506504178
artificial-characters,XGBoost,9196,1022,10,0.06795092672109604,0.15907900035381317,0.04287678375840187,0.9647749662399292,0.08466091845184565
autoUniv-au6-750,CatBoost,675,75,8,0.8359508514404297,1.948448896408081,0.14589619636535645,0.25333333015441895,0.09078916534781456
autoUniv-au6-750,ExtraTrees,675,75,8,0.8279107809066772,1.925689458847046,0.10867050290107727,0.25333333015441895,0.0762664619833231
autoUniv-au6-750,LightGBM,675,75,8,0.7961525917053223,1.8526629209518433,0.15402056276798248,0.3733333349227905,0.0928031736984849
autoUniv-au6-750,LinearModel,675,75,8,0.8526991009712219,1.9983336925506592,0.009011998772621155,0.2266666740179062,0.02187725156545639
autoUniv-au6-750,NeuralNetFastAI,675,75,8,0.8537380695343018,1.9984822273254395,0.033629775047302246,0.20000000298023224,0.06678066868335009
autoUniv-au6-750,NeuralNetTorch,675,75,8,0.8516865968704224,1.988919734954834,0.026052797213196754,0.20000000298023224,0.07120926771312952
autoUniv-au6-750,RandomForest,675,75,8,0.7763004302978516,1.8061480522155762,0.09562454372644424,0.36000001430511475,0.06504982989281416
