dataset,model,cal_size,test_size,n_classes,Isotonic_brier,Isotonic_logloss,Isotonic_ece-15,Isotonic_accuracy,Isotonic_time
c10,densenet40,5000,10000,10,0.11178770406592635,0.3273160732464476,0.016251565888524055,0.9235000014305115,0.03366697672754526
c10,lenet5,5000,10000,10,0.36121425754690534,0.8516440492825655,0.022926805540919304,0.7405999898910522,0.033868965692818165
c10,resnet_wide32,5000,10000,10,0.0903924376937524,0.2416192498027057,0.009670713916420937,0.9401999711990356,0.03069827239960432
c10,resnet110,5000,10000,10,0.09855029566566612,0.32740048064038063,0.014492587186396122,0.9363999962806702,0.03136229142546654
c10,resnet110_SD,5000,10000,10,0.08839367991204083,0.31314425316619615,0.009703492745757103,0.9409000277519226,0.03072482906281948
c100,densenet40,5000,10000,100,0.4099880365525358,1.7860765503635252,0.04391895607113838,0.7003999948501587,0.22459196113049984
c100,lenet5,5000,10000,100,0.7840102591309064,4.247700198153213,0.04152047261595726,0.3517000079154968,0.2335261907428503
c100,resnet_wide32,5000,10000,100,0.36307506650933835,2.057290296260435,0.046954695135354996,0.7376999855041504,0.21466298401355743
c100,resnet110,5000,10000,100,0.4018501338463887,2.632341493333686,0.057561587542295456,0.7124999761581421,0.21837020944803953
c100,resnet110_SD,5000,10000,100,0.3706409401020722,2.3157248829516246,0.04603605344891548,0.7332000136375427,0.22044946532696486
birds,resnet50,2897,2897,200,0.3828219590140907,6.180810296791415,0.05217793956398964,0.7221263647079468,0.2709205290302634
SVHN,resnet152_SD,6000,26032,10,0.029566812618211178,0.152393452874258,0.0022937285248190165,0.9809465408325195,0.04125793930143118
derma,beit,1003,2005,7,0.35218848154967763,1.5137623930784991,0.03228550776839256,0.7516209483146667,0.013951306231319904
derma,convnext,1003,2005,7,0.16606667503194183,0.3911131489021709,0.013324148952960968,0.8857855200767517,0.013540390878915787
derma,resnet50,1003,2005,7,0.18022467087257366,0.5854374567174296,0.020366355776786804,0.8793017268180847,0.013739356771111488
derma,vit,1003,2005,7,0.38711863606511004,1.052080389813747,0.05821840092539787,0.7206982374191284,0.01377694308757782
oct,beit,10832,1000,4,0.3873207990108032,0.7777069235875497,0.1543542444705963,0.7329999804496765,0.024512598291039467
oct,convnext,10832,1000,4,0.18201162042341743,0.3756201076742149,0.08006352186203003,0.8769999742507935,0.024729253724217415
oct,resnet50,10832,1000,4,0.20108492551450444,0.4456343222876642,0.07830323278903961,0.8759999871253967,0.02468294370919466
oct,vit,10832,1000,4,0.4559514418329345,0.8818403205538148,0.16353759169578552,0.6909999847412109,0.02476992830634117
