dataset,model,cal_size,test_size,n_classes,MS_brier,MS_logloss,MS_ece-15,MS_accuracy,MS_time
c10,densenet40,5000,10000,10,0.1121576800942421,0.22701430320739746,0.013124212622642517,0.9248999953269958,0.807784415781498
c10,lenet5,5000,10000,10,0.3517955541610718,0.7458249926567078,0.011521069332957268,0.7462000250816345,0.694243811070919
c10,resnet_wide32,5000,10000,10,0.093695729970932,0.19276247918605804,0.010888622142374516,0.9391999840736389,0.7069605775177479
c10,resnet110,5000,10000,10,0.10144250839948654,0.21215346455574036,0.015600116923451424,0.9322999715805054,0.6083324141800404
c10,resnet110_SD,5000,10000,10,0.08995790034532547,0.18846046924591064,0.009703626856207848,0.9394000172615051,0.9805595390498638
c100,densenet40,5000,10000,100,0.9771653413772583,29.444124221801758,0.4855121672153473,0.5022000074386597,30.46552177146077
c100,lenet5,5000,10000,100,1.1474275588989258,10.72459888458252,0.45846691727638245,0.2506999969482422,677.3728168830276
c100,resnet_wide32,5000,10000,100,0.834830105304718,28.99474334716797,0.414873331785202,0.5785999894142151,21.709343165159225
c100,resnet110,5000,10000,100,0.8586477637290955,37.00113296508789,0.42926740646362305,0.5703999996185303,56.77079285681248
c100,resnet110_SD,5000,10000,100,0.9420984387397766,39.053070068359375,0.4704419672489166,0.5278000235557556,24.85292314365506
birds,resnet50,2897,2897,200,0.8860814571380615,26.09002113342285,0.43964824080467224,0.549534022808075,16.328312531113625
SVHN,resnet152_SD,6000,26032,10,0.032077353447675705,0.09037502110004425,0.0033357590436935425,0.9801398515701294,0.5109839551150799
derma,beit,1003,2005,7,0.361821711063385,0.7862157225608826,0.03991268202662468,0.7431421279907227,0.3155735768377781
derma,convnext,1003,2005,7,0.1683797687292099,0.4412406384944916,0.018572255969047546,0.8877805471420288,0.2622024565935135
derma,resnet50,1003,2005,7,0.18250857293605804,0.3768531382083893,0.01740008406341076,0.8743141889572144,0.2707747854292393
derma,vit,1003,2005,7,0.3746128976345062,0.7768740057945251,0.03634324669837952,0.7311720848083496,0.26673875749111176
oct,beit,10832,1000,4,0.3553132712841034,0.6755149960517883,0.13308939337730408,0.7580000162124634,0.12662645429372787
oct,convnext,10832,1000,4,0.17093946039676666,0.3403412401676178,0.04599276930093765,0.8970000147819519,0.14798401296138763
oct,resnet50,10832,1000,4,0.1886814534664154,0.38663724064826965,0.0679619163274765,0.8759999871253967,0.16981511190533638
oct,vit,10832,1000,4,0.4306409955024719,0.8298543691635132,0.14084351062774658,0.7170000076293945,0.1455424353480339
