dataset,model,cal_size,test_size,CB_brier,CB_logloss,CB_kuiper,CB_ece-15,CB_accuracy,CB_time
2dplanes,CatBoost,36691,4077,0.09519871489729174,0.15172832457825425,0.00469290092587471,0.00999989453703165,0.9305862188339233,0.4649039749056101
2dplanes,ExtraTrees,36691,4077,0.0963000010732349,0.15423931621975237,0.00681978277862072,0.009556243196129799,0.9234731197357178,0.3633403847925365
2dplanes,LightGBM,36691,4077,0.0959703788872064,0.15391937234348735,0.005023375153541565,0.013410543091595173,0.928378701210022,0.35520610585808754
2dplanes,LinearModel,36691,4077,0.22114520784201266,0.34192824019337975,0.010903407819569111,0.019952306523919106,0.8410596251487732,0.35793861793354154
2dplanes,NeuralNetFastAI,36691,4077,0.09501885340820758,0.152230214166569,0.005378914996981621,0.00978276040405035,0.9276428818702698,0.35749814193695784
2dplanes,NeuralNetTorch,36691,4077,0.09539396509373856,0.15306334606472893,0.004372231662273407,0.013293452560901642,0.9300956726074219,0.35853921016678214
2dplanes,RandomForest,36691,4077,0.09455793414542284,0.15354876853179386,0.004010221920907497,0.009771961718797684,0.9315673112869263,0.3620758168399334
2dplanes,XGBoost,36691,4077,0.0943477810086569,0.15119596221417242,0.003251857589930296,0.006257012020796537,0.9315673112869263,0.3564725648611784
APSFailure,CatBoost,68400,7600,0.007946647722639488,0.015781310878027102,0.0011360256467014551,0.001467402558773756,0.9951315522193909,0.555830208119005
APSFailure,ExtraTrees,68400,7600,0.009352340705903845,0.017924345074606742,0.0010144608095288277,0.0016790160443633795,0.9940789341926575,0.5094425645656884
APSFailure,LightGBM,68400,7600,0.007608019281824978,0.015253679513963767,0.000798166380263865,0.0017666441854089499,0.9955263137817383,0.5612037829123437
APSFailure,LinearModel,68400,7600,0.01183211227285929,0.022785529531822613,0.0014351349091157317,0.0019478036556392908,0.99289470911026,0.5595717537216842
APSFailure,NeuralNetFastAI,68400,7600,0.009429100381475809,0.017939441418388703,0.000955142779275775,0.0023640391882508993,0.9944736957550049,0.55069121113047
APSFailure,NeuralNetTorch,68400,7600,0.011272636393847074,0.021920182626703835,0.001580164534971118,0.003125020768493414,0.9932894706726074,0.5601773890666664
APSFailure,RandomForest,68400,7600,0.007884299649712592,0.01603617099574006,0.001010623062029481,0.0019540118519216776,0.9951315522193909,0.4823427558876574
APSFailure,XGBoost,68400,7600,0.0077529735645761825,0.01511046319869332,0.001129061565734446,0.001684302813373506,0.9952631592750549,0.5547979013063014
Amazon_employee_access,CatBoost,29492,3277,0.07298628071886591,0.13561900800346874,0.004011123441159725,0.010169297456741333,0.952395498752594,0.30754075339064
Amazon_employee_access,ExtraTrees,29492,3277,0.07915885550818068,0.14858937070718123,0.006132473703473806,0.008611418306827545,0.9490387439727783,0.3084746324457228
Amazon_employee_access,LightGBM,29492,3277,0.07941863659241959,0.15226413765551083,0.003832954913377762,0.006612837314605713,0.9493439197540283,0.2956238631159067
Amazon_employee_access,LinearModel,29492,3277,0.08366829597315863,0.15700525937035376,0.004249412566423416,0.00691772997379303,0.9459871649742126,0.29964561481028795
Amazon_employee_access,NeuralNetFastAI,29492,3277,0.08389085112729759,0.15624685828699647,0.004191122017800808,0.006102608982473612,0.9456820487976074,0.29935109382495284
Amazon_employee_access,NeuralNetTorch,29492,3277,0.0855319167711281,0.16148403170656622,0.007493063807487488,0.01109302043914795,0.9459871649742126,0.2970342501066625
Amazon_employee_access,RandomForest,29492,3277,0.07559097406017043,0.14395586474391953,0.005769349634647369,0.009736929088830948,0.951785147190094,0.3001617230474949
Amazon_employee_access,XGBoost,29492,3277,0.0754041306040777,0.1446749773987349,0.003651268780231476,0.006629747338593006,0.9514800310134888,0.296307269949466
Australian,CatBoost,621,69,0.18265908710759735,0.31190461010704984,0.05138934403657913,0.06470497697591782,0.8840579986572266,0.05293640587478876
Australian,ExtraTrees,621,69,0.16813848391334688,0.2901563790779948,0.05062062293291092,0.11618126928806305,0.8550724387168884,0.05376933515071869
Australian,LightGBM,621,69,0.18875549831399405,0.33769191902756013,0.06015139818191528,0.12067017704248428,0.8405796885490417,0.05193037586286664
Australian,LinearModel,621,69,0.15716341232280223,0.28708004779272006,0.07739655673503876,0.13449980318546295,0.9130434989929199,0.05212507862597704
Australian,NeuralNetFastAI,621,69,0.15372756390987954,0.2800246582610561,0.061147790402173996,0.08631023019552231,0.8985507488250732,0.05264873197302222
Australian,NeuralNetTorch,621,69,0.1686750421795408,0.2889173347840126,0.0538589172065258,0.10596004873514175,0.8840579986572266,0.053017934784293175
Australian,RandomForest,621,69,0.16062419527093458,0.28262413876880604,0.04431191086769104,0.08185005933046341,0.8550724387168884,0.053243415895849466
Australian,XGBoost,621,69,0.15009121017452118,0.2688973194122984,0.03848756104707718,0.06645160168409348,0.9130434989929199,0.051428573206067085
Bioresponse,CatBoost,3375,376,0.2808207463681976,0.4389436449732834,0.019439946860074997,0.04392363131046295,0.8164893388748169,0.07957135094329715
Bioresponse,ExtraTrees,3375,376,0.287422685615093,0.4433003460793067,0.026568839326500893,0.07167118042707443,0.8005319237709045,0.0814847769215703
Bioresponse,LightGBM,3375,376,0.2831753713721401,0.44101325759322785,0.03522050380706787,0.0625310018658638,0.8164893388748169,0.08208777895197272
Bioresponse,LinearModel,3375,376,0.3713677358106747,0.556909054060627,0.05138101056218147,0.07002338767051697,0.7367021441459656,0.08151146909222007
Bioresponse,NeuralNetFastAI,3375,376,0.28910386382227143,0.4460849067745095,0.022206947207450867,0.061539918184280396,0.7819148898124695,0.07937983609735966
Bioresponse,NeuralNetTorch,3375,376,0.29649826156600867,0.45617868202801276,0.025935061275959015,0.0511552169919014,0.7792553305625916,0.0790339820086956
Bioresponse,RandomForest,3375,376,0.28611603843894406,0.44248319895847193,0.02932095155119896,0.06783125549554825,0.8058510422706604,0.07988459011539817
Bioresponse,XGBoost,3375,376,0.27786638285435117,0.43608733772920216,0.02976863645017147,0.06681784242391586,0.8085106611251831,0.07905252883210778
Click_prediction_small,CatBoost,35953,3995,0.2543356500272032,0.4135312078919227,0.009028181433677673,0.013249014504253864,0.8362953662872314,0.3474942110478878
Click_prediction_small,ExtraTrees,35953,3995,0.26144471181094203,0.42319639934103703,0.0078114718198776245,0.010375271551311016,0.8340425491333008,0.3446611179970205
Click_prediction_small,LightGBM,35953,3995,0.2585194281737874,0.41938749745497417,0.008183736354112625,0.014554478228092194,0.8370463252067566,0.34703733306378126
Click_prediction_small,LinearModel,35953,3995,0.26143703539426666,0.4250904321701326,0.010683124884963036,0.01693689078092575,0.8350437879562378,0.34628546284511685
Click_prediction_small,NeuralNetFastAI,35953,3995,0.25940341405974593,0.42168829407658737,0.0046426281332969666,0.009306656196713448,0.8365457057952881,0.3482706658542156
Click_prediction_small,NeuralNetTorch,35953,3995,0.259247668144652,0.41884063090140744,0.0050371624529361725,0.008911988697946072,0.8340425491333008,0.3491185219027102
Click_prediction_small,RandomForest,35953,3995,0.26004453744363404,0.4201919329009803,0.00515451654791832,0.012948282063007355,0.8340425491333008,0.3469567848369479
