dataset,model,cal_size,test_size,CIR_brier,CIR_logloss,CIR_kuiper,CIR_ece-15,CIR_accuracy,CIR_time
2dplanes,CatBoost,36691,4077,0.09484000341003294,0.1510455500620385,0.0055404528975486755,0.00963794905692339,0.9261711835861206,0.014262542012147605
2dplanes,ExtraTrees,36691,4077,0.09452112539118765,0.15163692267063916,0.005923854187130928,0.0064208838157355785,0.9251900911331177,0.01058524800464511
2dplanes,LightGBM,36691,4077,0.09448179438049811,0.15130418288678793,0.004334046971052885,0.006111728493124247,0.9296051263809204,0.011318215052597225
2dplanes,LinearModel,36691,4077,0.23242427726340717,0.36358407278769916,0.010563129559159279,0.019385743886232376,0.843021810054779,0.01096271991264075
2dplanes,NeuralNetFastAI,36691,4077,0.0939149441431325,0.14980858974701472,0.003414203878492117,0.006009147968143225,0.9330390095710754,0.011181444046087563
2dplanes,NeuralNetTorch,36691,4077,0.0943481226511355,0.15113823217497951,0.0037773409858345985,0.005636220797896385,0.9315673112869263,0.011236941092647612
2dplanes,RandomForest,36691,4077,0.09436289708983676,0.15197495202108383,0.005325463134795427,0.0066779255867004395,0.9278881549835205,0.009855075972154737
2dplanes,XGBoost,36691,4077,0.09430563388404739,0.15061888427603176,0.004511269740760326,0.0059028794057667255,0.927397608757019,0.011101068928837776
APSFailure,CatBoost,68400,7600,0.007788265680806156,0.025533868887344824,0.000910908100195229,0.0019331455696374178,0.9951315522193909,0.022533256094902754
APSFailure,ExtraTrees,68400,7600,0.009213614949874313,0.017617448585709152,0.0011002651881426573,0.0017517113592475653,0.9940789341926575,0.017300477949902415
APSFailure,LightGBM,68400,7600,0.007666870254462748,0.015118803931467896,0.0006487309001386166,0.00191187032032758,0.9952631592750549,0.022292606066912413
APSFailure,LinearModel,68400,7600,0.01153153953379297,0.02200903017856118,0.0012739545200020075,0.002255719155073166,0.99289470911026,0.022831395035609603
APSFailure,NeuralNetFastAI,68400,7600,0.0092230107432169,0.017193675338483105,0.0009234468452632427,0.0026895899791270494,0.9943420886993408,0.02284301200415939
APSFailure,NeuralNetTorch,68400,7600,0.011040196560857389,0.031420391590830085,0.0018878541886806488,0.003788055619224906,0.9932894706726074,0.023165178950875998
APSFailure,RandomForest,68400,7600,0.007963760571109148,0.015855960994715458,0.0011917295632883906,0.00269937957637012,0.9948683977127075,0.016782204969786108
APSFailure,XGBoost,68400,7600,0.0074832133918181975,0.01450114983380948,0.0008482993580400944,0.0018905748147517443,0.9951315522193909,0.022498004022054374
Amazon_employee_access,CatBoost,29492,3277,0.07222013086786958,0.13395059206779186,0.004007861018180847,0.009619394317269325,0.9527006149291992,0.01027113408781588
Amazon_employee_access,ExtraTrees,29492,3277,0.07910681607418771,0.14869478607962494,0.005473567172884941,0.009803292341530323,0.9490387439727783,0.009027799009345472
Amazon_employee_access,LightGBM,29492,3277,0.07899650047620946,0.15084778439404564,0.0038804817013442516,0.010452089831233025,0.9490387439727783,0.009855764103122056
Amazon_employee_access,LinearModel,29492,3277,0.08368791034224642,0.1563052379098423,0.004080681130290031,0.008095089346170425,0.9462923407554626,0.009734816965647042
Amazon_employee_access,NeuralNetFastAI,29492,3277,0.083052544548136,0.1544786698625641,0.003952987492084503,0.007143659517168999,0.9465975165367126,0.009410337079316378
Amazon_employee_access,NeuralNetTorch,29492,3277,0.0855173090259904,0.16063254142630767,0.007004566490650177,0.012787478044629097,0.9462923407554626,0.00984064198564738
Amazon_employee_access,RandomForest,29492,3277,0.07520684179114526,0.14206336354506963,0.006539329886436462,0.015286536887288094,0.951785147190094,0.009027982945553958
Amazon_employee_access,XGBoost,29492,3277,0.07513900659657202,0.14352940017479165,0.00346622196957469,0.007845588028430939,0.951785147190094,0.009036220028065145
Australian,CatBoost,621,69,0.16591054285526646,0.2772131913354419,0.045729801058769226,0.07878962904214859,0.8840579986572266,0.002073015086352825
Australian,ExtraTrees,621,69,0.16576391403400428,0.2866114134023437,0.0583842396736145,0.10910903662443161,0.8695651888847351,0.0020520109683275223
Australian,LightGBM,621,69,0.1816075093645878,2.730142847704937,0.06252412497997284,0.11653990298509598,0.8695651888847351,0.0021039750427007675
Australian,LinearModel,621,69,0.17687157759911434,0.2987165937724626,0.05705147981643677,0.10560557246208191,0.9130434989929199,0.002128833089955151
Australian,NeuralNetFastAI,621,69,0.15181159003336492,0.28969732115624225,0.05942124128341675,0.10177281498908997,0.8985507488250732,0.0020771889248862863
Australian,NeuralNetTorch,621,69,0.16719132129470135,0.2885756644564024,0.04635170102119446,0.12366688996553421,0.8840579986572266,0.0020768899703398347
Australian,RandomForest,621,69,0.16709654125760567,0.3118912952687768,0.04803115129470825,0.10127835720777512,0.8550724387168884,0.002046418027020991
Australian,XGBoost,621,69,0.15162626576314422,1.466216115235259,0.04110134020447731,0.09234827756881714,0.9130434989929199,0.002080656006000936
Bioresponse,CatBoost,3375,376,0.27988629133043913,0.4378353384488633,0.025827357545495033,0.057923268526792526,0.8058510422706604,0.003196949022822082
Bioresponse,ExtraTrees,3375,376,0.28543017079616045,0.43867839939501185,0.027651414275169373,0.06459372490644455,0.8085106611251831,0.003036365960724652
Bioresponse,LightGBM,3375,376,0.2790276960155273,0.43437956005684675,0.03134830296039581,0.07946337759494781,0.811170220375061,0.0031550019048154354
Bioresponse,LinearModel,3375,376,0.36529561755306017,0.54919014227753,0.04155072942376137,0.06728609651327133,0.7420212626457214,0.002986571053043008
Bioresponse,NeuralNetFastAI,3375,376,0.28577572994259715,0.4405233435122065,0.021745000034570694,0.05261595919728279,0.7792553305625916,0.0030005769804120064
Bioresponse,NeuralNetTorch,3375,376,0.2956463850368891,0.4551977420589171,0.023979537189006805,0.05242006853222847,0.7765957713127136,0.003134485916234553
Bioresponse,RandomForest,3375,376,0.2830043641965354,0.43876050678942136,0.031558383256196976,0.06837207823991776,0.811170220375061,0.002911334973759949
Bioresponse,XGBoost,3375,376,0.2797152775372004,0.4373334134128253,0.03318462520837784,0.06411008536815643,0.8085106611251831,0.0031849489314481616
Click_prediction_small,CatBoost,35953,3995,0.2535461822339748,0.43243626183497025,0.00864538736641407,0.013580715283751488,0.8372966051101685,0.012448508059605956
Click_prediction_small,ExtraTrees,35953,3995,0.2604029350171374,0.42083996177473787,0.007192231714725494,0.008925989270210266,0.8345431685447693,0.011912905029021204
Click_prediction_small,LightGBM,35953,3995,0.258319919561451,0.4191713784341965,0.007280983030796051,0.011508002877235413,0.8372966051101685,0.011604079976677895
Click_prediction_small,LinearModel,35953,3995,0.2607113903296856,0.46551440096174385,0.011626170016825199,0.01992814429104328,0.8350437879562378,0.011364436009898782
Click_prediction_small,NeuralNetFastAI,35953,3995,0.2586714885505958,0.4204452109565005,0.007364034652709961,0.00851969700306654,0.8375469446182251,0.012121665058657527
Click_prediction_small,NeuralNetTorch,35953,3995,0.2594452609381899,0.41824001017814066,0.004656676203012466,0.00734458165243268,0.8347935080528259,0.01154049695469439
Click_prediction_small,RandomForest,35953,3995,0.2593739887932105,0.41847780945009233,0.00407982524484396,0.010447883047163486,0.8342928886413574,0.011403132928535342
Click_prediction_small,XGBoost,35953,3995,0.2579490331762191,0.41737022074187113,0.007295886054635048,0.013065776787698269,0.8357947468757629,0.010795998037792742
GAMETES_Epistasis_2-Way_1000atts_0_4H_EDM-1_EDM-1_1,CatBoost,1440,160,0.40447204464119724,0.5950126964250992,0.08257584273815155,0.1606629639863968,0.7437499761581421,0.0021636210149154067
GAMETES_Epistasis_2-Way_1000atts_0_4H_EDM-1_EDM-1_1,ExtraTrees,1440,160,0.5004894922046754,0.6936267490687411,0.0693325400352478,0.011449785903096199,0.5062500238418579,0.002085193060338497
GAMETES_Epistasis_2-Way_1000atts_0_4H_EDM-1_EDM-1_1,LightGBM,1440,160,0.5149812553547767,0.708213742352106,0.08900026977062225,0.05040347948670387,0.4000000059604645,0.0022539530182257295
GAMETES_Epistasis_2-Way_1000atts_0_4H_EDM-1_EDM-1_1,LinearModel,1440,160,0.5081147336074856,0.7014138074986803,0.04354199022054672,0.04195854440331459,0.46875,0.0020319019677117467
GAMETES_Epistasis_2-Way_1000atts_0_4H_EDM-1_EDM-1_1,NeuralNetFastAI,1440,160,0.4948601729611865,0.6880143813163464,0.06760174036026001,0.013255586847662926,0.5625,0.0022572330199182034
GAMETES_Epistasis_2-Way_1000atts_0_4H_EDM-1_EDM-1_1,NeuralNetTorch,1440,160,0.5025182746450507,0.6956721631986393,0.05328942835330963,0.010520454496145248,0.4749999940395355,0.002104314975440502
GAMETES_Epistasis_2-Way_1000atts_0_4H_EDM-1_EDM-1_1,RandomForest,1440,160,0.5138738243082374,0.7071514318310721,0.05602952837944031,0.05992932245135307,0.4749999940395355,0.002156022936105728
GAMETES_Epistasis_2-Way_1000atts_0_4H_EDM-1_EDM-1_1,XGBoost,1440,160,0.5027257940195351,0.6959106218731221,0.037025243043899536,0.0331406407058239,0.5062500238418579,0.002006768947467208
GAMETES_Epistasis_2-Way_20atts_0_1H_EDM-1_1,CatBoost,1440,160,0.41467542640016897,0.6055486063996807,0.048591312021017075,0.07380643486976624,0.699999988079071,0.002357355086132884
GAMETES_Epistasis_2-Way_20atts_0_1H_EDM-1_1,ExtraTrees,1440,160,0.46683438519784237,0.6594509195815268,0.04056427627801895,0.08434001356363297,0.606249988079071,0.002079196972772479
GAMETES_Epistasis_2-Way_20atts_0_1H_EDM-1_1,LightGBM,1440,160,0.4420191376220803,0.633768796542742,0.05785315856337547,0.10371384769678116,0.675000011920929,0.0023362780921161175
GAMETES_Epistasis_2-Way_20atts_0_1H_EDM-1_1,LinearModel,1440,160,0.4999168167771213,0.6930641047561824,0.07883211970329285,0.0007876264280639589,0.5062500238418579,0.0018028441118076444
GAMETES_Epistasis_2-Way_20atts_0_1H_EDM-1_1,NeuralNetFastAI,1440,160,0.4113728253128156,0.600156929574805,0.05202709883451462,0.07016126066446304,0.699999988079071,0.0022210589377209544
GAMETES_Epistasis_2-Way_20atts_0_1H_EDM-1_1,NeuralNetTorch,1440,160,0.4073559219862794,0.5972876868553774,0.04999251291155815,0.08536972105503082,0.699999988079071,0.002076757955364883
GAMETES_Epistasis_2-Way_20atts_0_1H_EDM-1_1,RandomForest,1440,160,0.4802038012416766,0.67335067765766,0.037253957241773605,0.05806870013475418,0.5687500238418579,0.002133580041117966
GAMETES_Epistasis_2-Way_20atts_0_1H_EDM-1_1,XGBoost,1440,160,0.44145530363749524,0.6321348746522559,0.0427345335483551,0.047313787043094635,0.65625,0.002141661010682583
GAMETES_Epistasis_2-Way_20atts_0_4H_EDM-1_1,CatBoost,1440,160,0.2960492815447542,0.4496812163070441,0.043194953352212906,0.07175201922655106,0.7875000238418579,0.002130270004272461
GAMETES_Epistasis_2-Way_20atts_0_4H_EDM-1_1,ExtraTrees,1440,160,0.39193987067258346,0.5784643833255584,0.03751978650689125,0.08059032261371613,0.699999988079071,0.0022953529842197895
GAMETES_Epistasis_2-Way_20atts_0_4H_EDM-1_1,LightGBM,1440,160,0.3154740633341714,0.4749249359890165,0.05251827836036682,0.08841589093208313,0.768750011920929,0.002348056063055992
GAMETES_Epistasis_2-Way_20atts_0_4H_EDM-1_1,LinearModel,1440,160,0.5043502707936511,0.6980256419788355,0.11354298889636993,0.010956223122775555,0.4937500059604645,0.002096096985042095
GAMETES_Epistasis_2-Way_20atts_0_4H_EDM-1_1,NeuralNetFastAI,1440,160,0.2859137344439896,0.4342596630929279,0.038474831730127335,0.03524656966328621,0.793749988079071,0.0023489530431106687
GAMETES_Epistasis_2-Way_20atts_0_4H_EDM-1_1,NeuralNetTorch,1440,160,0.29979910129744347,0.45891476467413916,0.03825545683503151,0.09942848235368729,0.793749988079071,0.0024510578950867057
GAMETES_Epistasis_2-Way_20atts_0_4H_EDM-1_1,RandomForest,1440,160,0.38741592133945185,1.0970048130409171,0.03122539632022381,0.06486457586288452,0.7250000238418579,0.002154669025912881
