dataset,model,cal_size,test_size,Platt_brier,Platt_logloss,Platt_kuiper,Platt_ece-15,Platt_accuracy,Platt_time
2dplanes,CatBoost,36691,4077,0.10102904812952371,0.17441914571941403,0.01465657725930214,0.018754607066512108,0.9264164566993713,0.05267301097046584
2dplanes,ExtraTrees,36691,4077,0.09956168562514044,0.17340878168324042,0.013895567506551743,0.014708620496094227,0.9256806373596191,0.06697330204769969
2dplanes,LightGBM,36691,4077,0.10053087619151019,0.17604057634091597,0.014004811644554138,0.013806186616420746,0.9298503994941711,0.08186186291277409
2dplanes,LinearModel,36691,4077,0.23776287137038157,0.38076912615577013,0.021853655576705933,0.04892101511359215,0.8403237462043762,0.05568616499658674
2dplanes,NeuralNetFastAI,36691,4077,0.0987362943663183,0.1738949764831622,0.012490779161453247,0.012606579810380936,0.9330390095710754,0.05625461298041046
2dplanes,NeuralNetTorch,36691,4077,0.09953132277365623,0.17722115740199665,0.014076120220124722,0.011053397320210934,0.9320578575134277,0.05270904104690999
2dplanes,RandomForest,36691,4077,0.10084060048147857,0.17671231140968532,0.014902742579579353,0.015519012697041035,0.9269070625305176,0.056781078106723726
2dplanes,XGBoost,36691,4077,0.10108612208804112,0.17642139228060336,0.014507215470075607,0.01691596210002899,0.9276428818702698,0.054070069920271635
APSFailure,CatBoost,68400,7600,0.00863982976863117,0.02184395653102528,0.003020324744284153,0.0012222952209413052,0.9952631592750549,0.09501942002680153
APSFailure,ExtraTrees,68400,7600,0.009422725349794036,0.020212088722129276,0.0023750532418489456,0.001907426631078124,0.9940789341926575,0.09852332901209593
APSFailure,LightGBM,68400,7600,0.008406229298998754,0.02079806604410196,0.003109893761575222,0.0016193223418667912,0.9950000047683716,0.10101756302174181
APSFailure,LinearModel,68400,7600,0.012563453219069562,0.02932356580462524,0.00425655348226428,0.0020664928015321493,0.9927631616592407,0.09318914404138923
APSFailure,NeuralNetFastAI,68400,7600,0.010158210269461423,0.0244978432913668,0.0037409495562314987,0.0021918267011642456,0.9936842322349548,0.1026924829930067
APSFailure,NeuralNetTorch,68400,7600,0.011739918981194206,0.02663529232360572,0.004339046310633421,0.0032073757611215115,0.9931579232215881,0.10170936200302094
APSFailure,RandomForest,68400,7600,0.00818827671076424,0.017673849188158782,0.002126037608832121,0.0027027586475014687,0.9948683977127075,0.10045031097251922
APSFailure,XGBoost,68400,7600,0.00843930267745932,0.02120038225380653,0.0031006201170384884,0.001473898533731699,0.9950000047683716,0.10114093997981399
Amazon_employee_access,CatBoost,29492,3277,0.0750925043943992,0.14646625237864636,0.015659406781196594,0.014769097790122032,0.9542264342308044,0.062398470006883144
Amazon_employee_access,ExtraTrees,29492,3277,0.08256045322823347,0.15749898482796681,0.012491378001868725,0.0207813810557127,0.9481232762336731,0.044990109046921134
