dataset,model,cal_size,test_size,Beta_brier,Beta_logloss,Beta_kuiper,Beta_ece-15,Beta_accuracy,Beta_time
fri_c4_500_100,XGBoost,450,50,0.14820101896286675,0.22935308741143431,0.051728568971157074,0.08863411843776703,0.8999999761581421,0.0028015971183776855
fried,CatBoost,36691,4077,0.09254756808490641,0.14583131468636867,0.006729392800480127,0.010949433781206608,0.9313220381736755,0.019221406430006027
fried,ExtraTrees,36691,4077,0.1141128927677369,0.17900944594246496,0.009318369440734386,0.016081981360912323,0.9205297827720642,0.02227676659822464
fried,LightGBM,36691,4077,0.09343800395809332,0.1476515773990463,0.00703307893127203,0.012038321234285831,0.9298503994941711,0.021633509546518326
fried,LinearModel,36691,4077,0.2320910254083143,0.36833619837790277,0.010647397488355637,0.01854187250137329,0.8386068344116211,0.02105322852730751
fried,NeuralNetFastAI,36691,4077,0.0912041709898764,0.14423529857710413,0.008239233866333961,0.012331049889326096,0.9337748289108276,0.018848996609449387
fried,NeuralNetTorch,36691,4077,0.09080245432664134,0.1439323494676852,0.006551102269440889,0.012108301743865013,0.9350012540817261,0.02119213342666626
fried,RandomForest,36691,4077,0.11550448086988314,0.18215625435248056,0.008640607818961143,0.01674189232289791,0.9153789281845093,0.015824656933546066
fried,XGBoost,36691,4077,0.09455607755488807,0.1504823390682154,0.006532114930450916,0.011240517720580101,0.9335295557975769,0.021744225174188614
gina,CatBoost,2837,316,0.060589617855155396,0.10384642524964245,0.010717577300965786,0.031804706901311874,0.9588607549667358,0.003928583115339279
gina,ExtraTrees,2837,316,0.093774567721112,0.16096968507401743,0.011411989107728004,0.02969074249267578,0.9430379867553711,0.00466059148311615
gina,LightGBM,2837,316,0.06347604477112107,0.11096276925899912,0.01027924194931984,0.026089796796441078,0.9588607549667358,0.003842528909444809
gina,LinearModel,2837,316,0.22346772709294055,0.3612939965237384,0.04387969151139259,0.0794103592634201,0.8417721390724182,0.005097482353448868
gina,NeuralNetFastAI,2837,316,0.0555692208924626,0.10553626448366966,0.02890811115503311,0.05389130860567093,0.9746835231781006,0.005121584981679916
gina,NeuralNetTorch,2837,316,0.05780534369649213,0.1119902925021503,0.029219994321465492,0.06007455289363861,0.9778481125831604,0.004847541451454163
