dataset,model,cal_size,test_size,Hist-quantile_brier,Hist-quantile_logloss,Hist-quantile_kuiper,Hist-quantile_ece-15,Hist-quantile_accuracy,Hist-quantile_time
2dplanes,CatBoost,36691,4077,0.1093794567832506,0.1726739146336592,0.018769780173897743,0.00524368230253458,0.9259259104728699,0.006795375607907772
2dplanes,ExtraTrees,36691,4077,0.10821053711153826,0.1718870575185572,0.00912747997790575,0.011911154724657536,0.9249448180198669,0.0035643083974719048
2dplanes,LightGBM,36691,4077,0.10649753074395402,0.1695224258241456,0.020221460610628128,0.003913386259227991,0.9286239743232727,0.003247719258069992
2dplanes,LinearModel,36691,4077,0.2345434251529797,0.3677316182141108,0.027394630014896393,0.01539123710244894,0.8408143520355225,0.0031552286818623543
2dplanes,NeuralNetFastAI,36691,4077,0.10258786977808726,0.1630654689829171,0.03195160627365112,0.009970463812351227,0.9330390095710754,0.0031060203909873962
2dplanes,NeuralNetTorch,36691,4077,0.10465227937524188,0.16831017598812448,0.025943228974938393,0.006118001416325569,0.9320578575134277,0.003019382245838642
2dplanes,RandomForest,36691,4077,0.10786802857046372,0.17362467158140177,0.019349975511431694,0.006397028919309378,0.9269070625305176,0.0028117643669247627
2dplanes,XGBoost,36691,4077,0.10822861802689995,0.1715867524333334,0.018813971430063248,0.004601881839334965,0.9276428818702698,0.002906760200858116
APSFailure,CatBoost,68400,7600,0.029624899485491723,0.05915224943113274,0.012895121239125729,0.00025682782870717347,0.9819737076759338,0.006669003516435623
APSFailure,ExtraTrees,68400,7600,0.029373069792010327,0.048046722505114124,0.012460602447390556,0.0009587736567482352,0.9819737076759338,0.0037771882489323616
APSFailure,LightGBM,68400,7600,0.029876045052773786,0.04967218460745916,0.01166397426277399,0.00048628466902300715,0.9819737076759338,0.005698452703654766
APSFailure,LinearModel,68400,7600,0.03000130599113717,0.05043039318961746,0.011181287467479706,0.0006843644077889621,0.9819737076759338,0.0052607301622629166
APSFailure,NeuralNetFastAI,68400,7600,0.029816516412382397,0.059691454406227314,0.013626212254166603,0.0002782283700071275,0.9819737076759338,0.0053136032074689865
APSFailure,NeuralNetTorch,68400,7600,0.03010178567651946,0.06071397351566614,0.01338459923863411,0.0011574917007237673,0.9819737076759338,0.0055710626766085625
APSFailure,RandomForest,68400,7600,0.02883780950249607,0.04698251078585976,0.013781797140836716,0.0029239116702228785,0.9819737076759338,0.003489164635539055
APSFailure,XGBoost,68400,7600,0.029198611808625118,0.04744291489196781,0.013441557995975018,0.0015036237891763449,0.9819737076759338,0.005728220567107201
Amazon_employee_access,CatBoost,29492,3277,0.08345063550240181,0.1471575492690565,0.02100575529038906,0.005913663189858198,0.9423252940177917,0.002654748037457466
Amazon_employee_access,ExtraTrees,29492,3277,0.08529218337900488,0.15541252857856241,0.020736362785100937,0.005084052681922913,0.9423252940177917,0.0028100116178393364
Amazon_employee_access,LightGBM,29492,3277,0.08687665856934303,0.15978221226139055,0.02019258216023445,0.003739746520295739,0.9423252940177917,0.0025821207091212273
Amazon_employee_access,LinearModel,29492,3277,0.08853216829820405,0.16202290794059265,0.022247232496738434,0.0028729974292218685,0.9423252940177917,0.002582625485956669
Amazon_employee_access,NeuralNetFastAI,29492,3277,0.08714488638204923,0.15939263206836954,0.019777286797761917,0.003000294789671898,0.9423252940177917,0.0026241252198815346
Amazon_employee_access,NeuralNetTorch,29492,3277,0.08940875887544175,0.16494712048574744,0.022279564291238785,0.010346558876335621,0.9423252940177917,0.0027519967406988144
Amazon_employee_access,RandomForest,29492,3277,0.08300400881237965,0.1500472839020002,0.022488772869110107,0.009114908054471016,0.9423252940177917,0.002591067925095558
Amazon_employee_access,XGBoost,29492,3277,0.08514164220498813,0.15508854638377365,0.019860895350575447,0.0010811889078468084,0.9423252940177917,0.0026952913030982018
Australian,CatBoost,621,69,0.1743055596802156,0.2951784400005343,0.057622842490673065,0.056046538054943085,0.8985507488250732,0.0003987383097410202
Australian,ExtraTrees,621,69,0.17692765386473716,0.3166979533706107,0.058238156139850616,0.08668249845504761,0.9275362491607666,0.00039082951843738556
Australian,LightGBM,621,69,0.1913826142864936,2.74607413320075,0.07059373706579208,0.07267152518033981,0.8550724387168884,0.00040449295192956924
Australian,LinearModel,621,69,0.18523911920582622,0.30582543828132697,0.0591040700674057,0.06003684550523758,0.8695651888847351,0.00039056409150362015
Australian,NeuralNetFastAI,621,69,0.149867387975731,1.4864023230036882,0.060816820710897446,0.06695043295621872,0.9275362491607666,0.0003823172301054001
Australian,NeuralNetTorch,621,69,0.17044621187498268,0.29431818432238277,0.0574018657207489,0.06855186820030212,0.8695651888847351,0.0004195794463157654
Australian,RandomForest,621,69,0.1699411715806657,0.30424067170102004,0.05895797535777092,0.08099162578582764,0.8550724387168884,0.00037987250834703445
Australian,XGBoost,621,69,0.16068144086177674,1.4843122100116986,0.048804786056280136,0.04592612013220787,0.8985507488250732,0.00042757485061883926
Bioresponse,CatBoost,3375,376,0.2810448704203873,0.4411118508530936,0.03219648450613022,0.03501279652118683,0.8058510422706604,0.0006487611681222916
Bioresponse,ExtraTrees,3375,376,0.28897493669893576,0.4452666515280251,0.034227002412080765,0.05947024002671242,0.8031914830207825,0.0006189579144120216
Bioresponse,LightGBM,3375,376,0.2797453502985881,0.4345660610684916,0.03866312652826309,0.046005621552467346,0.8058510422706604,0.0006217146292328835
Bioresponse,LinearModel,3375,376,0.3664675521836377,0.5503831932652589,0.03649018704891205,0.060188744217157364,0.7367021441459656,0.0006291056051850319
Bioresponse,NeuralNetFastAI,3375,376,0.28959025213826006,0.44510835862904663,0.036156535148620605,0.04368750378489494,0.7792553305625916,0.0006504757329821587
Bioresponse,NeuralNetTorch,3375,376,0.2927265637722309,0.454832054189807,0.028537213802337646,0.04500783234834671,0.7872340679168701,0.0006435858085751534
Bioresponse,RandomForest,3375,376,0.285708691827565,0.44448562718556583,0.03610692545771599,0.06890737265348434,0.8164893388748169,0.0006201965734362602
Bioresponse,XGBoost,3375,376,0.2780590395368247,0.43686010122631264,0.033640556037425995,0.030291635543107986,0.8031914830207825,0.0006072698161005974
Click_prediction_small,CatBoost,35953,3995,0.2574853874103084,0.4169063465049885,0.008514132350683212,0.009612634778022766,0.8315394520759583,0.0031290678307414055
Click_prediction_small,ExtraTrees,35953,3995,0.26311269356691064,0.42462752174970264,0.01177942007780075,0.007409117184579372,0.8315394520759583,0.003282143734395504
Click_prediction_small,LightGBM,35953,3995,0.26206324161778716,0.42363867550352347,0.010481913574039936,0.00554543174803257,0.8315394520759583,0.0032963287085294724
Click_prediction_small,LinearModel,35953,3995,0.2631875278331472,0.42591136859128415,0.011853446252644062,0.016151925548911095,0.8315394520759583,0.003360535018146038
Click_prediction_small,NeuralNetFastAI,35953,3995,0.26234416312661535,0.42482923999659167,0.006657101213932037,0.00825404655188322,0.8315394520759583,0.0032558608800172806
Click_prediction_small,NeuralNetTorch,35953,3995,0.26163229415934885,0.42095684234019454,0.011400450021028519,0.005409256089478731,0.8315394520759583,0.0032392675057053566
Click_prediction_small,RandomForest,35953,3995,0.261175174087455,0.4209214681091753,0.013971144333481789,0.004499902483075857,0.8315394520759583,0.0032211029902100563
Click_prediction_small,XGBoost,35953,3995,0.26038995262967757,0.4202785782704432,0.010931257158517838,0.008801951073110104,0.8315394520759583,0.0030267173424363136
GAMETES_Epistasis_2-Way_1000atts_0_4H_EDM-1_EDM-1_1,CatBoost,1440,160,0.4002240143620088,0.59026656786053,0.07532091438770294,0.11526069790124893,0.7437499761581421,0.0005068574100732803
GAMETES_Epistasis_2-Way_1000atts_0_4H_EDM-1_EDM-1_1,ExtraTrees,1440,160,0.49812282986111117,0.691283855083622,0.06957465410232544,0.01519097201526165,0.53125,0.0004788404330611229
GAMETES_Epistasis_2-Way_1000atts_0_4H_EDM-1_EDM-1_1,LightGBM,1440,160,0.5194179205246914,0.7127100848563117,0.08424477279186249,0.13732638955116272,0.4124999940395355,0.0004526078701019287
GAMETES_Epistasis_2-Way_1000atts_0_4H_EDM-1_EDM-1_1,LinearModel,1440,160,0.5020083235070814,0.6951686303950828,0.053255170583724976,0.0390649251639843,0.5249999761581421,0.00047714635729789734
GAMETES_Epistasis_2-Way_1000atts_0_4H_EDM-1_EDM-1_1,NeuralNetFastAI,1440,160,0.5012514467592593,0.6944137099660959,0.07799479365348816,0.0481770820915699,0.4937500059604645,0.0004635835066437721
GAMETES_Epistasis_2-Way_1000atts_0_4H_EDM-1_EDM-1_1,NeuralNetTorch,1440,160,0.5019332320601851,0.6950941727614024,0.06085068732500076,0.02287326380610466,0.5,0.00045281369239091873
GAMETES_Epistasis_2-Way_1000atts_0_4H_EDM-1_EDM-1_1,RandomForest,1440,160,0.5093707802854939,0.7025408018187678,0.06059028208255768,0.07304687798023224,0.4437499940395355,0.00046306662261486053
GAMETES_Epistasis_2-Way_1000atts_0_4H_EDM-1_EDM-1_1,XGBoost,1440,160,0.503097229985076,0.6962848717280515,0.05685102939605713,0.047505561262369156,0.5,0.0004729432985186577
GAMETES_Epistasis_2-Way_20atts_0_1H_EDM-1_1,CatBoost,1440,160,0.4168089313271605,0.6079503859186314,0.07200519740581512,0.05442708358168602,0.699999988079071,0.0004632333293557167
GAMETES_Epistasis_2-Way_20atts_0_1H_EDM-1_1,ExtraTrees,1440,160,0.46328125,0.6558277902421719,0.06510414928197861,0.04939236119389534,0.612500011920929,0.0004916414618492126
GAMETES_Epistasis_2-Way_20atts_0_1H_EDM-1_1,LightGBM,1440,160,0.4476086275077161,0.6407990598511952,0.06024305149912834,0.09153645485639572,0.6812499761581421,0.00044959038496017456
GAMETES_Epistasis_2-Way_20atts_0_1H_EDM-1_1,LinearModel,1440,160,0.500754726080247,0.6939182288763088,0.06571179628372192,0.01310763880610466,0.518750011920929,0.00046297255903482437
GAMETES_Epistasis_2-Way_20atts_0_1H_EDM-1_1,NeuralNetFastAI,1440,160,0.4190725067515432,0.6107205996391057,0.046831607818603516,0.06566840410232544,0.699999988079071,0.00045590847730636597
GAMETES_Epistasis_2-Way_20atts_0_1H_EDM-1_1,NeuralNetTorch,1440,160,0.40661590952932103,0.5950553679431565,0.07048610597848892,0.08667534589767456,0.699999988079071,0.0004662247374653816
GAMETES_Epistasis_2-Way_20atts_0_1H_EDM-1_1,RandomForest,1440,160,0.47837396315586417,0.6710627054681007,0.0926649272441864,0.04379340261220932,0.6000000238418579,0.0004553813487291336
GAMETES_Epistasis_2-Way_20atts_0_1H_EDM-1_1,XGBoost,1440,160,0.44205608603395063,0.6324500559017852,0.0425347164273262,0.04262152686715126,0.6625000238418579,0.0004558134824037552
GAMETES_Epistasis_2-Way_20atts_0_4H_EDM-1_1,CatBoost,1440,160,0.30558388792438274,0.4633510146709511,0.038932301104068756,0.07434895634651184,0.75,0.0004802783951163292
GAMETES_Epistasis_2-Way_20atts_0_4H_EDM-1_1,ExtraTrees,1440,160,0.3961015866126544,0.5813411627029561,0.03784722089767456,0.0583767369389534,0.6875,0.00048703979700803757
GAMETES_Epistasis_2-Way_20atts_0_4H_EDM-1_1,LightGBM,1440,160,0.3043842833719136,0.4664133401632755,0.05169270187616348,0.0740017369389534,0.7749999761581421,0.0004616398364305496
GAMETES_Epistasis_2-Way_20atts_0_4H_EDM-1_1,LinearModel,1440,160,0.5198893229166666,0.7139324428707312,0.06341145932674408,0.07447917014360428,0.5062500238418579,0.000477486290037632
GAMETES_Epistasis_2-Way_20atts_0_4H_EDM-1_1,NeuralNetFastAI,1440,160,0.2912091290509259,0.4429402863520938,0.0822482705116272,0.056640625,0.793749988079071,0.00047373585402965546
GAMETES_Epistasis_2-Way_20atts_0_4H_EDM-1_1,NeuralNetTorch,1440,160,0.3046875,0.4696511988665805,0.03515625,0.04453124850988388,0.793749988079071,0.0004929788410663605
GAMETES_Epistasis_2-Way_20atts_0_4H_EDM-1_1,RandomForest,1440,160,0.3986370322145062,0.5851368932323093,0.036414943635463715,0.06106770783662796,0.6937500238418579,0.00046221353113651276
GAMETES_Epistasis_2-Way_20atts_0_4H_EDM-1_1,XGBoost,1440,160,0.340942684220679,0.5193012647656579,0.030078131705522537,0.08042534440755844,0.731249988079071,0.00047438405454158783
GAMETES_Epistasis_3-Way_20atts_0_2H_EDM-1_1,CatBoost,1440,160,0.3922309027777777,0.5677908679189759,0.04652779549360275,0.08220486342906952,0.643750011920929,0.0005021700635552406
GAMETES_Epistasis_3-Way_20atts_0_2H_EDM-1_1,ExtraTrees,1440,160,0.4891579518483534,0.6822411459787294,0.050069600343704224,0.031980689615011215,0.5625,0.0004690391942858696
GAMETES_Epistasis_3-Way_20atts_0_2H_EDM-1_1,LightGBM,1440,160,0.4925220630787037,0.6857158118973095,0.05798611044883728,0.0479600690305233,0.574999988079071,0.00047282036393880844
GAMETES_Epistasis_3-Way_20atts_0_2H_EDM-1_1,LinearModel,1440,160,0.5012779706790123,0.6944330533095728,0.050043411552906036,0.02361111156642437,0.512499988079071,0.00046392902731895447
GAMETES_Epistasis_3-Way_20atts_0_2H_EDM-1_1,NeuralNetFastAI,1440,160,0.40215326003086427,0.5736042101888303,0.04930555075407028,0.09262152761220932,0.637499988079071,0.0004806453362107277
GAMETES_Epistasis_3-Way_20atts_0_2H_EDM-1_1,NeuralNetTorch,1440,160,0.43721908757716044,0.6245954254914982,0.04531249403953552,0.07560764253139496,0.6312500238418579,0.0004903236404061317
GAMETES_Epistasis_3-Way_20atts_0_2H_EDM-1_1,RandomForest,1440,160,0.4989951051311728,0.6924345352789036,0.05499134957790375,0.08754340559244156,0.5687500238418579,0.0004650549963116646
GAMETES_Epistasis_3-Way_20atts_0_2H_EDM-1_1,XGBoost,1440,160,0.49896375868055554,0.6923848900704208,0.08606772124767303,0.07382812350988388,0.543749988079071,0.00047839246690273285
GAMETES_Heterogeneity_20atts_1600_Het_0_4_0_2_50_EDM-2_001,CatBoost,1440,160,0.42055905189043213,0.5946606245299344,0.06540798395872116,0.08884548395872116,0.6499999761581421,0.0004964973777532578
GAMETES_Heterogeneity_20atts_1600_Het_0_4_0_2_50_EDM-2_001,ExtraTrees,1440,160,0.5039689429012346,0.7014121380847232,0.0772569328546524,0.10121528059244156,0.59375,0.0004897378385066986
GAMETES_Heterogeneity_20atts_1600_Het_0_4_0_2_50_EDM-2_001,LightGBM,1440,160,0.4614975163966049,0.6543408917536057,0.07686631381511688,0.07591145485639572,0.6312500238418579,0.0004930272698402405
GAMETES_Heterogeneity_20atts_1600_Het_0_4_0_2_50_EDM-2_001,LinearModel,1440,160,0.5096275800540123,0.7028216978803214,0.07326389849185944,0.09058159589767456,0.4312500059604645,0.0004786606878042221
GAMETES_Heterogeneity_20atts_1600_Het_0_4_0_2_50_EDM-2_001,NeuralNetFastAI,1440,160,0.4522069106867284,0.6327914864642855,0.08684895932674408,0.12313368171453476,0.606249988079071,0.00046591367572546005
GAMETES_Heterogeneity_20atts_1600_Het_0_4_0_2_50_EDM-2_001,NeuralNetTorch,1440,160,0.4454131703317901,0.6287950993322611,0.06601561605930328,0.10473090410232544,0.6499999761581421,0.00047171488404273987
GAMETES_Heterogeneity_20atts_1600_Het_0_4_0_2_50_EDM-2_001,RandomForest,1440,160,0.48447386188271613,0.6784775836022627,0.059071172028779984,0.11562500149011612,0.612500011920929,0.00045987870544195175
GAMETES_Heterogeneity_20atts_1600_Het_0_4_0_2_50_EDM-2_001,XGBoost,1440,160,0.4639250578703704,0.6591929653985524,0.06657984107732773,0.09522569179534912,0.6499999761581421,0.00048360228538513184
GAMETES_Heterogeneity_20atts_1600_Het_0_4_0_2_75_EDM-2_001,CatBoost,1440,160,0.3778338396990741,0.5528464781701283,0.04787326976656914,0.0944010391831398,0.6812499761581421,0.0004720548167824745
