dataset,model,cal_size,test_size,Quadratic_brier,Quadratic_logloss,Quadratic_kuiper,Quadratic_ece-15,Quadratic_accuracy,Quadratic_time
2dplanes,CatBoost,36691,4077,0.09566527910005172,0.1523340690876544,0.006405113730579615,0.012893262319266796,0.9266617894172668,0.022836964577436447
2dplanes,ExtraTrees,36691,4077,0.09492398521414915,0.15251597426142618,0.006259171292185783,0.009755506180226803,0.9256806373596191,0.11886041238904
2dplanes,LightGBM,36691,4077,0.09542841890212782,0.15328950304942648,0.0061273155733942986,0.011566750705242157,0.9298503994941711,0.017128005623817444
2dplanes,LinearModel,36691,4077,0.23364466513682827,0.36683152448169487,0.011979317292571068,0.02517130598425865,0.8410596251487732,0.020016971975564957
2dplanes,NeuralNetFastAI,36691,4077,0.09425646191467074,0.1507144448372332,0.004203156102448702,0.008672005496919155,0.9330390095710754,0.05009295791387558
2dplanes,NeuralNetTorch,36691,4077,0.09469047315916991,0.15212876855721968,0.005045017227530479,0.008033459074795246,0.9315673112869263,0.04723532870411873
2dplanes,RandomForest,36691,4077,0.09548553830039672,0.15410877338174392,0.005518120247870684,0.014411915093660355,0.9269070625305176,0.08688687160611153
2dplanes,XGBoost,36691,4077,0.09558732840592084,0.1529235404602186,0.006134346127510071,0.014301789924502373,0.9276428818702698,0.015688925981521606
APSFailure,CatBoost,68400,7600,0.007761673096358784,0.015222348441923631,0.000924941967241466,0.0023854279424995184,0.9948683977127075,0.08609263971447945
APSFailure,ExtraTrees,68400,7600,0.00930227946270615,0.018289959218764446,0.0012514959089457989,0.0029324025381356478,0.9943420886993408,0.16850030794739723
APSFailure,LightGBM,68400,7600,0.007724283333619762,0.01527021763834372,0.0007160180248320103,0.001966311829164624,0.995394766330719,0.06155749037861824
APSFailure,LinearModel,68400,7600,0.011553998929587275,0.021876148142792238,0.001561762997880578,0.0030470998026430607,0.9930263161659241,0.08594939112663269
APSFailure,NeuralNetFastAI,68400,7600,0.009216042149901208,0.017045400400732175,0.0012875935062766075,0.002501137088984251,0.9940789341926575,0.1353468932211399
APSFailure,NeuralNetTorch,68400,7600,0.010900943821857089,0.021043905813464353,0.0019433088600635529,0.003944776486605406,0.9930263161659241,0.07444223761558533
APSFailure,RandomForest,68400,7600,0.008079287451156488,0.016233637637154696,0.0012763836421072483,0.0033104398753494024,0.9947368502616882,0.1648910492658615
APSFailure,XGBoost,68400,7600,0.007538455337906121,0.014741603770260701,0.0008467050502076745,0.002196207642555237,0.9951315522193909,0.08201968669891357
Amazon_employee_access,CatBoost,29492,3277,0.07183045469668654,0.13352066261821008,0.0042937882244586945,0.014485704712569714,0.9551419019699097,0.02394808828830719
Amazon_employee_access,ExtraTrees,29492,3277,0.08009338288851846,0.14972479970008304,0.0075223445892333984,0.013189536519348621,0.9475129842758179,0.0544443242251873
Amazon_employee_access,LightGBM,29492,3277,0.07933777522133037,0.15140904524574955,0.004671306814998388,0.012156329117715359,0.9502593874931335,0.02514830231666565
Amazon_employee_access,LinearModel,29492,3277,0.08405773294817717,0.1566111901612784,0.004652786999940872,0.00881000142544508,0.9456820487976074,0.027856968343257904
Amazon_employee_access,NeuralNetFastAI,29492,3277,0.08354347297138018,0.1553111648957024,0.005582324229180813,0.011699244379997253,0.9462923407554626,0.032453909516334534
Amazon_employee_access,NeuralNetTorch,29492,3277,0.08580825334859649,0.1610587846253998,0.008755074813961983,0.01625409908592701,0.9459871649742126,0.023216892033815384
Amazon_employee_access,RandomForest,29492,3277,0.07740132271691348,0.14395393852024285,0.008800320327281952,0.01705789379775524,0.9478181004524231,0.058754194527864456
Amazon_employee_access,XGBoost,29492,3277,0.07541127794018522,0.14356268266607225,0.004351565148681402,0.007850224152207375,0.951785147190094,0.02759406343102455
Australian,CatBoost,621,69,0.17539256556091642,0.29029386319930195,0.04997086524963379,0.06503137201070786,0.8695651888847351,0.0031429678201675415
Australian,ExtraTrees,621,69,0.16927595544377674,0.28677125157941635,0.05937346816062927,0.101055808365345,0.8550724387168884,0.0025927983224391937
Australian,LightGBM,621,69,0.17862620094468526,0.3290525063677451,0.06249047443270683,0.0983603373169899,0.8695651888847351,0.00316692516207695
Australian,LinearModel,621,69,0.16906338706749416,0.29055648855025396,0.05706293135881424,0.14345891773700714,0.8840579986572266,0.0027218014001846313
Australian,NeuralNetFastAI,621,69,0.15538368220753304,0.27838975996564386,0.062344688922166824,0.07438932359218597,0.8985507488250732,0.0032593421638011932
Australian,NeuralNetTorch,621,69,0.1655499116451283,0.28229055629406163,0.043446287512779236,0.11216525733470917,0.8840579986572266,0.002904500812292099
Australian,RandomForest,621,69,0.1696793983342911,0.31333435055734454,0.05416093021631241,0.09705483913421631,0.8550724387168884,0.0069684311747550964
Australian,XGBoost,621,69,0.1526091735716492,0.26921085791077926,0.04738447070121765,0.09477508813142776,0.8985507488250732,0.0033873766660690308
Bioresponse,CatBoost,3375,376,0.27785001151451844,0.4358298366825301,0.0266183540225029,0.0597226545214653,0.8218085169792175,0.004729457199573517
Bioresponse,ExtraTrees,3375,376,0.2830324600382792,0.43141360711076865,0.022254278883337975,0.04736236482858658,0.7978723645210266,0.009124606847763062
