dataset,model,cal_size,test_size,Venn-Abers_brier,Venn-Abers_logloss,Venn-Abers_kuiper,Venn-Abers_ece-15,Venn-Abers_accuracy,Venn-Abers_time
fri_c3_1000_25,NeuralNetTorch,900,100,0.08256303348419167,0.1624401623594819,0.038591571152210236,0.09709623456001282,0.9399999976158142,0.017348650959320366
fri_c3_1000_25,RandomForest,900,100,0.13724915564440784,0.2144556988410936,0.026979520916938782,0.07218766212463379,0.8999999761581421,0.012079122941941023
fri_c3_1000_25,XGBoost,900,100,0.09793725184072795,0.1714606968542563,0.025811290368437767,0.061019282788038254,0.9300000071525574,0.017824579030275345
fri_c3_500_10,CatBoost,450,50,0.19437554279993424,0.31957760067338264,0.04811377823352814,0.08043212443590164,0.8600000143051147,0.009568759007379413
fri_c3_500_10,ExtraTrees,450,50,0.2299637726151166,0.38058040219404354,0.06510186940431595,0.1192358136177063,0.8600000143051147,0.008751824963837862
fri_c3_500_10,LightGBM,450,50,0.2542891984285881,0.38976920568157003,0.06367968022823334,0.14848895370960236,0.800000011920929,0.009981188923120499
fri_c3_500_10,LinearModel,450,50,0.4012347980263326,0.583897272802218,0.0862368643283844,0.13552959263324738,0.6399999856948853,0.0036883180728182197
fri_c3_500_10,NeuralNetFastAI,450,50,0.20756185605539276,0.32780531738124663,0.04888994246721268,0.1026223674416542,0.8799999952316284,0.010309069999493659
fri_c3_500_10,NeuralNetTorch,450,50,0.18233461617896407,0.2850753865033898,0.04258137568831444,0.11541751772165298,0.8999999761581421,0.01110840798355639
fri_c3_500_10,RandomForest,450,50,0.21859646536654365,0.35960008169796986,0.06055736914277077,0.09461262077093124,0.8399999737739563,0.00765444990247488
fri_c3_500_10,XGBoost,450,50,0.2003011261078891,0.32797149837580436,0.054982639849185944,0.08922301977872849,0.8600000143051147,0.009361561969853938
fri_c3_500_50,CatBoost,450,50,0.21934928725365269,0.35649825545335984,0.06447266042232513,0.19826577603816986,0.800000011920929,0.009931527078151703
fri_c3_500_50,ExtraTrees,450,50,0.21409966561022606,0.3437782067994018,0.08080416172742844,0.14961904287338257,0.8399999737739563,0.006625561974942684
fri_c3_500_50,LightGBM,450,50,0.199188634410815,0.3333545823237115,0.048732690513134,0.11365748196840286,0.8600000143051147,0.00805153395049274
fri_c3_500_50,LinearModel,450,50,0.40922767228682444,0.5887703028527101,0.10493241250514984,0.14185017347335815,0.6399999856948853,0.004385438980534673
fri_c3_500_50,NeuralNetFastAI,450,50,0.419022919861119,0.60336141956182,0.09617835283279419,0.12163618952035904,0.6200000047683716,0.004485368030145764
fri_c3_500_50,NeuralNetTorch,450,50,0.39669433398775555,0.5830394547985608,0.09801191836595535,0.11107729375362396,0.7200000286102295,0.004400328965857625
fri_c3_500_50,RandomForest,450,50,0.1977659259611249,0.31694041895395814,0.032290875911712646,0.04569332301616669,0.8600000143051147,0.007928499020636082
fri_c3_500_50,XGBoost,450,50,0.18243169210903915,0.31364566276206746,0.05580580234527588,0.08776840567588806,0.8999999761581421,0.009291594033129513
fri_c4_500_100,CatBoost,450,50,0.1710531833194927,0.25878928661883704,0.05030951648950577,0.09440605342388153,0.8799999952316284,0.008459549979306757
fri_c4_500_100,ExtraTrees,450,50,0.14890149309637862,0.2403102217153218,0.058546774089336395,0.08631452918052673,0.8999999761581421,0.006440200959332287
fri_c4_500_100,LightGBM,450,50,0.17155846350766052,0.2746594253447482,0.04540121555328369,0.1069321483373642,0.8999999761581421,0.009291587979532778
fri_c4_500_100,LinearModel,450,50,0.4490727574406015,0.6390841249599499,0.09552450478076935,0.1192188411951065,0.6000000238418579,0.0039832849288359284
fri_c4_500_100,NeuralNetFastAI,450,50,0.44106885647114474,0.6313886937536133,0.10003975033760071,0.1240643784403801,0.6399999856948853,0.004423476988449693
fri_c4_500_100,NeuralNetTorch,450,50,0.43263649671465765,0.6229767501526221,0.11690489947795868,0.12734061479568481,0.6800000071525574,0.004489024053327739
fri_c4_500_100,RandomForest,450,50,0.168366127289492,0.2659024193364864,0.048675358295440674,0.05398523807525635,0.8799999952316284,0.008166927029378712
fri_c4_500_100,XGBoost,450,50,0.14931347404652018,0.24188062181602488,0.058395735919475555,0.06882545351982117,0.8999999761581421,0.008706656051799655
fried,CatBoost,36691,4077,0.09259674204713275,0.14651855308248585,0.006338263396173716,0.01220909133553505,0.9320578575134277,2.4196807050611824
fried,ExtraTrees,36691,4077,0.11407060754219982,0.179583396891863,0.009630958549678326,0.014412776567041874,0.9183223247528076,0.04849093488883227
fried,LightGBM,36691,4077,0.09333007971160327,0.14798957214198005,0.00639305729418993,0.015478570014238358,0.9308314919471741,2.0996296460507438
fried,LinearModel,36691,4077,0.23201592586320488,0.3671589282937196,0.009823997505009174,0.01612205058336258,0.8359087705612183,0.8334678299725056
fried,NeuralNetFastAI,36691,4077,0.09059087881276359,0.14285885709238538,0.006376252975314856,0.01013963297009468,0.9352465271949768,2.356106408056803
fried,NeuralNetTorch,36691,4077,0.09075763187874529,0.14428781056411677,0.006067268550395966,0.01000246126204729,0.9352465271949768,2.2468634319957346
fried,RandomForest,36691,4077,0.11555056288017888,0.18265965165389317,0.009101453237235546,0.018272608518600464,0.9170958995819092,1.0595942409709096
fried,XGBoost,36691,4077,0.09500918350352837,0.15114650385362044,0.007019273471087217,0.009962339885532856,0.9327937364578247,1.936914365971461
gina,CatBoost,2837,316,0.061171248145683366,0.10663611771074588,0.013354655355215073,0.024212641641497612,0.9588607549667358,0.07171983399894089
gina,ExtraTrees,2837,316,0.092370449208617,0.15713469155908827,0.013167638331651688,0.03213484585285187,0.9430379867553711,0.03190124302636832
gina,LightGBM,2837,316,0.06401567746929554,0.11311772714456747,0.009379019029438496,0.01612713746726513,0.9588607549667358,0.06859688006807119
gina,LinearModel,2837,316,0.2267930719217948,0.3677976197049377,0.044473372399806976,0.08623038977384567,0.8354430198669434,0.019346843007951975
gina,NeuralNetFastAI,2837,316,0.0631240874228631,0.11960868304577559,0.03298547863960266,0.06288615614175797,0.9683544039726257,0.04040674294810742
gina,NeuralNetTorch,2837,316,0.06590638945994047,0.12496849277510066,0.03266436979174614,0.05789567530155182,0.9588607549667358,0.04287777794525027
gina,RandomForest,2837,316,0.0923135863816254,0.16004653460795643,0.012197728268802166,0.02206161618232727,0.9398733973503113,0.029436482000164688
