dataset,model,cal_size,test_size,CDF-Spline_brier,CDF-Spline_logloss,CDF-Spline_kuiper,CDF-Spline_ece-15,CDF-Spline_accuracy,CDF-Spline_time
qsar-biodeg,NeuralNetFastAI,949,106,0.16859139643837914,0.26872364604737353,0.029041454195976257,0.06364816427230835,0.8773584961891174,0.006376330740749836
qsar-biodeg,NeuralNetTorch,949,106,0.1826764347438017,0.29921760491459204,0.031695656478405,0.05957522988319397,0.8773584961891174,0.006076185032725334
qsar-biodeg,RandomForest,949,106,0.1673191175164464,,0.0224899984896183,0.08492068946361542,0.8679245114326477,0.0058135343715548515
qsar-biodeg,XGBoost,949,106,0.17294768529062504,0.2910540519076506,0.022486742585897446,0.07440131902694702,0.8867924809455872,0.0058229053393006325
ringnorm,CatBoost,6660,740,0.03324408676638832,,0.008157755248248577,0.015884527936577797,0.9797297120094299,0.037993986159563065
ringnorm,ExtraTrees,6660,740,0.044766546013720175,,0.02246328443288803,0.04567977041006088,0.9783783555030823,0.03841028455644846
ringnorm,LightGBM,6660,740,0.03112371055020438,,0.004382845014333725,0.013499394059181213,0.9824324250221252,0.03800808824598789
ringnorm,LinearModel,6660,740,0.31279703774002143,,0.020406167954206467,0.03946288675069809,0.7783783674240112,0.038574619218707085
ringnorm,NeuralNetFastAI,6660,740,0.033962861326694814,,0.005212071351706982,0.010286654345691204,0.9797297120094299,0.039383319206535816
ringnorm,NeuralNetTorch,6660,740,0.030798764928127633,,0.00924266129732132,0.015353127382695675,0.9797297120094299,0.03971839230507612
ringnorm,RandomForest,6660,740,0.06309606870566972,,0.019998041912913322,0.035155683755874634,0.9635134935379028,0.039608496241271496
ringnorm,XGBoost,6660,740,0.035846511082337024,,0.007803855463862419,0.015288423746824265,0.9783783555030823,0.038653808645904064
rmftsa_ladata,CatBoost,457,51,0.14877120788034187,,0.038206905126571655,0.10256176441907883,0.9019607901573181,0.0035247057676315308
rmftsa_ladata,ExtraTrees,457,51,0.13396362420246857,,0.035374004393815994,0.13142091035842896,0.9215686321258545,0.0034007569774985313
rmftsa_ladata,LightGBM,457,51,0.14322514467797795,,0.03558328002691269,0.10539383441209793,0.8823529481887817,0.0035033682361245155
rmftsa_ladata,LinearModel,457,51,0.11138799264212504,,0.041710589081048965,0.10260959714651108,0.9411764740943909,0.0034955963492393494
rmftsa_ladata,NeuralNetFastAI,457,51,0.10401269039675246,,0.04544077068567276,0.12209314107894897,0.9607843160629272,0.0035196971148252487
rmftsa_ladata,NeuralNetTorch,457,51,0.13593707457851037,,0.037646740674972534,0.10426376014947891,0.9019607901573181,0.0034890510141849518
rmftsa_ladata,RandomForest,457,51,0.15422214765101905,,0.0349992997944355,0.07054591923952103,0.8823529481887817,0.0034825000911951065
rmftsa_ladata,XGBoost,457,51,0.14314257531053493,,0.05365515127778053,0.1278182715177536,0.9411764740943909,0.0034681987017393112
spambase,CatBoost,4140,461,0.08031523894843089,0.14311229439424983,0.024818742647767067,0.03545936197042465,0.952277660369873,0.024187027476727962
spambase,ExtraTrees,4140,461,0.09019465909125879,,0.021906506270170212,0.03328089416027069,0.9479392766952515,0.024387488141655922
spambase,LightGBM,4140,461,0.0857632232665257,0.14988779081140138,0.02845611423254013,0.04512155428528786,0.9392624497413635,0.025121651589870453
spambase,LinearModel,4140,461,0.1043805056358415,0.18242555493629117,0.024891089648008347,0.033010583370923996,0.9284164905548096,0.024681714363396168
spambase,NeuralNetFastAI,4140,461,0.09210983564114208,,0.015947051346302032,0.029552791267633438,0.9392624497413635,0.025832034647464752
spambase,NeuralNetTorch,4140,461,0.08804311413320329,0.15993091605976065,0.022734815254807472,0.02422051690518856,0.9392624497413635,0.025685139931738377
