dataset,model,cal_size,test_size,Kernel_brier,Kernel_logloss,Kernel_kuiper,Kernel_ece-15,Kernel_accuracy,Kernel_time
pc1,LinearModel,998,111,0.10224635899066925,0.19903063774108887,0.03275309130549431,0.02287299558520317,0.9369369149208069,0.00427935179322958
pc1,NeuralNetFastAI,998,111,0.09535299241542816,0.19665373861789703,0.039869312196969986,0.04849303886294365,0.9459459185600281,0.004926769062876701
pc1,NeuralNetTorch,998,111,0.09744959324598312,0.18148575723171234,0.03177136555314064,0.02809131145477295,0.9459459185600281,0.00448187068104744
pc1,RandomForest,998,111,0.08217339962720871,0.15941627323627472,0.024643605574965477,0.03022499568760395,0.9459459185600281,0.005071911960840225
pc1,XGBoost,998,111,0.08807843178510666,0.1714131087064743,0.032712455838918686,0.024933990091085434,0.9459459185600281,0.004563400521874428
pc2,CatBoost,5030,559,0.007084340788424015,0.020796464756131172,0.0035139170940965414,0.0014777935575693846,0.9964221715927124,0.10200290102511644
pc2,ExtraTrees,5030,559,0.007069907616823912,0.019350437447428703,0.0034750173799693584,0.0023674736730754375,0.9964221715927124,0.09738737810403109
pc2,LightGBM,5030,559,0.007091765757650137,0.021009720861911774,0.003522224258631468,0.0013979377690702677,0.9964221715927124,0.09558319114148617
pc2,LinearModel,5030,559,0.007077876478433609,0.020650705322623253,0.003511367365717888,0.0011102319695055485,0.9964221715927124,0.09580389689654112
pc2,NeuralNetFastAI,5030,559,0.007109018508344889,0.02160867303609848,0.0035648923367261887,0.0020847234409302473,0.9964221715927124,0.09667723719030619
pc2,NeuralNetTorch,5030,559,0.007089380174875259,0.02018083818256855,0.0035513858310878277,0.002392970724031329,0.9964221715927124,0.09585083648562431
pc2,RandomForest,5030,559,0.007076832000166178,0.01958007924258709,0.0035348632372915745,0.002330273622646928,0.9964221715927124,0.09858412109315395
pc2,XGBoost,5030,559,0.006687615532428026,0.016345471143722534,0.0033956123515963554,0.0014097611419856548,0.9964221715927124,0.09602805599570274
pc3,CatBoost,1406,157,0.17543157935142517,0.29851531982421875,0.05197902396321297,0.0785943865776062,0.9044585824012756,0.008430317975580692
pc3,ExtraTrees,1406,157,0.16202354431152344,0.2631847858428955,0.04161318391561508,0.05788295716047287,0.8980891704559326,0.009860720485448837
pc3,LightGBM,1406,157,0.17386449873447418,0.29768627882003784,0.04495052248239517,0.0497424490749836,0.8917197585105896,0.008414230309426785
pc3,LinearModel,1406,157,0.1942492574453354,0.3369463384151459,0.04330972582101822,0.07250136137008667,0.8853503465652466,0.00839187577366829
pc3,NeuralNetFastAI,1406,157,0.18092800676822662,0.3061637580394745,0.04744301363825798,0.06902134418487549,0.8917197585105896,0.00825520046055317
pc3,NeuralNetTorch,1406,157,0.17598241567611694,0.30761730670928955,0.04565118998289108,0.06083398684859276,0.8980891704559326,0.008103316649794579
pc3,RandomForest,1406,157,0.16603979468345642,0.278818279504776,0.03546290472149849,0.05148793011903763,0.9044585824012756,0.00924077257514
pc3,XGBoost,1406,157,0.1810712218284607,0.30158305168151855,0.04898691549897194,0.06771279871463776,0.8853503465652466,0.008307374082505703
pc4,CatBoost,1312,146,0.12142236530780792,0.20300081372261047,0.02788344956934452,0.059179551899433136,0.9109588861465454,0.007884879596531391
pc4,ExtraTrees,1312,146,0.12423735857009888,0.20631852746009827,0.021257076412439346,0.05260992795228958,0.9041095972061157,0.008675722405314445
pc4,LightGBM,1312,146,0.12292537838220596,0.20522387325763702,0.024679837748408318,0.06676116585731506,0.9041095972061157,0.008052931167185307
pc4,LinearModel,1312,146,0.11352313309907913,0.18802087008953094,0.023296674713492393,0.04843970760703087,0.9246575236320496,0.008435478433966637
pc4,NeuralNetFastAI,1312,146,0.11657855659723282,0.2046068161725998,0.01924266293644905,0.05371556803584099,0.9383561611175537,0.007040027529001236
pc4,NeuralNetTorch,1312,146,0.13275720179080963,0.21532008051872253,0.031542882323265076,0.05572907626628876,0.9109588861465454,0.008591174148023129
pc4,RandomForest,1312,146,0.12421230226755142,0.19542819261550903,0.02565775252878666,0.0626550242304802,0.9178082346916199,0.0094856396317482
pc4,XGBoost,1312,146,0.13138242065906525,0.22155019640922546,0.028229020535945892,0.05988074466586113,0.9109588861465454,0.007478669285774231
philippine,CatBoost,5248,584,0.3185611367225647,0.4766838252544403,0.0210798978805542,0.05084477365016937,0.7705479264259338,0.1335246954113245
philippine,ExtraTrees,5248,584,0.31607717275619507,0.4752698540687561,0.0174090638756752,0.03861242160201073,0.7654109597206116,0.11501748021692038
