dataset,model,cal_size,test_size,LightGBM_brier,LightGBM_logloss,LightGBM_kuiper,LightGBM_ece-15,LightGBM_accuracy,LightGBM_time
2dplanes,CatBoost,36691,4077,0.09470734334069399,0.15078689330598055,0.008685322478413582,0.009174622595310211,0.9261711835861206,0.7591114938259125
2dplanes,ExtraTrees,36691,4077,0.09472357851597844,0.1521006575738659,0.004856221377849579,0.004405708983540535,0.9251900911331177,0.7630675109103322
2dplanes,LightGBM,36691,4077,0.09429497462128235,0.1508427458134907,0.005038305651396513,0.005960864946246147,0.9278881549835205,0.7323123030364513
2dplanes,LinearModel,36691,4077,0.22526446838132488,0.34926641210748854,0.009729438461363316,0.026791159063577652,0.843021810054779,0.7526517389342189
2dplanes,NeuralNetFastAI,36691,4077,0.09413957728259396,0.1502255489751317,0.004717548377811909,0.004100786987692118,0.9305862188339233,0.7288634851574898
2dplanes,NeuralNetTorch,36691,4077,0.09428037164649233,0.1513745734589452,0.003080405294895172,0.005928369238972664,0.9315673112869263,0.7400010842829943
2dplanes,RandomForest,36691,4077,0.09419643468098718,0.15277622324443157,0.0038039609789848328,0.005127456039190292,0.9323031902313232,0.7490277988836169
2dplanes,XGBoost,36691,4077,0.09426779595129002,0.15053789347753424,0.0045178234577178955,0.006011784076690674,0.9271523356437683,0.7504061022773385
APSFailure,CatBoost,68400,7600,0.007796478123630507,0.015559352317654316,0.0011251682881265879,0.0014117680257186294,0.9952631592750549,1.1732268370687962
APSFailure,ExtraTrees,68400,7600,0.009371426888321557,0.018128012075035147,0.001151363248936832,0.0018366212025284767,0.9940789341926575,1.098669996485114
APSFailure,LightGBM,68400,7600,0.00778016552613159,0.015313696376181489,0.0013142493553459644,0.0010963104432448745,0.9951315522193909,1.190618496388197
APSFailure,LinearModel,68400,7600,0.011760816396364568,0.022617800234566478,0.0016079809283837676,0.0021352109033614397,0.99289470911026,1.1407664958387613
APSFailure,NeuralNetFastAI,68400,7600,0.009335411079345728,0.0175180829668956,0.0014452878385782242,0.001965793315321207,0.9939473867416382,1.1674303179606795
APSFailure,NeuralNetTorch,68400,7600,0.011274741643386136,0.021714603080545226,0.0014578952686861157,0.0030272696167230606,0.9931579232215881,1.2439748337492347
APSFailure,RandomForest,68400,7600,0.007895393584785354,0.01608966647137048,0.0011729535181075335,0.002395705319941044,0.9948683977127075,1.0109096094965935
APSFailure,XGBoost,68400,7600,0.007700521234896955,0.015244456409660193,0.0010125929256901145,0.0016233695205301046,0.9952631592750549,1.1742764934897423
Amazon_employee_access,CatBoost,29492,3277,0.07228241905351408,0.13449823078931714,0.004208747763186693,0.010002541355788708,0.9527006149291992,0.5365105615928769
Amazon_employee_access,ExtraTrees,29492,3277,0.07896159272599093,0.1484526235735347,0.005892151966691017,0.009771892800927162,0.9490387439727783,0.4830628056079149
Amazon_employee_access,LightGBM,29492,3277,0.07923479592731643,0.15122353620626677,0.004174873232841492,0.011038947850465775,0.9487335681915283,0.501787050627172
