dataset,model,cal_size,test_size,Scaling-Binning_brier,Scaling-Binning_logloss,Scaling-Binning_kuiper,Scaling-Binning_ece-15,Scaling-Binning_accuracy,Scaling-Binning_time
GiveMeSomeCredit,RealMLP_GPU,100000,50000,0.10199905795680105,0.18111922583358944,0.022329624742269516,0.0011880304664373398,0.9331600069999695,0.1242276718840003
HR_Analytics_Job_Change_of_Data_Scientists,RealMLP_GPU,12772,6386,0.27292272902416753,0.42824878623682777,0.025410868227481842,0.013410738669335842,0.79314124584198,0.01733902096748352
Is-this-a-good-customer,RealMLP_GPU,1148,575,0.18587835487576582,0.3165382996182531,0.022648964077234268,0.019916893914341927,0.8852173686027527,0.003664969466626644
Marketing_Campaign,RealMLP_GPU,1493,747,0.1493080492945302,0.23920545567664503,0.03153413161635399,0.01477478351444006,0.898259699344635,0.00378553569316864
NATICUSdroid,RealMLP_GPU,4994,2497,0.09269965552033343,0.15480804256276548,0.024309560656547546,0.012119725346565247,0.9343211650848389,0.008603561669588089
bank-marketing,RealMLP_GPU,30140,15071,0.17780857477864934,0.3061212343120256,0.01856357231736183,0.005561886355280876,0.8830203413963318,0.0396030405536294
blood-transfusion-service-center,RealMLP_GPU,498,250,0.3039868784852474,0.4892844930626476,0.04311519116163254,0.061488114297389984,0.800000011920929,0.002696753479540348
churn,RealMLP_GPU,3333,1667,0.07562710235842184,0.16057367225422436,0.02818083018064499,0.03765479847788811,0.9592081308364868,0.006105899810791016
coil2000_insurance_policies,RealMLP_GPU,6548,3274,0.10630404450637405,0.2023543740003186,0.01549146044999361,0.0029654924292117357,0.9404398202896118,0.010625487193465233
credit-g,RealMLP_GPU,666,334,0.3263492684086019,0.49892959947320703,0.05757104977965355,0.04824453592300415,0.7694610953330994,0.002838018350303173
credit_card_clients_default,RealMLP_GPU,20000,10000,0.2654396030696272,0.4237274185707646,0.01547287032008171,0.008158710785210133,0.8216999769210815,0.02731529250741005
customer_satisfaction_in_airline,RealMLP_GPU,86586,43294,0.06080113159303058,0.09707825116885516,0.023849662393331528,0.0032425366807729006,0.9509631991386414,0.09962569829076529
diabetes,RealMLP_GPU,512,256,0.304993700649293,0.4634012386717421,0.02875109575688839,0.05500207096338272,0.77734375,0.0028387047350406647
hazelnut-spread-contaminant-detection,RealMLP_GPU,1600,800,0.08778789806252016,0.1595890014941025,0.025604140013456345,0.016688663512468338,0.949999988079071,0.003864576108753681
heloc,RealMLP_GPU,6972,3487,0.36339532420043397,0.5432530956837831,0.01798265054821968,0.017417699098587036,0.7332950830459595,0.009507091715931892
in_vehicle_coupon_recommendation,RealMLP_GPU,8456,4228,0.3077709834634234,0.47149152671002476,0.04014559090137482,0.041985876858234406,0.785004734992981,0.012275801040232182
jm1,RealMLP_GPU,7256,3629,0.2690267530022154,0.4255754107069289,0.018432430922985077,0.023514099419116974,0.8065582513809204,0.012167179957032204
kddcup09_appetency,RealMLP_GPU,33333,16667,0.03381596017752936,0.07651797125653481,0.006508860737085342,0.0009270721930079162,0.9821803569793701,0.045750703662633896
online_shoppers_intention,RealMLP_GPU,8220,4110,0.1501334782397855,0.24093334517347406,0.027490001171827316,0.007267134729772806,0.8941605687141418,0.011912557296454906
polish_companies_bankruptcy,RealMLP_GPU,3940,1970,0.0694887776430162,0.11931140057543235,0.018690766766667366,0.004412074573338032,0.9472081065177917,0.006557430140674114
qsar-biodeg,RealMLP_GPU,702,352,0.1845650521008518,0.31620976502324605,0.03779095038771629,0.038510505110025406,0.8835227489471436,0.0025956789031624794
seismic-bumps,RealMLP_GPU,1722,862,0.11131581291507746,0.20783354756476624,0.013657845556735992,0.019400950521230698,0.9338747262954712,0.0040427688509225845
taiwanese_bankruptcy_prediction,RealMLP_GPU,4546,2273,0.052187950559547155,0.09145277792781305,0.019546708092093468,0.0036681441124528646,0.967883825302124,0.00755863543599844
APSFailure,BetaTabPFN_GPU,50666,25334,0.030139828198872093,0.049707864282467804,0.014240685850381851,0.0010745219187811017,0.9818820357322693,0.06839873734861612
Amazon_employee_access,BetaTabPFN_GPU,21846,10923,0.09264713220210519,0.17295862609942328,0.014531414955854416,0.00971221923828125,0.9421404600143433,0.029966991394758224
Bank_Customer_Churn,BetaTabPFN_GPU,6666,3334,0.1986238506313018,0.3265802713298229,0.022857388481497765,0.014243228361010551,0.8680263757705688,0.009871108457446098
Bioresponse,BetaTabPFN_GPU,2500,1251,0.31446100512374253,0.47895905150978385,0.03243425488471985,0.03726721927523613,0.7641886472702026,0.004837004467844963
Diabetes130US,BetaTabPFN_GPU,47678,23840,0.15552005353049844,0.283925607550119,0.014172378927469254,0.0054609584622085094,0.9119966626167297,0.06267875339835882
E-CommereShippingData,BetaTabPFN_GPU,7332,3667,0.35774804559515394,0.5057214882735885,0.02294808067381382,0.00929196085780859,0.6913008093833923,0.011813552118837833
Fitness_Club,BetaTabPFN_GPU,1000,500,0.3152311189137831,0.4811016302832248,0.027494005858898163,0.027976643294095993,0.7699999809265137,0.0031000878661870956
GiveMeSomeCredit,BetaTabPFN_GPU,100000,50000,0.102121563863155,0.18174122084330083,0.018846219405531883,0.001293444773182273,0.9331600069999695,0.1226907167583704
HR_Analytics_Job_Change_of_Data_Scientists,BetaTabPFN_GPU,12772,6386,0.2745254818581867,0.4306590201250775,0.027366241440176964,0.014814356341958046,0.7911055684089661,0.017655824311077595
Is-this-a-good-customer,BetaTabPFN_GPU,1148,575,0.18858914143984673,0.3204583674887261,0.02209526300430298,0.027752181515097618,0.8852173686027527,0.0036790892481803894
Marketing_Campaign,BetaTabPFN_GPU,1493,747,0.13721057819014218,0.22259989072477934,0.030393939465284348,0.022916173562407494,0.9089692234992981,0.0038458267226815224
NATICUSdroid,BetaTabPFN_GPU,4994,2497,0.0924952460167086,0.15661734434026117,0.02391420677304268,0.011517771519720554,0.9343211650848389,0.007805921137332916
bank-marketing,BetaTabPFN_GPU,30140,15071,0.17737020043371585,0.30564465940030483,0.017736632376909256,0.0037885105703026056,0.8830203413963318,0.03913563396781683
blood-transfusion-service-center,BetaTabPFN_GPU,498,250,0.30916385576125516,0.5039429210359352,0.057845957577228546,0.10644757747650146,0.8040000200271606,0.0026267580687999725
churn,BetaTabPFN_GPU,3333,1667,0.07443704482980064,0.149644667548604,0.01876869797706604,0.007464830297976732,0.9562087655067444,0.005991708487272263
coil2000_insurance_policies,BetaTabPFN_GPU,6548,3274,0.1063133797736217,0.20318657650716926,0.015034101903438568,0.003212147392332554,0.9404398202896118,0.009927632287144661
credit-g,BetaTabPFN_GPU,666,334,0.3405135738279799,0.5153249942396221,0.05277761444449425,0.06263787299394608,0.7544910311698914,0.0027590282261371613
credit_card_clients_default,BetaTabPFN_GPU,20000,10000,0.2651045734485915,0.4230017609962356,0.017180051654577255,0.009324261918663979,0.8224999904632568,0.02604526747018099
customer_satisfaction_in_airline,BetaTabPFN_GPU,86586,43294,0.07686372602441051,0.1269459578230455,0.022087108343839645,0.003576782299205661,0.9404074549674988,0.10220967419445515
diabetes,BetaTabPFN_GPU,512,256,0.3153636139905327,0.4727552478961661,0.03676313906908035,0.043075159192085266,0.765625,0.0027674855664372444
hazelnut-spread-contaminant-detection,BetaTabPFN_GPU,1600,800,0.1303003232202674,0.22440134168282314,0.02128594182431698,0.01339173223823309,0.918749988079071,0.003824276849627495
heloc,BetaTabPFN_GPU,6972,3487,0.3634799027961734,0.5427336058396147,0.023789677768945694,0.015133255161345005,0.7315744161605835,0.009756634943187237
in_vehicle_coupon_recommendation,BetaTabPFN_GPU,8456,4228,0.3216243229853717,0.49056860006676156,0.022508040070533752,0.014560016803443432,0.767029345035553,0.011643054895102978
jm1,BetaTabPFN_GPU,7256,3629,0.2689810907180322,0.42569561112725185,0.020363783463835716,0.010533914901316166,0.814549446105957,0.011125219985842705
kddcup09_appetency,BetaTabPFN_GPU,33333,16667,0.033961852699357434,0.07852743356619953,0.007557101082056761,0.0012413556687533855,0.9821803569793701,0.04465134255588055
online_shoppers_intention,BetaTabPFN_GPU,8220,4110,0.14657052448075591,0.2351159952756703,0.027784211561083794,0.0055390396155416965,0.8970803022384644,0.012469770386815071
polish_companies_bankruptcy,BetaTabPFN_GPU,3940,1970,0.07305585122931725,0.11953544508105382,0.018010001629590988,0.004073431249707937,0.9416243433952332,0.007094545289874077
qsar-biodeg,BetaTabPFN_GPU,702,352,0.19974197030179291,0.3303606449892839,0.03695815056562424,0.027680734172463417,0.8664772510528564,0.0026808027178049088
seismic-bumps,BetaTabPFN_GPU,1722,862,0.11082331484620839,0.20459122285253523,0.012385549955070019,0.0064512379467487335,0.9338747262954712,0.004331345669925213
taiwanese_bankruptcy_prediction,BetaTabPFN_GPU,4546,2273,0.052513504781983425,0.09248336105035608,0.015587761066854,0.003246650565415621,0.967883825302124,0.007496766746044159
APSFailure,ModernNCA_GPU,50666,25334,0.03096923865769022,0.05242953410232166,0.01590704545378685,0.0034245934803038836,0.9818820357322693,0.06819068267941475
Amazon_employee_access,ModernNCA_GPU,21846,10923,0.09101049874406227,0.17058603044186532,0.02244117110967636,0.019323760643601418,0.9421404600143433,0.0324226263910532
Bank_Customer_Churn,ModernNCA_GPU,6666,3334,0.2009257765077567,0.32991193678804576,0.026233982294797897,0.013428175821900368,0.8638272285461426,0.010153486393392086
Bioresponse,ModernNCA_GPU,2500,1251,0.29900227827888776,0.46705994516017507,0.0352247878909111,0.0661168321967125,0.79536372423172,0.005591258406639099
Diabetes130US,ModernNCA_GPU,47678,23840,0.15509867000282063,0.2828126276553273,0.01545662060379982,0.006901174318045378,0.9119966626167297,0.06614379305392504
E-CommereShippingData,ModernNCA_GPU,7332,3667,0.3614225608161641,0.5125415087112594,0.0466906875371933,0.028232626616954803,0.6793018579483032,0.011419896967709064
Fitness_Club,ModernNCA_GPU,1000,500,0.32383800866278567,0.49654822718268954,0.024546798318624496,0.046497032046318054,0.7680000066757202,0.0031090127304196358
GiveMeSomeCredit,ModernNCA_GPU,100000,50000,0.10198050163010904,0.18123820291504497,0.01372351311147213,0.000968905515037477,0.9331600069999695,0.12814272567629814
HR_Analytics_Job_Change_of_Data_Scientists,ModernNCA_GPU,12772,6386,0.2711724402626542,0.4263998903289333,0.023990213871002197,0.014300151728093624,0.7920451164245605,0.01741010043770075
Is-this-a-good-customer,ModernNCA_GPU,1148,575,0.19157045265023562,0.3271308758086575,0.021941350772976875,0.01226719282567501,0.8852173686027527,0.003703627735376358
Marketing_Campaign,ModernNCA_GPU,1493,747,0.142230543024618,0.23248713831672377,0.03768805414438248,0.041401367634534836,0.9036144614219666,0.0038487492129206657
NATICUSdroid,ModernNCA_GPU,4994,2497,0.09332108699488384,0.15691932875270712,0.03024919703602791,0.016260726377367973,0.9327192902565002,0.007853255607187748
bank-marketing,ModernNCA_GPU,30140,15071,0.17716590650508635,0.30492711968655056,0.01958547905087471,0.00578350992873311,0.8830203413963318,0.03925884421914816
blood-transfusion-service-center,ModernNCA_GPU,498,250,0.322208615980112,0.5074378646325411,0.04257623106241226,0.09642355889081955,0.7799999713897705,0.0025686323642730713
churn,ModernNCA_GPU,3333,1667,0.07483304521357834,0.14981754537980052,0.020128199830651283,0.012973543256521225,0.9562087655067444,0.005984855815768242
coil2000_insurance_policies,ModernNCA_GPU,6548,3274,0.10662100977673378,0.20379110103527948,0.013615264557301998,0.0029380759224295616,0.9404398202896118,0.010342853143811226
credit-g,ModernNCA_GPU,666,334,0.3457296604810371,0.5266985749958281,0.039052098989486694,0.05215730518102646,0.7544910311698914,0.0026626717299222946
credit_card_clients_default,ModernNCA_GPU,20000,10000,0.26466956931746094,0.4229883560806222,0.012597605586051941,0.014496810734272003,0.8223000168800354,0.026283740997314453
