dataset,model,cal_size,test_size,Hist-uniform_brier,Hist-uniform_logloss,Hist-uniform_kuiper,Hist-uniform_ece-15,Hist-uniform_accuracy,Hist-uniform_time
diabetes,LimiX_GPU,512,256,0.3132685038775316,0.4731625572532001,0.04770415276288986,0.04852431267499924,0.7734375,0.00024926476180553436
hazelnut-spread-contaminant-detection,LimiX_GPU,1600,800,0.07576975772032966,0.13430808658538823,0.011391911655664444,0.021792156621813774,0.9524999856948853,0.000283876433968544
heloc,LimiX_GPU,6972,3487,0.36536365720301023,0.5461908642981033,0.026784081012010574,0.022291557863354683,0.7338686585426331,0.0006759073585271835
in_vehicle_coupon_recommendation,LimiX_GPU,8456,4228,0.3534489285938495,0.5315690763821023,0.04092933237552643,0.022612696513533592,0.745742678642273,0.0007042456418275833
jm1,LimiX_GPU,7256,3629,0.2676690934459735,0.42465454731763563,0.037812888622283936,0.014976452104747295,0.8128961324691772,0.0005600936710834503
online_shoppers_intention,LimiX_GPU,8220,4110,0.14546189256496478,0.24891795111313844,0.018997710198163986,0.01042903121560812,0.8963503837585449,0.0006395075470209122
polish_companies_bankruptcy,LimiX_GPU,3940,1970,0.05277309516372724,0.09953754873941838,0.007535269949585199,0.005082175135612488,0.9634518027305603,0.00041021592915058136
qsar-biodeg,LimiX_GPU,702,352,0.18037512764210267,0.3063890899714901,0.0334416963160038,0.03328567370772362,0.8664772510528564,0.0002590399235486984
seismic-bumps,LimiX_GPU,1722,862,0.11240344388498344,0.21462988959940185,0.029092051088809967,0.012351630255579948,0.9338747262954712,0.00029738619923591614
taiwanese_bankruptcy_prediction,LimiX_GPU,4546,2273,0.04544972760060967,0.1265583681220347,0.008778156712651253,0.0050252568908035755,0.9696436524391174,0.00044037215411663055
APSFailure,TabM_GPU,50666,25334,0.009109955816081578,0.02011689778646658,0.0012891367077827454,0.0010912202997133136,0.9940396547317505,0.0021550171077251434
Amazon_employee_access,TabM_GPU,21846,10923,0.09117145896077102,0.17494782942432832,0.028182275593280792,0.00283610075712204,0.9430559277534485,0.0012085605412721634
Bank_Customer_Churn,TabM_GPU,6666,3334,0.1978948838680169,0.32771991227942165,0.020584722980856895,0.01350208930671215,0.865626871585846,0.0005634278059005737
Bioresponse,TabM_GPU,2500,1251,0.2895073631060741,0.4536180027400726,0.025924324989318848,0.016954246908426285,0.7961630821228027,0.0003627277910709381
Diabetes130US,TabM_GPU,47678,23840,0.15640833854123168,0.2869328133449696,0.04263696074485779,0.005518569611012936,0.9119966626167297,0.0021016541868448257
E-CommereShippingData,TabM_GPU,7332,3667,0.354455243116229,0.49619931390973165,0.12013451009988785,0.007618296425789595,0.6839378476142883,0.00064077228307724
Fitness_Club,TabM_GPU,1000,500,0.32589575000324417,0.495066404000304,0.05172253027558327,0.05055860057473183,0.7580000162124634,0.0002734251320362091
GiveMeSomeCredit,TabM_GPU,100000,50000,0.09794595247003651,0.18378717382672702,0.019043125212192535,0.0027908089105039835,0.9387199878692627,0.0049070995301008224
HR_Analytics_Job_Change_of_Data_Scientists,TabM_GPU,12772,6386,0.2706789031909798,0.42674292794355384,0.014293789863586426,0.02080303058028221,0.8022236227989197,0.0009887740015983582
Is-this-a-good-customer,TabM_GPU,1148,575,0.19452192622826853,0.3397447440422817,0.0480743944644928,0.03659386187791824,0.8852173686027527,0.0003078524023294449
Marketing_Campaign,TabM_GPU,1493,747,0.15047164808248084,0.24866409029042483,0.025643114000558853,0.02887607552111149,0.8955823183059692,0.00032260455191135406
NATICUSdroid,TabM_GPU,4994,2497,0.08521449332074832,0.1502807927244166,0.009208849631249905,0.010064823552966118,0.9411293268203735,0.0004791431128978729
bank-marketing,TabM_GPU,30140,15071,0.17302217322424182,0.30312851763000986,0.015012409538030624,0.007608276791870594,0.8941676020622253,0.0016480516642332077
blood-transfusion-service-center,TabM_GPU,498,250,0.30934476783875126,0.4927429903749428,0.03685837239027023,0.06821392476558685,0.7799999713897705,0.0002628359943628311
churn,TabM_GPU,3333,1667,0.06519545133555964,0.13579387687138017,0.01074239145964384,0.010432437062263489,0.9628074169158936,0.0003904905170202255
coil2000_insurance_policies,TabM_GPU,6548,3274,0.1077005996695776,0.21041223865478173,0.026341918855905533,0.007970276288688183,0.9404398202896118,0.0005326122045516968
credit-g,TabM_GPU,666,334,0.340079377429205,0.5192493912079437,0.03336677700281143,0.045305583626031876,0.7455089688301086,0.00026270002126693726
credit_card_clients_default,TabM_GPU,20000,10000,0.26504182233736895,0.4245855840582528,0.03350891172885895,0.010057256557047367,0.8234000205993652,0.0012922585010528564
customer_satisfaction_in_airline,TabM_GPU,86586,43294,0.052823729643785365,0.08900026033735649,0.0035093165934085846,0.0029228178318589926,0.9624890089035034,0.004553100094199181
diabetes,TabM_GPU,512,256,0.3635491154014721,0.5458423702686432,0.06873562186956406,0.12023290246725082,0.76171875,0.00029031001031398773
hazelnut-spread-contaminant-detection,TabM_GPU,1600,800,0.11167206236575716,0.18772251341848595,0.019461581483483315,0.024185558781027794,0.9200000166893005,0.00032889097929000854
heloc,TabM_GPU,6972,3487,0.36681629547461075,0.5468265558432749,0.02229965478181839,0.021374227479100227,0.7298537492752075,0.0007005948573350906
in_vehicle_coupon_recommendation,TabM_GPU,8456,4228,0.30146273170998505,0.46560721935094046,0.027835965156555176,0.02134655974805355,0.7802743911743164,0.0007120203226804733
jm1,TabM_GPU,7256,3629,0.27243760696464775,0.4320824010257645,0.03661361336708069,0.00862270686775446,0.812345027923584,0.0006199702620506287
kddcup09_appetency,TabM_GPU,33333,16667,0.034280141484134836,0.0854887180966904,0.014936486259102821,0.0004996099742129445,0.9821803569793701,0.0015449989587068558
online_shoppers_intention,TabM_GPU,8220,4110,0.14400497084080172,0.2450968848505598,0.015391016378998756,0.0089490357786417,0.9017031788825989,0.0006565209478139877
polish_companies_bankruptcy,TabM_GPU,3940,1970,0.041150659192624874,0.0831925840620738,0.011203698813915253,0.0096402233466506,0.9736040830612183,0.0003883522003889084
qsar-biodeg,TabM_GPU,702,352,0.18835081237181617,0.32636437528307133,0.03674320876598358,0.048305023461580276,0.8806818127632141,0.00024097412824630737
seismic-bumps,TabM_GPU,1722,862,0.11485491436328793,0.21713445123797134,0.026903260499238968,0.007255124393850565,0.9338747262954712,0.00027997419238090515
taiwanese_bankruptcy_prediction,TabM_GPU,4546,2273,0.044916422390722015,0.08942104895115076,0.007458556909114122,0.005241209641098976,0.9705235362052917,0.0004029367119073868
APSFailure,RealMLP_GPU,50666,25334,0.011008836769997513,0.023154270660745883,0.0013286996399983764,0.0010352126555517316,0.9928159713745117,0.0021402016282081604
