dataset,model,cal_size,test_size,Base-model_brier,Base-model_logloss,Base-model_kuiper,Base-model_ece-15,Base-model_accuracy,Base-model_time
online_shoppers_intention,ModernNCA_GPU,8220,4110,0.14020586013793945,0.2267119586467743,0.00713553000241518,0.00882166437804699,0.899756669998169,0
polish_companies_bankruptcy,ModernNCA_GPU,3940,1970,0.03866642713546753,0.07594224065542221,0.004277943633496761,0.01113124843686819,0.9761421084403992,0
qsar-biodeg,ModernNCA_GPU,702,352,0.18944114446640015,0.3354421555995941,0.03080504946410656,0.07936423271894455,0.8607954382896423,0
seismic-bumps,ModernNCA_GPU,1722,862,0.11098922789096832,0.2047272026538849,0.010724090039730072,0.01494720671325922,0.9338747262954712,0
taiwanese_bankruptcy_prediction,ModernNCA_GPU,4546,2273,0.04371441528201103,0.08071666210889816,0.004369393456727266,0.007348931394517422,0.9722833037376404,0
Bank_Customer_Churn,Mitra_GPU,6666,3334,0.19591644406318665,0.3201513886451721,0.008017698302865028,0.019546959549188614,0.8686262965202332,0
E-CommereShippingData,Mitra_GPU,7332,3667,0.35558435320854187,0.49645230174064636,0.015267089009284973,0.0223997849971056,0.6836650967597961,0
Fitness_Club,Mitra_GPU,1000,500,0.3135623633861542,0.4768824279308319,0.023964710533618927,0.053896885365247726,0.7820000052452087,0
Is-this-a-good-customer,Mitra_GPU,1148,575,0.19175846874713898,0.3257599472999573,0.013996325433254242,0.02778303064405918,0.8782608509063721,0
Marketing_Campaign,Mitra_GPU,1493,747,0.1343054324388504,0.2162730097770691,0.013679172843694687,0.02422124333679676,0.8995984196662903,0
NATICUSdroid,Mitra_GPU,4994,2497,0.08418731391429901,0.14197024703025818,0.005922835320234299,0.008997555822134018,0.9407289028167725,0
blood-transfusion-service-center,Mitra_GPU,498,250,0.3061719834804535,0.49020934104919434,0.04692111909389496,0.12042684108018875,0.800000011920929,0
churn,Mitra_GPU,3333,1667,0.04161408543586731,0.09748712927103043,0.012104901485145092,0.012918630614876747,0.976604700088501,0
coil2000_insurance_policies,Mitra_GPU,6548,3274,0.10609128326177597,0.20243027806282043,0.004706148989498615,0.006058310158550739,0.9404398202896118,0
credit-g,Mitra_GPU,666,334,0.3303426206111908,0.5049402117729187,0.0413934588432312,0.06930714845657349,0.757485032081604,0
diabetes,Mitra_GPU,512,256,0.308917373418808,0.46483922004699707,0.02044391632080078,0.06897316873073578,0.765625,0
hazelnut-spread-contaminant-detection,Mitra_GPU,1600,800,0.08289770781993866,0.1419760286808014,0.007221336476504803,0.022498879581689835,0.9437500238418579,0
heloc,Mitra_GPU,6972,3487,0.36232733726501465,0.5424354672431946,0.018986795097589493,0.016845786944031715,0.735589325428009,0
in_vehicle_coupon_recommendation,Mitra_GPU,8456,4228,0.3217405676841736,0.49204763770103455,0.019878551363945007,0.03444718196988106,0.7703405618667603,0
jm1,Mitra_GPU,7256,3629,0.2664175033569336,0.4228646755218506,0.007719367742538452,0.013531059958040714,0.8184072971343994,0
online_shoppers_intention,Mitra_GPU,8220,4110,0.14041775465011597,0.22491586208343506,0.0051446654833853245,0.014013408683240414,0.8995133638381958,0
polish_companies_bankruptcy,Mitra_GPU,3940,1970,0.040110379457473755,0.07565908133983612,0.010062125511467457,0.015168583020567894,0.9746192693710327,0
qsar-biodeg,Mitra_GPU,702,352,0.18523578345775604,0.31583383679389954,0.02540358528494835,0.0476682111620903,0.8778409361839294,0
seismic-bumps,Mitra_GPU,1722,862,0.10859206318855286,0.20195499062538147,0.013176444917917252,0.016895895823836327,0.9338747262954712,0
taiwanese_bankruptcy_prediction,Mitra_GPU,4546,2273,0.043261703103780746,0.07891426980495453,0.0035686534829437733,0.005338297691196203,0.9709634780883789,0
APSFailure,TabDPT_GPU,50666,25334,0.011522985063493252,0.029278427362442017,0.01053259614855051,0.01147029735147953,0.9921054840087891,0
Amazon_employee_access,TabDPT_GPU,21846,10923,0.08186864852905273,0.15900346636772156,0.011654384434223175,0.013009090907871723,0.9485489130020142,0
Bank_Customer_Churn,TabDPT_GPU,6666,3334,0.21227233111858368,0.3822639584541321,0.06286931782960892,0.06909383833408356,0.8668266534805298,0
Bioresponse,TabDPT_GPU,2500,1251,0.2812514305114746,0.43873944878578186,0.03368757665157318,0.04208344593644142,0.8009592294692993,0
Diabetes130US,TabDPT_GPU,47678,23840,0.15586914122104645,0.285101979970932,0.007353963330388069,0.009136307053267956,0.9120385646820068,0
E-CommereShippingData,TabDPT_GPU,7332,3667,0.3652614951133728,0.5109161138534546,0.035088974982500076,0.05629357323050499,0.6801199913024902,0
Fitness_Club,TabDPT_GPU,1000,500,0.4031126797199249,1.15188729763031,0.13342724740505219,0.19485527276992798,0.777999997138977,0
GiveMeSomeCredit,TabDPT_GPU,100000,50000,0.09801695495843887,0.17773061990737915,0.0038839131593704224,0.006164743565022945,0.9374200105667114,0
HR_Analytics_Job_Change_of_Data_Scientists,TabDPT_GPU,12772,6386,0.27290859818458557,0.43411093950271606,0.037828922271728516,0.04191606864333153,0.7981522083282471,0
Is-this-a-good-customer,TabDPT_GPU,1148,575,0.20491626858711243,0.40442487597465515,0.07956186681985855,0.08300657570362091,0.886956512928009,0
