dataset,model,cal_size,test_size,Beta_brier,Beta_logloss,Beta_kuiper,Beta_ece-15,Beta_accuracy,Beta_time
hazelnut-spread-contaminant-detection,ModernNCA_GPU,1600,800,0.08520898811248084,0.16068375118761943,0.01412678137421608,0.033353086560964584,0.9487500190734863,0.0038683265447616577
heloc,ModernNCA_GPU,6972,3487,0.36245917070300915,0.5419260934183376,0.012323394417762756,0.019753972068428993,0.7353025674819946,0.0050867460668087006
in_vehicle_coupon_recommendation,ModernNCA_GPU,8456,4228,0.3176563407600088,0.48697609985232854,0.030766569077968597,0.05958772823214531,0.7741248607635498,0.008517488837242126
jm1,ModernNCA_GPU,7256,3629,0.2639240727106483,0.4202361459731842,0.01245394628494978,0.020361192524433136,0.8128961324691772,0.007622823119163513
kddcup09_appetency,ModernNCA_GPU,33333,16667,0.03371500928216864,0.07751131594818746,0.001373200910165906,0.0011545286979526281,0.9821803569793701,0.017740581184625626
online_shoppers_intention,ModernNCA_GPU,8220,4110,0.14016540072247277,0.22663782081827905,0.006027913652360439,0.01305548008531332,0.9002432823181152,0.00636354461312294
polish_companies_bankruptcy,ModernNCA_GPU,3940,1970,0.04098371466299441,0.08099027696221785,0.012242292985320091,0.019819747656583786,0.9766497611999512,0.004832740873098373
qsar-biodeg,ModernNCA_GPU,702,352,0.19555096211700584,0.32590645133175083,0.031786076724529266,0.06126571074128151,0.8551136255264282,0.0033711791038513184
seismic-bumps,ModernNCA_GPU,1722,862,0.11054431540745548,0.20377678833204987,0.008744549006223679,0.010751334950327873,0.9338747262954712,0.007764171808958054
taiwanese_bankruptcy_prediction,ModernNCA_GPU,4546,2273,0.04380934556222774,0.08117815752712534,0.006338325794786215,0.009526913985610008,0.9718433618545532,0.005902815610170364
Bank_Customer_Churn,Mitra_GPU,6666,3334,0.1959684565836306,0.32045944704396884,0.007562760263681412,0.016263920813798904,0.8677264451980591,0.006027311086654663
E-CommereShippingData,Mitra_GPU,7332,3667,0.35475198815143905,0.49551328079877727,0.012746930122375488,0.012306224554777145,0.6844832301139832,0.008731622248888016
Fitness_Club,Mitra_GPU,1000,500,0.3133882038221613,0.47644277534991814,0.02412509173154831,0.04135753959417343,0.7739999890327454,0.003453511744737625
Is-this-a-good-customer,Mitra_GPU,1148,575,0.19005059668326382,0.32351024456470473,0.0114307701587677,0.018676618114113808,0.8852173686027527,0.0030854493379592896
Marketing_Campaign,Mitra_GPU,1493,747,0.13513789842691418,0.21824810771537473,0.015518449246883392,0.036421820521354675,0.8969210386276245,0.0033264681696891785
NATICUSdroid,Mitra_GPU,4994,2497,0.08419181674143121,0.14203891995924955,0.0060910433530807495,0.009015752002596855,0.9407289028167725,0.005550861358642578
blood-transfusion-service-center,Mitra_GPU,498,250,0.307541171125516,0.489884244531961,0.04943229630589485,0.10628750920295715,0.7960000038146973,0.0030592940747737885
churn,Mitra_GPU,3333,1667,0.041629033729871055,0.09658019379058244,0.011875412426888943,0.015232647769153118,0.976604700088501,0.005242832005023956
coil2000_insurance_policies,Mitra_GPU,6548,3274,0.10603404724042308,0.20227943489043476,0.004973514936864376,0.00524500384926796,0.9404398202896118,0.005506474524736404
credit-g,Mitra_GPU,666,334,0.3329326977685562,0.5096721510192131,0.046273890882730484,0.07448989152908325,0.7455089688301086,0.003232669085264206
diabetes,Mitra_GPU,512,256,0.3090568102283964,0.4654161183238047,0.022493060678243637,0.04269077256321907,0.765625,0.00305885449051857
hazelnut-spread-contaminant-detection,Mitra_GPU,1600,800,0.0839905298229569,0.1429601078803654,0.013374023139476776,0.019966501742601395,0.9424999952316284,0.003214482218027115
heloc,Mitra_GPU,6972,3487,0.36232983341654523,0.542418076935215,0.019099745899438858,0.015187930315732956,0.7361629009246826,0.004754241555929184
in_vehicle_coupon_recommendation,Mitra_GPU,8456,4228,0.3214339902071583,0.4917870827242152,0.01627161353826523,0.0298734363168478,0.7684484124183655,0.00673183798789978
jm1,Mitra_GPU,7256,3629,0.2663912060317531,0.4228274966197815,0.007327001541852951,0.013096763752400875,0.8184072971343994,0.007014654576778412
online_shoppers_intention,Mitra_GPU,8220,4110,0.14036308952667437,0.2248627979886681,0.005878483410924673,0.012041861191391945,0.899756669998169,0.007996615022420883
polish_companies_bankruptcy,Mitra_GPU,3940,1970,0.04074360585747226,0.0773718232941577,0.010393182747066021,0.018628977239131927,0.9746192693710327,0.005132608115673065
qsar-biodeg,Mitra_GPU,702,352,0.187794278326495,0.3173580433840203,0.03329947963356972,0.044927287846803665,0.8607954382896423,0.003230832517147064
seismic-bumps,Mitra_GPU,1722,862,0.10903372233794643,0.2024406357203979,0.013143934309482574,0.013645944185554981,0.9338747262954712,0.00334944948554039
taiwanese_bankruptcy_prediction,Mitra_GPU,4546,2273,0.04323008959680685,0.07889635368947359,0.0034212979953736067,0.007164232432842255,0.9709634780883789,0.0055724866688251495
APSFailure,TabDPT_GPU,50666,25334,0.01144519069238439,0.021122196304910457,0.0011513092322275043,0.0016644708812236786,0.9922239184379578,0.02277221903204918
Amazon_employee_access,TabDPT_GPU,21846,10923,0.08117146601023777,0.15659749242865786,0.0039263758808374405,0.004398463759571314,0.9487320184707642,0.01679304987192154
Bank_Customer_Churn,TabDPT_GPU,6666,3334,0.19959202656961852,0.3272635833422711,0.00798448733985424,0.014485955238342285,0.865626871585846,0.005919154733419418
Bioresponse,TabDPT_GPU,2500,1251,0.2789204277305064,0.43538150255033664,0.022907603532075882,0.04188505932688713,0.8009592294692993,0.0037612617015838623
Diabetes130US,TabDPT_GPU,47678,23840,0.15556406704251075,0.2845061136624473,0.0026988033205270767,0.0036801572423428297,0.9120805263519287,0.019809316843748093
E-CommereShippingData,TabDPT_GPU,7332,3667,0.3566221116420983,0.5001067274193076,0.01912917196750641,0.008433804847300053,0.685028612613678,0.012518126517534256
Fitness_Club,TabDPT_GPU,1000,500,0.31390571069113193,0.4781485786850402,0.021471254527568817,0.04166200011968613,0.7699999809265137,0.0036487802863121033
GiveMeSomeCredit,TabDPT_GPU,100000,50000,0.09803959737937618,0.1771823040659451,0.001242857426404953,0.0031522330828011036,0.9373999834060669,0.03288373351097107
