dataset,model,cal_size,test_size,CB_brier,CB_logloss,CB_kuiper,CB_ece-15,CB_accuracy,CB_time
E-CommereShippingData,RealTabPFN-v2.5,7332,3667,0.359355910240004,0.5009919754446522,0.020052611827850342,0.030411647632718086,0.6741205453872681,0.12860056199133396
Fitness_Club,RealTabPFN-v2.5,1000,500,0.31276672362559793,0.47582422268663643,0.024905182421207428,0.0501699298620224,0.765999972820282,0.055953461211174726
GiveMeSomeCredit,RealTabPFN-v2.5,100000,50000,0.09735141795506,0.1758872178779728,0.0026219708379358053,0.004471702501177788,0.9384400248527527,0.792766282800585
HR_Analytics_Job_Change_of_Data_Scientists,RealTabPFN-v2.5,12772,6386,0.26975795125928265,0.4259500521915973,0.012340918183326721,0.0258543211966753,0.8031631708145142,0.17428410332649946
Is-this-a-good-customer,RealTabPFN-v2.5,1148,575,0.1985942031757872,0.3383572951552976,0.019925113767385483,0.025607988238334656,0.8713043332099915,0.05917388712987304
Marketing_Campaign,RealTabPFN-v2.5,1493,747,0.1337843217423498,0.21414642028191427,0.012426044791936874,0.031324200332164764,0.9009370803833008,0.0622931900434196
NATICUSdroid,RealTabPFN-v2.5,4994,2497,0.08643898371367172,0.1484002516993358,0.008585531264543533,0.0155869722366333,0.9403284192085266,0.09769036807119846
bank-marketing,RealTabPFN-v2.5,30140,15071,0.172144322946384,0.30101187100165,0.002931099385023117,0.0065436591394245625,0.8941012620925903,0.30189914209768176
blood-transfusion-service-center,RealTabPFN-v2.5,498,250,0.3017570356156439,0.47947618062337993,0.05229780077934265,0.08414597064256668,0.8080000281333923,0.05299202585592866
churn,RealTabPFN-v2.5,3333,1667,0.050577650945322475,0.10827493610035221,0.009181945584714413,0.012645439244806767,0.9682063460350037,0.07764768321067095
coil2000_insurance_policies,RealTabPFN-v2.5,6548,3274,0.10590743495680652,0.20155078200446327,0.007333517540246248,0.009026376530528069,0.9404398202896118,0.1271573817357421
credit-g,RealTabPFN-v2.5,666,334,0.3336086060161671,0.5046765546078937,0.026521988213062286,0.060562070459127426,0.7634730339050293,0.05304299294948578
credit_card_clients_default,RealTabPFN-v2.5,20000,10000,0.26311246787492043,0.4210445517422144,0.005072504281997681,0.01286811288446188,0.8226000070571899,0.22770614828914404
customer_satisfaction_in_airline,RealTabPFN-v2.5,86586,43294,0.05399758502530346,0.08750892538871308,0.0017990237101912498,0.0028727096505463123,0.9626275897026062,0.691654184833169
diabetes,RealTabPFN-v2.5,512,256,0.30805331626388527,0.46677924519266717,0.02316826581954956,0.076575368642807,0.7734375,0.050159136299043894
hazelnut-spread-contaminant-detection,RealTabPFN-v2.5,1600,800,0.06545384977499619,0.11622503873963679,0.008585333824157715,0.009548863396048546,0.9587500095367432,0.06491181207820773
heloc,RealTabPFN-v2.5,6972,3487,0.3686644266453692,0.5503352704979223,0.01640753075480461,0.033163320273160934,0.7301405072212219,0.12610217183828354
in_vehicle_coupon_recommendation,RealTabPFN-v2.5,8456,4228,0.3090847588088304,0.47425864108210736,0.010320477187633514,0.024192510172724724,0.7798013091087341,0.1440462777391076
jm1,RealTabPFN-v2.5,7256,3629,0.26286562833269483,0.4170778049313825,0.010670177638530731,0.019061487168073654,0.8189584016799927,0.12770641269162297
kddcup09_appetency,RealTabPFN-v2.5,33333,16667,0.033514972936303324,0.07642056835367639,0.002597840502858162,0.001363904564641416,0.9821803569793701,0.33037779573351145
online_shoppers_intention,RealTabPFN-v2.5,8220,4110,0.1399966068333758,0.22571578252491203,0.0053557432256639,0.010418949648737907,0.9031630158424377,0.1410943460650742
polish_companies_bankruptcy,RealTabPFN-v2.5,3940,1970,0.022901841442252813,0.04942104587928913,0.004785847384482622,0.007465785834938288,0.9873096346855164,0.08956883288919926
qsar-biodeg,RealTabPFN-v2.5,702,352,0.18588374905444793,0.30939517938343264,0.03418740630149841,0.046712204813957214,0.8778409361839294,0.052903249859809875
seismic-bumps,RealTabPFN-v2.5,1722,862,0.1101973490321164,0.20053948369252603,0.009762242436408997,0.010045035742223263,0.9338747262954712,0.06208313535898924
