dataset,model,cal_size,test_size,CIR_brier,CIR_logloss,CIR_kuiper,CIR_ece-15,CIR_accuracy,CIR_time
Diabetes130US,BetaTabPFN_GPU,47678,23840,0.15496761935417966,0.28313824785360847,0.005063686519861221,0.007295683026313782,0.9119547009468079,0.010851048049516976
E-CommereShippingData,BetaTabPFN_GPU,7332,3667,0.35424005831870126,0.5407317142612116,0.01459492277354002,0.015399853698909283,0.6915735006332397,0.003110484918579459
Fitness_Club,BetaTabPFN_GPU,1000,500,0.3137193103395287,0.47889065710791096,0.020016882568597794,0.03913244232535362,0.7720000147819519,0.0018932829843834043
GiveMeSomeCredit,BetaTabPFN_GPU,100000,50000,0.09729746212716833,0.17588957497837887,0.0011068180901929736,0.003007229883223772,0.938040018081665,0.027624399052001536
HR_Analytics_Job_Change_of_Data_Scientists,BetaTabPFN_GPU,12772,6386,0.2719544222639672,0.4274981403750577,0.009805724024772644,0.01701706275343895,0.8031631708145142,0.004690608941018581
Is-this-a-good-customer,BetaTabPFN_GPU,1148,575,0.18990334953989674,0.32260651698879095,0.019262854009866714,0.031417928636074066,0.8765217661857605,0.0018827259773388505
Marketing_Campaign,BetaTabPFN_GPU,1493,747,0.134966265867286,0.21657698908901285,0.014930447563529015,0.025268234312534332,0.9022757411003113,0.001965204020962119
NATICUSdroid,BetaTabPFN_GPU,4994,2497,0.08521411452980938,0.24355095793710393,0.004836640786379576,0.009741787798702717,0.9431317448616028,0.003096509026363492
bank-marketing,BetaTabPFN_GPU,30140,15071,0.172314115445039,0.30037738719000645,0.003621187061071396,0.005828825756907463,0.8933050036430359,0.008053153986111283
blood-transfusion-service-center,BetaTabPFN_GPU,498,250,0.312772231013376,0.5204493715150231,0.06372883915901184,0.0888771265745163,0.8119999766349792,0.0016797319985926151
churn,BetaTabPFN_GPU,3333,1667,0.057589582813219374,0.17037001750115308,0.007788121234625578,0.014981595799326897,0.9640071988105774,0.0022834379924461246
coil2000_insurance_policies,BetaTabPFN_GPU,6548,3274,0.10610049841020461,0.20231622339316985,0.005189207382500172,0.006009542848914862,0.9401344060897827,0.0030534110264852643
credit-g,BetaTabPFN_GPU,666,334,0.3482506867853309,0.5262969794661053,0.04944266378879547,0.08384823054075241,0.727544903755188,0.0018552419496700168
credit_card_clients_default,BetaTabPFN_GPU,20000,10000,0.26361394406674743,0.42087793048668043,0.006141499616205692,0.009308676235377789,0.822700023651123,0.006384382024407387
customer_satisfaction_in_airline,BetaTabPFN_GPU,86586,43294,0.07072804639299018,0.11581085367783969,0.0016802200116217136,0.003525086212903261,0.949508011341095,0.025467491010203958
diabetes,BetaTabPFN_GPU,512,256,0.3166843051300217,0.47676293280542137,0.025199392810463905,0.0478636734187603,0.765625,0.0018451239448040724
hazelnut-spread-contaminant-detection,BetaTabPFN_GPU,1600,800,0.12498148204885728,0.5206088404361225,0.014093690551817417,0.03753497824072838,0.918749988079071,0.0020693480037152767
heloc,BetaTabPFN_GPU,6972,3487,0.3643357051237762,0.5445178596295207,0.013173364102840424,0.0193677619099617,0.7315744161605835,0.0037157470360398293
in_vehicle_coupon_recommendation,BetaTabPFN_GPU,8456,4228,0.32003996144620406,0.48820470584957903,0.011800006031990051,0.021850798279047012,0.768684983253479,0.00395061494782567
jm1,BetaTabPFN_GPU,7256,3629,0.2690342906910494,0.5174000903691558,0.007516601122915745,0.01306240912526846,0.811793863773346,0.0036020230036228895
kddcup09_appetency,BetaTabPFN_GPU,33333,16667,0.033719043717084965,0.07771234294298426,0.0016677341191098094,0.0008412514580413699,0.9821803569793701,0.008473940077237785
online_shoppers_intention,BetaTabPFN_GPU,8220,4110,0.1420056670812109,0.24840748761773723,0.006317228078842163,0.008459638804197311,0.8992700576782227,0.0038261390291154385
polish_companies_bankruptcy,BetaTabPFN_GPU,3940,1970,0.045493825288653644,0.08566704148423868,0.006701038684695959,0.011028463020920753,0.9751269221305847,0.0024635359877720475
qsar-biodeg,BetaTabPFN_GPU,702,352,0.1973977010361539,0.8004553783225293,0.03410494327545166,0.05236552283167839,0.8636363744735718,0.001828955952078104
seismic-bumps,BetaTabPFN_GPU,1722,862,0.10876125324491664,0.20111336028876753,0.008466074243187904,0.012410354800522327,0.9338747262954712,0.0019548069685697556
taiwanese_bankruptcy_prediction,BetaTabPFN_GPU,4546,2273,0.04367557603383084,0.07954740180149508,0.004099654033780098,0.010607417672872543,0.9736031889915466,0.0028258219826966524
APSFailure,ModernNCA_GPU,50666,25334,0.009259004098264419,0.020529978068132785,0.002016881015151739,0.003709397977218032,0.9940791130065918,0.012680202024057508
Amazon_employee_access,ModernNCA_GPU,21846,10923,0.0812717367336298,0.1560595568869079,0.012684162706136703,0.014852188527584076,0.9487320184707642,0.006250876002013683
Bank_Customer_Churn,ModernNCA_GPU,6666,3334,0.19888697403725203,0.3254933271473778,0.007308341562747955,0.017796408385038376,0.8671265840530396,0.003436043974943459
Bioresponse,ModernNCA_GPU,2500,1251,0.2885988439603217,0.45320673839473896,0.019992031157016754,0.03601863607764244,0.79536372423172,0.0021843640133738518
Diabetes130US,ModernNCA_GPU,47678,23840,0.15451608634732866,0.282217488774761,0.003329368308186531,0.004571792669594288,0.9119966626167297,0.012220332049764693
E-CommereShippingData,ModernNCA_GPU,7332,3667,0.3590192420932489,0.5025111657260164,0.02078717201948166,0.031006421893835068,0.6812108159065247,0.0032604699954390526
Fitness_Club,ModernNCA_GPU,1000,500,0.3277638409819648,0.5004454685337076,0.027045011520385742,0.05358358845114708,0.7580000162124634,0.001880630967207253
GiveMeSomeCredit,ModernNCA_GPU,100000,50000,0.09689248181979408,0.17527552391617715,0.0014665424823760986,0.0030417563393712044,0.9382200241088867,0.03121892793569714
HR_Analytics_Job_Change_of_Data_Scientists,ModernNCA_GPU,12772,6386,0.26909713615992614,0.42365334932439086,0.009121090173721313,0.013516929931938648,0.8033197522163391,0.0047697409754619
Is-this-a-good-customer,ModernNCA_GPU,1148,575,0.1918576980896602,0.3286602114670521,0.02221713960170746,0.022899080067873,0.8852173686027527,0.0018065429758280516
Marketing_Campaign,ModernNCA_GPU,1493,747,0.13833542334637794,0.22281770779399024,0.022021504119038582,0.03536303713917732,0.9022757411003113,0.0020035570487380028
NATICUSdroid,ModernNCA_GPU,4994,2497,0.08675939559158824,0.1472704769707921,0.007950627245008945,0.011564294807612896,0.9399279356002808,0.0027057400438934565
bank-marketing,ModernNCA_GPU,30140,15071,0.17155091101810846,0.29881536592240066,0.0032780589535832405,0.004878418520092964,0.8941012620925903,0.008738343953154981
blood-transfusion-service-center,ModernNCA_GPU,498,250,0.3138284811624917,0.5151421066448231,0.04395730420947075,0.0867161825299263,0.7960000038146973,0.001689431956037879
churn,ModernNCA_GPU,3333,1667,0.06274108089040008,0.12956693438172373,0.010994626209139824,0.017529042437672615,0.9610077738761902,0.002282508066855371
coil2000_insurance_policies,ModernNCA_GPU,6548,3274,0.10664059568423219,0.20425739668197324,0.008322658948600292,0.010674996301531792,0.9404398202896118,0.003236828953959048
credit-g,ModernNCA_GPU,666,334,0.3429162485053972,0.5146520488351298,0.04376702755689621,0.07163755595684052,0.742514967918396,0.0017750990809872746
credit_card_clients_default,ModernNCA_GPU,20000,10000,0.26359181758092254,0.42102555875681563,0.006804169155657291,0.014393365941941738,0.8234999775886536,0.00668161001522094
customer_satisfaction_in_airline,ModernNCA_GPU,86586,43294,0.054866202227977806,0.0879125995371735,0.0019407616928219795,0.0030286358669400215,0.9610800743103027,0.02004486497025937
diabetes,ModernNCA_GPU,512,256,0.322615764509468,0.48405163634366616,0.033529289066791534,0.06694184243679047,0.765625,0.001764176064170897
hazelnut-spread-contaminant-detection,ModernNCA_GPU,1600,800,0.08488686319552972,0.25699446265002474,0.012619458138942719,0.029234519228339195,0.9449999928474426,0.0020607999758794904
