dataset,model,cal_size,test_size,TS_brier,TS_logloss,TS_kuiper,TS_ece-15,TS_accuracy,TS_time
diabetes,RealMLP_GPU,512,256,0.30964821577072144,0.47123509645462036,0.037794578820466995,0.07889169454574585,0.7734375,0.0037036091089248657
hazelnut-spread-contaminant-detection,RealMLP_GPU,1600,800,0.08737464994192123,0.15909765660762787,0.01940414309501648,0.03185538947582245,0.9474999904632568,0.0064044855535030365
heloc,RealMLP_GPU,6972,3487,0.3624248802661896,0.5421184301376343,0.016000330448150635,0.028101632371544838,0.734728991985321,0.0200602225959301
in_vehicle_coupon_recommendation,RealMLP_GPU,8456,4228,0.3064134418964386,0.47029852867126465,0.02651425451040268,0.043563488870859146,0.7840586304664612,0.02313218265771866
jm1,RealMLP_GPU,7256,3629,0.2675544023513794,0.4241422116756439,0.013315631076693535,0.015831835567951202,0.8162028193473816,0.020088646560907364
kddcup09_appetency,RealMLP_GPU,33333,16667,0.03353793919086456,0.07561790198087692,0.0024480605497956276,0.0018017340917140245,0.9821803569793701,0.08434788137674332
online_shoppers_intention,RealMLP_GPU,8220,4110,0.14428435266017914,0.23342043161392212,0.008790247142314911,0.01325406413525343,0.9012165665626526,0.02204831689596176
polish_companies_bankruptcy,RealMLP_GPU,3940,1970,0.043963659554719925,0.08652719110250473,0.005185561720281839,0.010025235824286938,0.972588837146759,0.012141916900873184
qsar-biodeg,RealMLP_GPU,702,352,0.1780649572610855,0.30505749583244324,0.025875091552734375,0.052483562380075455,0.8806818127632141,0.004136864095926285
seismic-bumps,RealMLP_GPU,1722,862,0.1090664267539978,0.20470190048217773,0.013273916207253933,0.013885650783777237,0.9338747262954712,0.006852671504020691
taiwanese_bankruptcy_prediction,RealMLP_GPU,4546,2273,0.04508672282099724,0.0810147225856781,0.0066406382247805595,0.011794166639447212,0.968323826789856,0.013550393283367157
APSFailure,BetaTabPFN_GPU,50666,25334,0.009358600713312626,0.017613278701901436,0.0008385605178773403,0.0018715978367254138,0.9939212203025818,0.12494112551212311
Amazon_employee_access,BetaTabPFN_GPU,21846,10923,0.08854042738676071,0.16799557209014893,0.008127197623252869,0.010307149961590767,0.9446122646331787,0.05669236555695534
Bank_Customer_Churn,BetaTabPFN_GPU,6666,3334,0.1965603083372116,0.3219945430755615,0.011455695144832134,0.01911293901503086,0.8686262965202332,0.018505942076444626
Bioresponse,BetaTabPFN_GPU,2500,1251,0.30992186069488525,0.473044753074646,0.024992674589157104,0.04300409182906151,0.7769784331321716,0.008299756795167923
Diabetes130US,BetaTabPFN_GPU,47678,23840,0.1553010642528534,0.283694326877594,0.006362486630678177,0.008527185767889023,0.9119966626167297,0.1203516498208046
E-CommereShippingData,BetaTabPFN_GPU,7332,3667,0.35473087430000305,0.49602070450782776,0.016290947794914246,0.013742241077125072,0.6853013634681702,0.020593203604221344
Fitness_Club,BetaTabPFN_GPU,1000,500,0.3138866126537323,0.47869783639907837,0.026849474757909775,0.06418756395578384,0.7760000228881836,0.0049599409103393555
GiveMeSomeCredit,BetaTabPFN_GPU,100000,50000,0.09752597659826279,0.17657949030399323,0.004650703631341457,0.006480619311332703,0.9379799962043762,0.2442459687590599
HR_Analytics_Job_Change_of_Data_Scientists,BetaTabPFN_GPU,12772,6386,0.27241677045822144,0.42782795429229736,0.014691494405269623,0.020625503733754158,0.7994049191474915,0.03376303240656853
Is-this-a-good-customer,BetaTabPFN_GPU,1148,575,0.18849264085292816,0.32102540135383606,0.017627499997615814,0.030139535665512085,0.8852173686027527,0.005355618894100189
