dataset,model,cal_size,test_size,Venn-Abers_brier,Venn-Abers_logloss,Venn-Abers_kuiper,Venn-Abers_ece-15,Venn-Abers_accuracy,Venn-Abers_time
qsar-biodeg,BetaTabPFN_GPU,702,352,0.2012617976165406,0.3316177316808964,0.03199940174818039,0.0422251857817173,0.8664772510528564,0.009752992540597916
seismic-bumps,BetaTabPFN_GPU,1722,862,0.10855418510704316,0.20044224453878254,0.0151416826993227,0.010965435765683651,0.9338747262954712,0.008929504081606865
taiwanese_bankruptcy_prediction,BetaTabPFN_GPU,4546,2273,0.04389496649261664,0.08049220268760623,0.0067271217703819275,0.010495620779693127,0.9722833037376404,0.0574880875647068
APSFailure,ModernNCA_GPU,50666,25334,0.00931326357399488,0.01794566421999501,0.002543591894209385,0.003860499942675233,0.9940001368522644,4.289299895986915
Amazon_employee_access,ModernNCA_GPU,21846,10923,0.08153053038144553,0.15682760822474687,0.014142274856567383,0.017616715282201767,0.9487320184707642,0.05924882926046848
Bank_Customer_Churn,ModernNCA_GPU,6666,3334,0.19921529845394634,0.32642964822523585,0.006515227258205414,0.01908530294895172,0.8671265840530396,0.05170438438653946
Bioresponse,ModernNCA_GPU,2500,1251,0.2926158826415358,0.457644638010032,0.02411191165447235,0.041435472667217255,0.7945643663406372,0.017554497346282005
Diabetes130US,ModernNCA_GPU,47678,23840,0.15449815661155053,0.28227817851767983,0.00876527838408947,0.0041071088053286076,0.9119966626167297,0.3027939163148403
E-CommereShippingData,ModernNCA_GPU,7332,3667,0.3598137130763317,0.5045619741904825,0.0418289452791214,0.03712855651974678,0.6681210994720459,0.04151805676519871
Fitness_Club,ModernNCA_GPU,1000,500,0.3297043557101495,0.5016579483397509,0.029156018048524857,0.05025691166520119,0.7540000081062317,0.008913109079003334
GiveMeSomeCredit,ModernNCA_GPU,100000,50000,0.09692873622612365,0.17536804894304814,0.002502609044313431,0.0033528953790664673,0.9381999969482422,1.2278537768870592
HR_Analytics_Job_Change_of_Data_Scientists,ModernNCA_GPU,12772,6386,0.2695520427777901,0.4243450716070655,0.034115567803382874,0.014915337786078453,0.8020670413970947,0.06612124852836132
Is-this-a-good-customer,ModernNCA_GPU,1148,575,0.1924207195878292,0.32924836864726004,0.029595136642456055,0.027500230818986893,0.8852173686027527,0.01241818256676197
Marketing_Campaign,ModernNCA_GPU,1493,747,0.13936469525904338,0.22938413381390363,0.025195788592100143,0.052010804414749146,0.9036144614219666,0.02899264357984066
NATICUSdroid,ModernNCA_GPU,4994,2497,0.08809477691322445,0.15210291073898854,0.011438939720392227,0.01936206966638565,0.9391269683837891,0.10084124840795994
bank-marketing,ModernNCA_GPU,30140,15071,0.17188982811862283,0.29942919833212744,0.0045393481850624084,0.005551930051296949,0.8942339420318604,0.1659210156649351
blood-transfusion-service-center,ModernNCA_GPU,498,250,0.30931720688574366,0.49493795011045205,0.049973804503679276,0.07549099624156952,0.7960000038146973,0.004476593807339668
churn,ModernNCA_GPU,3333,1667,0.0637117977682973,0.13213676660551954,0.013348698616027832,0.019064301624894142,0.9610077738761902,0.030194111168384552
coil2000_insurance_policies,ModernNCA_GPU,6548,3274,0.1068299415589263,0.20491380821950733,0.00969470664858818,0.011518565006554127,0.9404398202896118,0.06649559363722801
credit-g,ModernNCA_GPU,666,334,0.34228479974335674,0.5148340947220983,0.043355174362659454,0.06707784533500671,0.742514967918396,0.007568467408418655
credit_card_clients_default,ModernNCA_GPU,20000,10000,0.2634275456114862,0.4208281774146908,0.011587072163820267,0.011793541721999645,0.8230000138282776,0.12149617820978165
customer_satisfaction_in_airline,ModernNCA_GPU,86586,43294,0.0548680253907347,0.08815841867201098,0.0024991733953356743,0.0038081961683928967,0.9611031413078308,3.709910076111555
diabetes,ModernNCA_GPU,512,256,0.32914615323238827,0.4966495640490798,0.025010600686073303,0.04614591598510742,0.76171875,0.005627930164337158
hazelnut-spread-contaminant-detection,ModernNCA_GPU,1600,800,0.0894833326754905,0.16301370498053483,0.018177226185798645,0.0318920724093914,0.9449999928474426,0.027511699125170708
heloc,ModernNCA_GPU,6972,3487,0.3635140250784782,0.5433068220325196,0.014144890010356903,0.017419151961803436,0.7310008406639099,0.04032158851623535
in_vehicle_coupon_recommendation,ModernNCA_GPU,8456,4228,0.3160922924356887,0.48529511703430644,0.03121064603328705,0.049037687480449677,0.7741248607635498,0.05142386816442013
jm1,ModernNCA_GPU,7256,3629,0.26374784412671903,0.4188218824117295,0.011626752093434334,0.015917211771011353,0.8137227892875671,0.04299960844218731
kddcup09_appetency,ModernNCA_GPU,33333,16667,0.03378082266846152,0.07767100502062431,0.001939564011991024,0.0006796494708396494,0.9821803569793701,0.6282778847962618
online_shoppers_intention,ModernNCA_GPU,8220,4110,0.14080569419541775,0.22881738344611766,0.007718997076153755,0.011634785681962967,0.899756669998169,0.17410778999328613
polish_companies_bankruptcy,ModernNCA_GPU,3940,1970,0.041479997579433714,0.08351689384917524,0.013101207092404366,0.01924823224544525,0.9766497611999512,0.09615717642009258
qsar-biodeg,ModernNCA_GPU,702,352,0.19537200660522258,0.3280493152129842,0.03753770887851715,0.06481275707483292,0.8721590638160706,0.012878753244876862
seismic-bumps,ModernNCA_GPU,1722,862,0.1119793380813456,0.2073959937173946,0.015526209026575089,0.014275266788899899,0.9338747262954712,0.02279965952038765
taiwanese_bankruptcy_prediction,ModernNCA_GPU,4546,2273,0.04438590569791194,0.08221139529370136,0.008666832000017166,0.011652917601168156,0.9731632471084595,0.06427860260009766
Bank_Customer_Churn,Mitra_GPU,6666,3334,0.19729941136432266,0.3226686220278973,0.012423466891050339,0.02153136394917965,0.8689262270927429,0.00792345404624939
