dataset,model,cal_size,test_size,CDF-Spline_brier,CDF-Spline_logloss,CDF-Spline_kuiper,CDF-Spline_ece-15,CDF-Spline_accuracy,CDF-Spline_time
credit-g,TabM_GPU,666,334,0.3287944015530034,,0.04045238718390465,0.05579245835542679,0.757485032081604,0.004449527245014906
credit_card_clients_default,TabM_GPU,20000,10000,0.26345834422863823,,0.0063722217455506325,0.011217581108212471,0.8233000040054321,0.1154279331676662
customer_satisfaction_in_airline,TabM_GPU,86586,43294,0.05246496343047044,,0.0009239996434189379,0.0026922214310616255,0.9625121355056763,0.5102683426812291
diabetes,TabM_GPU,512,256,0.3360103487542024,0.5103814444223386,0.04804181680083275,0.08838467299938202,0.765625,0.0035333349369466305
hazelnut-spread-contaminant-detection,TabM_GPU,1600,800,0.10671177331208553,,0.014713292010128498,0.026992639526724815,0.925000011920929,0.010152926202863455
heloc,TabM_GPU,6972,3487,0.3660426381298084,0.5459595102729402,0.013939488679170609,0.023632247000932693,0.7298537492752075,0.04167802399024367
in_vehicle_coupon_recommendation,TabM_GPU,8456,4228,0.3006782710202311,0.4632504624469101,0.013760656118392944,0.023991456255316734,0.7826395630836487,0.04956242488697171
jm1,TabM_GPU,7256,3629,0.2712631521172154,0.43005652538341915,0.006710909307003021,0.013027908280491829,0.8126205801963806,0.04180447617545724
kddcup09_appetency,TabM_GPU,33333,16667,0.033599151308154725,0.07654651344814992,0.0009217620827257633,0.0007757358253002167,0.9821803569793701,0.191726875025779
online_shoppers_intention,TabM_GPU,8220,4110,0.141829955668623,,0.006974511314183474,0.01141281332820654,0.9014598727226257,0.04869673727080226
polish_companies_bankruptcy,TabM_GPU,3940,1970,0.03959314679413567,,0.009674000553786755,0.013478721491992474,0.9751269221305847,0.024173041805624962
qsar-biodeg,TabM_GPU,702,352,0.18244660334670826,0.3075535002593064,0.03410116210579872,0.040183860808610916,0.8892045617103577,0.0049049388617277145
seismic-bumps,TabM_GPU,1722,862,0.11210541354447039,0.20720426115262702,0.01137589942663908,0.015937352553009987,0.9327146410942078,0.010674244724214077
taiwanese_bankruptcy_prediction,TabM_GPU,4546,2273,0.044626918142138164,,0.004898800048977137,0.009612107649445534,0.9718433618545532,0.026704225223511457
APSFailure,RealMLP_GPU,50666,25334,0.011164628103981437,,0.0018799228128045797,0.002995538990944624,0.9926186203956604,0.29311164701357484
Amazon_employee_access,RealMLP_GPU,21846,10923,0.07913924330085925,0.15077275427925255,0.003582015400752425,0.006180864293128252,0.9504714608192444,0.12719092704355717
Bank_Customer_Churn,RealMLP_GPU,6666,3334,0.1978554259746795,,0.008353459648787975,0.017814001068472862,0.8695260882377625,0.038872797042131424
