dataset,model,cal_size,test_size,CB-tiny_brier,CB-tiny_logloss,CB-tiny_kuiper,CB-tiny_ece-15,CB-tiny_accuracy,CB-tiny_time
taiwanese_bankruptcy_prediction,TabM_GPU,4546,2273,0.04593639646314106,0.08456728537079491,0.005210441537201405,0.00928421225398779,0.9731632471084595,0.06327475234866142
APSFailure,RealMLP_GPU,50666,25334,0.010978607008338415,0.0202433797301414,0.0010505616664886475,0.0012818012619391084,0.992697536945343,0.34841422736644745
Amazon_employee_access,RealMLP_GPU,21846,10923,0.07981851335019179,0.15205853572301273,0.004560302942991257,0.007971720770001411,0.9503799080848694,0.1937018185853958
Bank_Customer_Churn,RealMLP_GPU,6666,3334,0.19913365896814197,0.32470185272064755,0.008196193724870682,0.018227271735668182,0.862327516078949,0.08146440237760544
Bioresponse,RealMLP_GPU,2500,1251,0.28062091920647037,0.4383619075565636,0.021527469158172607,0.03918316215276718,0.8001598715782166,0.04937508702278137
Diabetes130US,RealMLP_GPU,47678,23840,0.15318869885907008,0.2792937683127466,0.0036850478500127792,0.0036756282206624746,0.9119966626167297,0.35114897787570953
E-CommereShippingData,RealMLP_GPU,7332,3667,0.35962225798985065,0.5031083216408329,0.02252570539712906,0.03361402451992035,0.6787564754486084,0.09769164025783539
Fitness_Club,RealMLP_GPU,1000,500,0.31587171974931016,0.48379617469652875,0.02542884275317192,0.0405123196542263,0.7699999809265137,0.03192343935370445
GiveMeSomeCredit,RealMLP_GPU,100000,50000,0.09738944326863089,0.17601338280069842,0.0024704542011022568,0.002065739594399929,0.9383000135421753,0.6895330063998699
HR_Analytics_Job_Change_of_Data_Scientists,RealMLP_GPU,12772,6386,0.27176134796185814,0.42718390884710095,0.010559678077697754,0.023928239941596985,0.7973692417144775,0.13176165148615837
Is-this-a-good-customer,RealMLP_GPU,1148,575,0.18806016308392834,0.32073713691325345,0.01875690557062626,0.018649747595191002,0.8852173686027527,0.03547656536102295
Marketing_Campaign,RealMLP_GPU,1493,747,0.14674502331834158,0.23610826608719224,0.009706317447125912,0.023430144414305687,0.8995984196662903,0.03719642385840416
NATICUSdroid,RealMLP_GPU,4994,2497,0.08492113219982425,0.14487943866056235,0.006397174671292305,0.009781405329704285,0.9427312612533569,0.06792827323079109
bank-marketing,RealMLP_GPU,30140,15071,0.1719778907895553,0.3008182702701211,0.003721446730196476,0.006092158146202564,0.8940349221229553,0.24064715951681137
blood-transfusion-service-center,RealMLP_GPU,498,250,0.30992393178962685,0.49387194019359854,0.03340497985482216,0.07745122909545898,0.8119999766349792,0.027066387236118317
churn,RealMLP_GPU,3333,1667,0.06480787532004469,0.13722092823181492,0.02043335884809494,0.023098880425095558,0.9604079127311707,0.054046470671892166
coil2000_insurance_policies,RealMLP_GPU,6548,3274,0.10747025724083055,0.20578068861812576,0.009058661758899689,0.012573064304888248,0.9404398202896118,0.08859958127140999
credit-g,RealMLP_GPU,666,334,0.326792562909427,0.4977624102492395,0.04068462923169136,0.05141792818903923,0.7544910311698914,0.029221955686807632
credit_card_clients_default,RealMLP_GPU,20000,10000,0.26432367401070067,0.42330627706063206,0.008267375640571117,0.01500462181866169,0.8230999708175659,0.177304495126009
customer_satisfaction_in_airline,RealMLP_GPU,86586,43294,0.05350095974377933,0.08532370985612214,0.0014745835214853287,0.002991950139403343,0.9622811675071716,0.611642949283123
diabetes,RealMLP_GPU,512,256,0.30309473389722935,0.4605516015788109,0.02544863149523735,0.06040262430906296,0.78125,0.02698182687163353
hazelnut-spread-contaminant-detection,RealMLP_GPU,1600,800,0.08882081124279502,0.1607283784154526,0.01590394787490368,0.03119516186416149,0.9487500190734863,0.037840086966753006
heloc,RealMLP_GPU,6972,3487,0.3631348942833278,0.5427840197429402,0.012046683579683304,0.023257149383425713,0.7350157499313354,0.09128118678927422
in_vehicle_coupon_recommendation,RealMLP_GPU,8456,4228,0.3052770043606005,0.46915099750115374,0.01733884960412979,0.034124113619327545,0.7807474136352539,0.1077403612434864
jm1,RealMLP_GPU,7256,3629,0.26896899199685026,0.4255144086848314,0.009416434913873672,0.01406915858387947,0.8139983415603638,0.09583904594182968
kddcup09_appetency,RealMLP_GPU,33333,16667,0.03341694676965772,0.0757877291986908,0.0016184479463845491,0.001478157821111381,0.9821803569793701,0.25603191554546356
online_shoppers_intention,RealMLP_GPU,8220,4110,0.14434639432039928,0.23411235618783527,0.005820794031023979,0.011556965298950672,0.9017031788825989,0.10751653090119362
polish_companies_bankruptcy,RealMLP_GPU,3940,1970,0.04475385277756109,0.08725752891314888,0.008196883834898472,0.010486057959496975,0.9730964303016663,0.058219052851200104
qsar-biodeg,RealMLP_GPU,702,352,0.18311137398618565,0.3169951019077344,0.035437051206827164,0.06458982080221176,0.8892045617103577,0.02856609597802162
seismic-bumps,RealMLP_GPU,1722,862,0.11145605924813126,0.20770485598132218,0.007842864841222763,0.00826418399810791,0.9338747262954712,0.039325565099716187
taiwanese_bankruptcy_prediction,RealMLP_GPU,4546,2273,0.04712631477696305,0.08447440758033524,0.00844630878418684,0.010589602403342724,0.967883825302124,0.0636608675122261
APSFailure,BetaTabPFN_GPU,50666,25334,0.00949192464960689,0.017707872292120088,0.0011654808185994625,0.0014970190823078156,0.9940396547317505,0.35251395031809807
Amazon_employee_access,BetaTabPFN_GPU,21846,10923,0.08831823016347282,0.16717198644213063,0.005327463150024414,0.008284633979201317,0.9444291591644287,0.1911349557340145
Bank_Customer_Churn,BetaTabPFN_GPU,6666,3334,0.19790669762132423,0.32331741746771253,0.00787736289203167,0.017673520371317863,0.8674265146255493,0.08116523176431656
Bioresponse,BetaTabPFN_GPU,2500,1251,0.31303016989565285,0.47565664375019995,0.02571970224380493,0.037998076528310776,0.7673860788345337,0.04739900305867195
Diabetes130US,BetaTabPFN_GPU,47678,23840,0.15505758924732335,0.283734125408811,0.003680076450109482,0.002958458848297596,0.9119966626167297,0.33875033631920815
