dataset,model,cal_size,test_size,Platt_brier,Platt_logloss,Platt_kuiper,Platt_ece-15,Platt_accuracy,Platt_time
churn,BetaTabPFN_GPU,3333,1667,0.058632355834510444,0.12364605702592493,0.007809368893504143,0.016054796054959297,0.9634073376655579,0.011547630652785301
coil2000_insurance_policies,BetaTabPFN_GPU,6548,3274,0.10687569569773432,0.20625536733458055,0.010869317688047886,0.007760604377835989,0.9398289322853088,0.017661177553236485
credit-g,BetaTabPFN_GPU,666,334,0.3412038201497229,0.5165578064270122,0.034071244299411774,0.05300126224756241,0.7485029697418213,0.011230445466935635
credit_card_clients_default,BetaTabPFN_GPU,20000,10000,0.26540591828196225,0.4247112216272364,0.013513851910829544,0.025172995403409004,0.8223999738693237,0.040925086475908756
customer_satisfaction_in_airline,BetaTabPFN_GPU,86586,43294,0.07482496536429445,0.13011086964242538,0.009020524099469185,0.01974010281264782,0.9493924975395203,0.19493014458566904
diabetes,BetaTabPFN_GPU,512,256,0.3165973497689496,0.4823765872724862,0.03462912514805794,0.06802117079496384,0.765625,0.007781904190778732
hazelnut-spread-contaminant-detection,BetaTabPFN_GPU,1600,800,0.127896048051852,0.22629689005040304,0.02203758805990219,0.03784748166799545,0.9175000190734863,0.013422471471130848
heloc,BetaTabPFN_GPU,6972,3487,0.3645330563682388,0.5445053475833384,0.015110507607460022,0.023417217656970024,0.7278462648391724,0.019980547949671745
in_vehicle_coupon_recommendation,BetaTabPFN_GPU,8456,4228,0.32051056367228314,0.49041842058424473,0.009794376790523529,0.02652427926659584,0.7665562629699707,0.021744422614574432
jm1,BetaTabPFN_GPU,7256,3629,0.2710978109521781,0.43047914054613384,0.018115732818841934,0.034093618392944336,0.8131716847419739,0.018474087119102478
kddcup09_appetency,BetaTabPFN_GPU,33333,16667,0.03408416386083881,0.08125032114639177,0.0055100624449551105,0.0015996028669178486,0.9821203351020813,0.06178812310099602
online_shoppers_intention,BetaTabPFN_GPU,8220,4110,0.14772435676693146,0.25052748618866477,0.024673568084836006,0.02888771891593933,0.8999999761581421,0.021092948503792286
polish_companies_bankruptcy,BetaTabPFN_GPU,3940,1970,0.04531750983761378,0.09800519170051947,0.013250662945210934,0.011671986430883408,0.9751269221305847,0.013830727897584438
qsar-biodeg,BetaTabPFN_GPU,702,352,0.20138538101004008,0.3337246850705896,0.04086742550134659,0.06463063508272171,0.8693181872367859,0.011082653887569904
seismic-bumps,BetaTabPFN_GPU,1722,862,0.10996277292996211,0.2066804754734543,0.01262999139726162,0.018993280827999115,0.9350348114967346,0.00899514276534319
taiwanese_bankruptcy_prediction,BetaTabPFN_GPU,4546,2273,0.0457546098434891,0.09082608519879405,0.010780536569654942,0.009542000479996204,0.9727232456207275,0.014251095242798328
APSFailure,ModernNCA_GPU,50666,25334,0.009880217623164527,0.02242566199502194,0.003219977021217346,0.002273990772664547,0.9940001368522644,0.07751118578016758
Amazon_employee_access,ModernNCA_GPU,21846,10923,0.08332185842704384,0.16334151204005665,0.015676716342568398,0.012787590734660625,0.9488235712051392,0.03751682583242655
Bank_Customer_Churn,ModernNCA_GPU,6666,3334,0.20061422015434643,0.33359583071842974,0.02054140344262123,0.033875077962875366,0.8686262965202332,0.018326206132769585
Bioresponse,ModernNCA_GPU,2500,1251,0.29005641391203985,0.45662294704346884,0.020013704895973206,0.044635072350502014,0.79536372423172,0.010755201801657677
Diabetes130US,ModernNCA_GPU,47678,23840,0.15489146870717493,0.28334951642661627,0.007483199238777161,0.012780959717929363,0.9120385646820068,0.1158930342644453
E-CommereShippingData,ModernNCA_GPU,7332,3667,0.3619404540858976,0.5088260696557128,0.02781134843826294,0.04185809940099716,0.6648486256599426,0.020845693536102772
Fitness_Club,ModernNCA_GPU,1000,500,0.3224657089892259,0.4912606524680903,0.028345685452222824,0.0514412596821785,0.7620000243186951,0.011880663223564625
GiveMeSomeCredit,ModernNCA_GPU,100000,50000,0.09919638349538339,0.18482993095270195,0.013196773827075958,0.014712760224938393,0.9385600090026855,0.14564386755228043
HR_Analytics_Job_Change_of_Data_Scientists,ModernNCA_GPU,12772,6386,0.2707076727291721,0.4264079231736076,0.01669345796108246,0.024605346843600273,0.8015972375869751,0.026392454281449318
