dataset,model,cal_size,test_size,LightGBM_brier,LightGBM_logloss,LightGBM_kuiper,LightGBM_ece-15,LightGBM_accuracy,LightGBM_time
kddcup09_appetency,TabICL_GPU,33333,16667,0.0337425447183742,0.0775624652098973,0.002114602131769061,0.0012075029080733657,0.9821803569793701,0.6466817879118025
online_shoppers_intention,TabICL_GPU,8220,4110,0.14115140755203293,0.22690722379807818,0.0073804049752652645,0.013468601740896702,0.8980535268783569,0.2548651862889528
polish_companies_bankruptcy,TabICL_GPU,3940,1970,0.042142670023523704,0.08110143872831109,0.006103089079260826,0.0074575794860720634,0.9746192693710327,0.13614396192133427
qsar-biodeg,TabICL_GPU,702,352,0.1801335003307388,0.29774953805017046,0.03835843503475189,0.04520919546484947,0.8806818127632141,0.050489695742726326
seismic-bumps,TabICL_GPU,1722,862,0.11475144413566614,0.21169854892290504,0.01400204561650753,0.01730208285152912,0.9338747262954712,0.05729376897215843
taiwanese_bankruptcy_prediction,TabICL_GPU,4546,2273,0.044568898068648555,0.08280311783367393,0.004632419906556606,0.009110641665756702,0.9722833037376404,0.1315939500927925
Amazon_employee_access,LimiX_GPU,21846,10923,0.0829442925177233,0.15969911630606373,0.0043794806115329266,0.0031739568803459406,0.9476334452629089,0.43402920942753553
Bank_Customer_Churn,LimiX_GPU,6666,3334,0.19825035776198618,0.3251568372821892,0.00814071949571371,0.018086696043610573,0.8680263757705688,0.19950746605172753
Bioresponse,LimiX_GPU,2500,1251,0.2790873422318216,0.4346701237919103,0.026716500520706177,0.04175668582320213,0.8017585873603821,0.09424930065870285
E-CommereShippingData,LimiX_GPU,7332,3667,0.3561295323712532,0.4974888991024147,0.015211910009384155,0.014238198287785053,0.685846745967865,0.22691947501152754
Fitness_Club,LimiX_GPU,1000,500,0.31658567069714516,0.4838672470257585,0.021501556038856506,0.059722982347011566,0.7699999809265137,0.05084466189146042
HR_Analytics_Job_Change_of_Data_Scientists,LimiX_GPU,12772,6386,0.26922363591172016,0.4245935007145718,0.012675650417804718,0.021713130176067352,0.8062950372695923,0.302789808716625
Is-this-a-good-customer,LimiX_GPU,1148,575,0.19134906059699747,0.3283319369310598,0.011274941265583038,0.013325059786438942,0.8817391395568848,0.061777366790920496
Marketing_Campaign,LimiX_GPU,1493,747,0.13802011483985016,0.22182194573197966,0.0119792390614748,0.02705419436097145,0.9022757411003113,0.07587610697373748
NATICUSdroid,LimiX_GPU,4994,2497,0.08512088108302888,0.14754336268345034,0.007149040699005127,0.013310203328728676,0.9435322284698486,0.17901602294296026
bank-marketing,LimiX_GPU,30140,15071,0.17185936605781973,0.29990410443117377,0.006682109087705612,0.008573358878493309,0.8945657014846802,0.6688993647694588
blood-transfusion-service-center,LimiX_GPU,498,250,0.31937318878660187,0.4982264368899855,0.04525553807616234,0.08573737740516663,0.7879999876022339,0.039044785778969526
churn,LimiX_GPU,3333,1667,0.06664250207794965,0.13731737340531253,0.010047181509435177,0.013328724540770054,0.9586082696914673,0.11668726382777095
coil2000_insurance_policies,LimiX_GPU,6548,3274,0.1058232686109141,0.199895558746511,0.005192143842577934,0.005796902813017368,0.9404398202896118,0.1691531538963318
credit-g,LimiX_GPU,666,334,0.3226374747172707,0.5055501380567191,0.04739399254322052,0.09120474010705948,0.796407163143158,0.04787215497344732
credit_card_clients_default,LimiX_GPU,20000,10000,0.2637706343698932,0.4214647629630334,0.004608701914548874,0.008867485448718071,0.8222000002861023,0.4915190003812313
diabetes,LimiX_GPU,512,256,0.3172392366579296,0.48199716326488756,0.031296372413635254,0.039493680000305176,0.7734375,0.041479744017124176
hazelnut-spread-contaminant-detection,LimiX_GPU,1600,800,0.07354483108989988,0.12759259123153774,0.011321727186441422,0.019096991047263145,0.9487500190734863,0.08256692718714476
heloc,LimiX_GPU,6972,3487,0.36308400290493736,0.5426477313807888,0.01790224015712738,0.023985067382454872,0.7344422340393066,0.20424589700996876
in_vehicle_coupon_recommendation,LimiX_GPU,8456,4228,0.35278858401097835,0.5306863465918893,0.01552322506904602,0.028569482266902924,0.7391201257705688,0.2245645341463387
jm1,LimiX_GPU,7256,3629,0.26679785126982786,0.42212609161166986,0.01221516914665699,0.013869578950107098,0.8134472370147705,0.20687626721337438
online_shoppers_intention,LimiX_GPU,8220,4110,0.1430376430111556,0.22995756444610863,0.006198618095368147,0.01162816397845745,0.8980535268783569,0.25657388428226113
polish_companies_bankruptcy,LimiX_GPU,3940,1970,0.05259471143397513,0.0952594235413018,0.00502717774361372,0.008875931613147259,0.9639593958854675,0.1355933640152216
qsar-biodeg,LimiX_GPU,702,352,0.1782869878973772,0.3012710712117636,0.036471325904130936,0.045884642750024796,0.8721590638160706,0.04976847115904093
seismic-bumps,LimiX_GPU,1722,862,0.11297315546439111,0.2130192928016631,0.014045162126421928,0.010999802500009537,0.9338747262954712,0.05895021418109536
taiwanese_bankruptcy_prediction,LimiX_GPU,4546,2273,0.04460566752761709,0.08103598678733485,0.005111795850098133,0.007823014631867409,0.9714034199714661,0.14627042319625616
APSFailure,TabM_GPU,50666,25334,0.008884466570763151,0.016806715905090634,0.0009397114627063274,0.0015932908281683922,0.9940396547317505,1.1400467520579696
Amazon_employee_access,TabM_GPU,21846,10923,0.08928312500538244,0.1673196574652459,0.004269987344741821,0.005440427456051111,0.9423235654830933,0.49671511678025126
Bank_Customer_Churn,TabM_GPU,6666,3334,0.19742880469146482,0.323797404966749,0.007965103723108768,0.019506826996803284,0.86652672290802,0.20167260896414518
Bioresponse,TabM_GPU,2500,1251,0.2891993581677841,0.45016515647558125,0.025118008255958557,0.04341767355799675,0.7889688014984131,0.09951465530321002
Diabetes130US,TabM_GPU,47678,23840,0.15468670786340263,0.2820771824252447,0.003425542265176773,0.005265914835035801,0.9119966626167297,1.0101280501112342
