dataset,model,cal_size,test_size,XGBoost_brier,XGBoost_logloss,XGBoost_kuiper,XGBoost_ece-15,XGBoost_accuracy,XGBoost_time
bank-marketing,ModernNCA_GPU,30140,15071,0.17188069224357605,0.2995428442955017,0.006308649200946093,0.006674486678093672,0.8940349221229553,0.1240436127409339
blood-transfusion-service-center,ModernNCA_GPU,498,250,0.30354607105255127,0.4875623285770416,0.0420612171292305,0.05798317864537239,0.7919999957084656,0.022652036044746637
churn,ModernNCA_GPU,3333,1667,0.0632660984992981,0.1329016387462616,0.014074777252972126,0.021152010187506676,0.9610077738761902,0.032655457966029644
coil2000_insurance_policies,ModernNCA_GPU,6548,3274,0.10717091709375381,0.20650504529476166,0.00832629669457674,0.008000364527106285,0.9404398202896118,0.043662101961672306
credit-g,ModernNCA_GPU,666,334,0.3466576635837555,0.5185325145721436,0.047889817506074905,0.056901488453149796,0.7335329055786133,0.02453040610998869
credit_card_clients_default,ModernNCA_GPU,20000,10000,0.2638080418109894,0.4215165078639984,0.008343899622559547,0.014381309039890766,0.823199987411499,0.08972482802346349
customer_satisfaction_in_airline,ModernNCA_GPU,86586,43294,0.05595790222287178,0.10527630895376205,0.011989139020442963,0.023560447618365288,0.9606873989105225,0.2819561683572829
diabetes,ModernNCA_GPU,512,256,0.34593647718429565,0.5273193120956421,0.030524224042892456,0.07008765637874603,0.7421875,0.024214389268308878
hazelnut-spread-contaminant-detection,ModernNCA_GPU,1600,800,0.09079712629318237,0.16949401795864105,0.023563014343380928,0.04421515017747879,0.9474999904632568,0.026372270192950964
heloc,ModernNCA_GPU,6972,3487,0.3635580837726593,0.5434531569480896,0.015956979244947433,0.018701618537306786,0.7332950830459595,0.04762367997318506
in_vehicle_coupon_recommendation,ModernNCA_GPU,8456,4228,0.31744611263275146,0.4878559112548828,0.029554955661296844,0.05439836159348488,0.7753074765205383,0.050774472299963236
jm1,ModernNCA_GPU,7256,3629,0.2644231617450714,0.4196825921535492,0.011122215539216995,0.01718091033399105,0.8139983415603638,0.046697367914021015
kddcup09_appetency,ModernNCA_GPU,33333,16667,0.033775199204683304,0.07772836089134216,0.0013569628354161978,0.000480407674331218,0.9821803569793701,0.13981907721608877
online_shoppers_intention,ModernNCA_GPU,8220,4110,0.14072421193122864,0.23082922399044037,0.007580064237117767,0.014929063618183136,0.9012165665626526,0.053902245592325926
polish_companies_bankruptcy,ModernNCA_GPU,3940,1970,0.041210174560546875,0.08356115967035294,0.01113874465227127,0.021776443347334862,0.9766497611999512,0.03763629402965307
qsar-biodeg,ModernNCA_GPU,702,352,0.19205635786056519,0.3227858245372772,0.03891647979617119,0.057856813073158264,0.8721590638160706,0.026948879938572645
seismic-bumps,ModernNCA_GPU,1722,862,0.11273185908794403,0.2117716670036316,0.01310385949909687,0.020509637892246246,0.9338747262954712,0.028728064615279436
taiwanese_bankruptcy_prediction,ModernNCA_GPU,4546,2273,0.04511814936995506,0.08339954167604446,0.005949808284640312,0.012160668149590492,0.9709634780883789,0.0365792578086257
Bank_Customer_Churn,Mitra_GPU,6666,3334,0.19831593334674835,0.3254471719264984,0.011675224639475346,0.022852646186947823,0.8689262270927429,0.043252505362033844
E-CommereShippingData,Mitra_GPU,7332,3667,0.3551614582538605,0.5009289383888245,0.0313173308968544,0.023919150233268738,0.6896646022796631,0.04347753105685115
Fitness_Club,Mitra_GPU,1000,500,0.3115103840827942,0.47394469380378723,0.019945431500673294,0.032803650945425034,0.7680000066757202,0.024713264778256416
Is-this-a-good-customer,Mitra_GPU,1148,575,0.19644658267498016,0.33888140320777893,0.017309216782450676,0.020502176135778427,0.8782608509063721,0.02512146206572652
Marketing_Campaign,Mitra_GPU,1493,747,0.14223328232765198,0.2319648116827011,0.016866113990545273,0.038038939237594604,0.8929049372673035,0.02627437561750412
NATICUSdroid,Mitra_GPU,4994,2497,0.08649580180644989,0.15476158261299133,0.014593474566936493,0.023488102480769157,0.9399279356002808,0.03814528789371252
blood-transfusion-service-center,Mitra_GPU,498,250,0.3195748031139374,0.519016444683075,0.05225595831871033,0.11290425062179565,0.8080000281333923,0.02214733697474003
churn,Mitra_GPU,3333,1667,0.042823318392038345,0.10167217999696732,0.014463362284004688,0.01907731592655182,0.9760047793388367,0.029991078190505505
coil2000_insurance_policies,Mitra_GPU,6548,3274,0.10644827038049698,0.20338986814022064,0.00496660266071558,0.003187411231920123,0.9404398202896118,0.04388899402692914
credit-g,Mitra_GPU,666,334,0.33958861231803894,0.5264319777488708,0.04704917222261429,0.07571499794721603,0.7634730339050293,0.023787178099155426
diabetes,Mitra_GPU,512,256,0.3295191824436188,0.4977038502693176,0.032359179109334946,0.04817919433116913,0.74609375,0.023306157905608416
hazelnut-spread-contaminant-detection,Mitra_GPU,1600,800,0.08589471876621246,0.15845204889774323,0.025275733321905136,0.03916972503066063,0.9437500238418579,0.02658108901232481
heloc,Mitra_GPU,6972,3487,0.36369091272354126,0.5437209606170654,0.01180136576294899,0.02075689658522606,0.7375968098640442,0.04916525213047862
in_vehicle_coupon_recommendation,Mitra_GPU,8456,4228,0.3232153654098511,0.4943983852863312,0.037059590220451355,0.0395960658788681,0.767029345035553,0.05314562330022454
jm1,Mitra_GPU,7256,3629,0.26700419187545776,0.4240226745605469,0.014811292290687561,0.018023965880274773,0.8170294761657715,0.04902928275987506
online_shoppers_intention,Mitra_GPU,8220,4110,0.1408439725637436,0.22853100299835205,0.00891608465462923,0.017954299226403236,0.8995133638381958,0.05262175714597106
polish_companies_bankruptcy,Mitra_GPU,3940,1970,0.041502922773361206,0.08074399083852768,0.01160254143178463,0.022332165390253067,0.9746192693710327,0.037335364148020744
qsar-biodeg,Mitra_GPU,702,352,0.18871746957302094,0.3170609772205353,0.03995377942919731,0.04443216323852539,0.8806818127632141,0.024555016309022903
seismic-bumps,Mitra_GPU,1722,862,0.11156927049160004,0.20611055195331573,0.009110677056014538,0.014418266713619232,0.9338747262954712,0.02693473966792226
taiwanese_bankruptcy_prediction,Mitra_GPU,4546,2273,0.04419857636094093,0.08239851146936417,0.004620782565325499,0.00578278349712491,0.9718433618545532,0.03606254095211625
APSFailure,TabDPT_GPU,50666,25334,0.012071534059941769,0.02219642885029316,0.001567081082612276,0.0024633908178657293,0.9916712641716003,0.17942521907389164
Amazon_employee_access,TabDPT_GPU,21846,10923,0.08153250068426132,0.157022625207901,0.004063338041305542,0.004937733523547649,0.9481827616691589,0.09514472167938948
Bank_Customer_Churn,TabDPT_GPU,6666,3334,0.1998763084411621,0.32893818616867065,0.009925512596964836,0.014447984285652637,0.8650270104408264,0.044722260907292366
Bioresponse,TabDPT_GPU,2500,1251,0.2821785509586334,0.4428223967552185,0.028494611382484436,0.048783183097839355,0.8033573031425476,0.029914194252341986
Diabetes130US,TabDPT_GPU,47678,23840,0.15561728179454803,0.28469130396842957,0.004589352756738663,0.002924576634541154,0.9119966626167297,0.17884994763880968
E-CommereShippingData,TabDPT_GPU,7332,3667,0.35575568675994873,0.5029914379119873,0.023242197930812836,0.015613962896168232,0.6885737776756287,0.04584416327998042
Fitness_Club,TabDPT_GPU,1000,500,0.31697794795036316,0.4831082820892334,0.018612489104270935,0.047859076410532,0.7680000066757202,0.02462602686136961
GiveMeSomeCredit,TabDPT_GPU,100000,50000,0.09810297191143036,0.17747138440608978,0.0025756245013326406,0.003644258715212345,0.9373400211334229,0.37431336985901
HR_Analytics_Job_Change_of_Data_Scientists,TabDPT_GPU,12772,6386,0.269140362739563,0.42448094487190247,0.010812796652317047,0.017738381400704384,0.8064516186714172,0.06531312735751271
Is-this-a-good-customer,TabDPT_GPU,1148,575,0.19439047574996948,0.3307262361049652,0.019814061000943184,0.02576645463705063,0.8852173686027527,0.025391390081495047
Marketing_Campaign,TabDPT_GPU,1493,747,0.14439833164215088,0.2336801290512085,0.017028693109750748,0.03451243042945862,0.898259699344635,0.027329211123287678
NATICUSdroid,TabDPT_GPU,4994,2497,0.08119778335094452,0.14796951413154602,0.013022851198911667,0.027131743729114532,0.9471365809440613,0.03769381204620004
bank-marketing,TabDPT_GPU,30140,15071,0.1722482144832611,0.30088919401168823,0.004868848714977503,0.006436137016862631,0.8935040831565857,0.12242701696231961
blood-transfusion-service-center,TabDPT_GPU,498,250,0.3236400783061981,0.5206304788589478,0.0708281546831131,0.12185703217983246,0.800000011920929,0.02319818828254938
churn,TabDPT_GPU,3333,1667,0.06807323545217514,0.1399078369140625,0.012149974703788757,0.015961427241563797,0.9604079127311707,0.03173820162191987
coil2000_insurance_policies,TabDPT_GPU,6548,3274,0.10734061151742935,0.20748639106750488,0.007504617795348167,0.0072769178077578545,0.9404398202896118,0.04504489991813898
credit-g,TabDPT_GPU,666,334,0.35691168904304504,0.5294166207313538,0.02827293798327446,0.05767590552568436,0.727544903755188,0.023564094211906195
credit_card_clients_default,TabDPT_GPU,20000,10000,0.26493608951568604,0.42285194993019104,0.008862584829330444,0.012431184761226177,0.8213000297546387,0.08963316772133112
customer_satisfaction_in_airline,TabDPT_GPU,86586,43294,0.055288612842559814,0.10451462119817734,0.010489149019122124,0.021385345607995987,0.9614958167076111,0.2920207576826215
diabetes,TabDPT_GPU,512,256,0.3214286267757416,0.48126983642578125,0.03210422396659851,0.07470501214265823,0.7421875,0.022945599164813757
hazelnut-spread-contaminant-detection,TabDPT_GPU,1600,800,0.07007571309804916,0.13667945563793182,0.013427136465907097,0.02361295558512211,0.956250011920929,0.026483699213713408
heloc,TabDPT_GPU,6972,3487,0.3674989342689514,0.5483369827270508,0.014033645391464233,0.02105596289038658,0.7298537492752075,0.045961874071508646
in_vehicle_coupon_recommendation,TabDPT_GPU,8456,4228,0.33457645773887634,0.504737377166748,0.027735039591789246,0.02279749885201454,0.7431409358978271,0.05060125980526209
jm1,TabDPT_GPU,7256,3629,0.2546519339084625,0.4051969349384308,0.008256912231445312,0.013265988789498806,0.8241940140724182,0.0476253698579967
kddcup09_appetency,TabDPT_GPU,33333,16667,0.034210335463285446,0.08075037598609924,0.0016155967023223639,0.0009665056131780148,0.9821803569793701,0.13649289030581713
online_shoppers_intention,TabDPT_GPU,8220,4110,0.14229533076286316,0.23261526226997375,0.0068390704691410065,0.015026637353003025,0.9002432823181152,0.049420413095504045
polish_companies_bankruptcy,TabDPT_GPU,3940,1970,0.029882000759243965,0.06305113434791565,0.005396166350692511,0.01027592457830906,0.9796954393386841,0.034764464013278484
qsar-biodeg,TabDPT_GPU,702,352,0.18253666162490845,0.3059607744216919,0.031823545694351196,0.05231268331408501,0.8693181872367859,0.023685951251536608
seismic-bumps,TabDPT_GPU,1722,862,0.11214478313922882,0.20903846621513367,0.00826799962669611,0.010344484820961952,0.9338747262954712,0.030963188037276268
taiwanese_bankruptcy_prediction,TabDPT_GPU,4546,2273,0.044544048607349396,0.0826973095536232,0.0045501417480409145,0.006469526793807745,0.9696436524391174,0.03700271341949701
