dataset,model,cal_size,test_size,CatBoost_brier,CatBoost_logloss,CatBoost_kuiper,CatBoost_ece-15,CatBoost_accuracy,CatBoost_time
Bank_Customer_Churn,LimiX_GPU,6666,3334,0.19762292398941317,0.32389061012252485,0.008605292066931725,0.022090179845690727,0.8680263757705688,1.2358595337718725
Bioresponse,LimiX_GPU,2500,1251,0.27669962334024817,0.4301031039651951,0.026204824447631836,0.034636449068784714,0.798561155796051,0.7661641342565417
E-CommereShippingData,LimiX_GPU,7332,3667,0.3554545382310019,0.49676834263036324,0.01290634274482727,0.014051847159862518,0.6888464689254761,1.202472279779613
Fitness_Club,LimiX_GPU,1000,500,0.3144803081507074,0.4801948050863684,0.017909903079271317,0.047417767345905304,0.7799999713897705,0.4247316028922796
HR_Analytics_Job_Change_of_Data_Scientists,LimiX_GPU,12772,6386,0.2683140769494541,0.42317507749491373,0.009442735463380814,0.018819153308868408,0.8078609704971313,2.2551870378665626
Is-this-a-good-customer,LimiX_GPU,1148,575,0.18921800992796217,0.3233576087108208,0.01156020537018776,0.01709035038948059,0.8852173686027527,0.6183721711859107
Marketing_Campaign,LimiX_GPU,1493,747,0.13474030032205842,0.2172467537317347,0.013644691556692123,0.023237915709614754,0.898259699344635,0.6533158640377223
NATICUSdroid,LimiX_GPU,4994,2497,0.08502033079439264,0.14628564694417867,0.007480408996343613,0.013271857053041458,0.9435322284698486,1.0222663460299373
bank-marketing,LimiX_GPU,30140,15071,0.1716615987549207,0.29936235843606956,0.005592092871665955,0.00884487759321928,0.8943003416061401,5.672557239886373
blood-transfusion-service-center,LimiX_GPU,498,250,0.30983309024609773,0.48952545058506464,0.05422215908765793,0.07142911851406097,0.800000011920929,0.4392303810454905
churn,LimiX_GPU,3333,1667,0.0660749820919804,0.1362147364465581,0.010242374613881111,0.016086500138044357,0.9598080515861511,0.6603376767598093
coil2000_insurance_policies,LimiX_GPU,6548,3274,0.10562745818602672,0.19872651861718915,0.004240192472934723,0.0055549959652125835,0.9404398202896118,1.1317432099021971
credit-g,LimiX_GPU,666,334,0.31536372188754974,0.48478134607706247,0.0493338406085968,0.08225951343774796,0.796407163143158,0.4278002525679767
credit_card_clients_default,LimiX_GPU,20000,10000,0.2636014834132016,0.42109099334960065,0.0034801624715328217,0.009556563571095467,0.8223000168800354,4.866751145105809
diabetes,LimiX_GPU,512,256,0.3144424474436184,0.47650644961936545,0.030134029686450958,0.05349830538034439,0.78125,0.4723641979508102
hazelnut-spread-contaminant-detection,LimiX_GPU,1600,800,0.07345139353546763,0.12710562347378962,0.010141950100660324,0.014735007658600807,0.9487500190734863,0.6381734600290656
heloc,LimiX_GPU,6972,3487,0.3630277730420818,0.5429151339358528,0.019168797880411148,0.01993020437657833,0.7384571433067322,1.0383584201335907
in_vehicle_coupon_recommendation,LimiX_GPU,8456,4228,0.35194056564026005,0.5296545144664181,0.0129910409450531,0.025686955079436302,0.7421948909759521,1.3993709753267467
jm1,LimiX_GPU,7256,3629,0.26617628081248346,0.42079041749840224,0.010751146823167801,0.01407081913203001,0.814549446105957,1.0575668029487133
online_shoppers_intention,LimiX_GPU,8220,4110,0.14266520372254168,0.22833154507097903,0.006333359982818365,0.012904227711260319,0.8980535268783569,1.569315048865974
polish_companies_bankruptcy,LimiX_GPU,3940,1970,0.05226912374953264,0.09372766749316144,0.0035203369334340096,0.0104631083086133,0.9629441499710083,0.8177662449888885
qsar-biodeg,LimiX_GPU,702,352,0.17602424816426163,0.3013949668956682,0.03267623484134674,0.050496090203523636,0.8778409361839294,0.6460152897052467
seismic-bumps,LimiX_GPU,1722,862,0.11026922508938057,0.20667760453332423,0.013376716524362564,0.014611268416047096,0.9338747262954712,0.5778497038409114
taiwanese_bankruptcy_prediction,LimiX_GPU,4546,2273,0.044435399012209574,0.08045150612849175,0.005558567587286234,0.007509623654186726,0.9705235362052917,0.9124789768829942
APSFailure,TabM_GPU,50666,25334,0.008894689806542403,0.016746193188423956,0.0010639508254826069,0.0015671304427087307,0.9940001368522644,9.225031129084527
Amazon_employee_access,TabM_GPU,21846,10923,0.08914292006344797,0.16707385787425644,0.0046504829078912735,0.005203529726713896,0.9426897168159485,4.58830017503351
Bank_Customer_Churn,TabM_GPU,6666,3334,0.19637845725660605,0.3220020231372177,0.007496809586882591,0.022346025332808495,0.8674265146255493,1.1022517918609083
Bioresponse,TabM_GPU,2500,1251,0.2857946540150002,0.44586068813091956,0.018045470118522644,0.044477030634880066,0.7897681593894958,0.7536586970090866
Diabetes130US,TabM_GPU,47678,23840,0.1545824835785414,0.2817925872115005,0.003211233764886856,0.0038510493468493223,0.9119966626167297,8.475743759889156
E-CommereShippingData,TabM_GPU,7332,3667,0.35880002872361355,0.5011536585650929,0.025433950126171112,0.03991576284170151,0.6872102618217468,1.6230929610319436
Fitness_Club,TabM_GPU,1000,500,0.32274762192562556,0.48982712306821163,0.02409963309764862,0.05198931694030762,0.7699999809265137,0.7192388554103673
GiveMeSomeCredit,TabM_GPU,100000,50000,0.09699156453172542,0.1753324708069315,0.0015138126909732819,0.0026855512987822294,0.9383999705314636,15.373111479915679
HR_Analytics_Job_Change_of_Data_Scientists,TabM_GPU,12772,6386,0.27018695356671424,0.42552499097239516,0.012309238314628601,0.01845386065542698,0.8025367856025696,3.269243231974542
Is-this-a-good-customer,TabM_GPU,1148,575,0.1959292517741352,0.33469209073915485,0.020994964987039566,0.03943876177072525,0.8852173686027527,0.6245222520083189
Marketing_Campaign,TabM_GPU,1493,747,0.14433053262722206,0.23050232906618845,0.015288224443793297,0.029918959364295006,0.898259699344635,0.5646886769682169
NATICUSdroid,TabM_GPU,4994,2497,0.08453449830864784,0.14346033873850453,0.006686871871352196,0.016322704032063484,0.9411293268203735,0.9581861686892807
bank-marketing,TabM_GPU,30140,15071,0.17196190490472876,0.299721482960607,0.0046393293887376785,0.007533101364970207,0.8941012620925903,5.37729072663933
blood-transfusion-service-center,TabM_GPU,498,250,0.30526373153742703,0.48204307251137707,0.04309030994772911,0.06424331665039062,0.7839999794960022,0.6164591237902641
churn,TabM_GPU,3333,1667,0.06517485173755276,0.1381814216354656,0.016301900148391724,0.01920180581510067,0.962207555770874,0.7829869478009641
coil2000_insurance_policies,TabM_GPU,6548,3274,0.10639810679877643,0.20363546839276694,0.006388366222381592,0.006896368693560362,0.9404398202896118,1.070425873156637
credit-g,TabM_GPU,666,334,0.33743781960034136,0.5106126274145797,0.048686668276786804,0.04785827919840813,0.7514970302581787,0.44800858991220593
credit_card_clients_default,TabM_GPU,20000,10000,0.26373249363354634,0.42130755165181527,0.006875708699226379,0.010653224773705006,0.8233000040054321,3.6768523938953876
customer_satisfaction_in_airline,TabM_GPU,86586,43294,0.05252629375360662,0.08310769847828214,0.0011282265186309814,0.002164566656574607,0.9626045227050781,16.952203060034662
diabetes,TabM_GPU,512,256,0.34279365732375044,0.5173097887887179,0.0435062050819397,0.07622360438108444,0.76171875,0.4130663052201271
hazelnut-spread-contaminant-detection,TabM_GPU,1600,800,0.10995709180217879,0.18235472982753712,0.015693262219429016,0.029387377202510834,0.9225000143051147,0.5800848840735853
heloc,TabM_GPU,6972,3487,0.36618663044572686,0.5461046304248361,0.01389317587018013,0.02301502786576748,0.7295669913291931,0.9436107538640499
in_vehicle_coupon_recommendation,TabM_GPU,8456,4228,0.30074763329193555,0.46365827668521986,0.014292940497398376,0.024987710639834404,0.7819299697875977,1.4239256461150944
jm1,TabM_GPU,7256,3629,0.2713425750385743,0.43037274866278175,0.006796658504754305,0.011381163261830807,0.8104161024093628,1.184840315952897
kddcup09_appetency,TabM_GPU,33333,16667,0.033538141660168955,0.07654354152891876,0.001395183615386486,0.001081406488083303,0.9821803569793701,6.636171351186931
online_shoppers_intention,TabM_GPU,8220,4110,0.1421242576327286,0.22843785023158797,0.007253699470311403,0.01370956003665924,0.9014598727226257,1.3184369280934334
polish_companies_bankruptcy,TabM_GPU,3940,1970,0.04050367207556124,0.07701134058773312,0.01031225360929966,0.012570022605359554,0.9751269221305847,0.956123105250299
qsar-biodeg,TabM_GPU,702,352,0.18527237105332375,0.3108665342464214,0.03238712251186371,0.045247387140989304,0.8721590638160706,0.5950326011516154
seismic-bumps,TabM_GPU,1722,862,0.1132553411170489,0.209484676940914,0.01444809976965189,0.014007107354700565,0.9338747262954712,0.48594173369929194
taiwanese_bankruptcy_prediction,TabM_GPU,4546,2273,0.04494273971302288,0.08300738664408029,0.005369536578655243,0.010089512914419174,0.9736031889915466,0.7297835070639849
APSFailure,RealMLP_GPU,50666,25334,0.010905186183608797,0.020086237819919365,0.0009672287851572037,0.0015566701767966151,0.9927765130996704,8.825045172125101
Amazon_employee_access,RealMLP_GPU,21846,10923,0.07954919940616906,0.15167235650926936,0.0050913989543914795,0.00913042202591896,0.9501968026161194,3.868921420071274
Bank_Customer_Churn,RealMLP_GPU,6666,3334,0.19811005287551378,0.32395542603721855,0.008123038336634636,0.020391318947076797,0.8659268021583557,1.1997281890362501
Bioresponse,RealMLP_GPU,2500,1251,0.27957145600427236,0.43856157704081095,0.0225696861743927,0.045264072716236115,0.8001598715782166,0.7301806625910103
Diabetes130US,RealMLP_GPU,47678,23840,0.15305910845261864,0.278795464196691,0.004013167694211006,0.00664436724036932,0.9119966626167297,7.980465935077518
E-CommereShippingData,RealMLP_GPU,7332,3667,0.3582501392176315,0.501549733066864,0.020524263381958008,0.03322720155119896,0.6708481311798096,1.4444581125862896
Fitness_Club,RealMLP_GPU,1000,500,0.31629770284599057,0.48376520162016823,0.02700759470462799,0.03846333920955658,0.7739999890327454,0.495333197992295
GiveMeSomeCredit,RealMLP_GPU,100000,50000,0.09734396956738205,0.175887956323798,0.0013828128576278687,0.0024360977113246918,0.9383400082588196,14.344803848769516
HR_Analytics_Job_Change_of_Data_Scientists,RealMLP_GPU,12772,6386,0.2714775506691125,0.4266905841613128,0.009763021022081375,0.019809875637292862,0.8012840747833252,2.437880638986826
Is-this-a-good-customer,RealMLP_GPU,1148,575,0.1866949441474031,0.31816819845819183,0.017638638615608215,0.021159062162041664,0.8852173686027527,0.5097395149059594
Marketing_Campaign,RealMLP_GPU,1493,747,0.14661785499126373,0.2367887343855149,0.007561223581433296,0.01951436698436737,0.898259699344635,0.5206648781895638
NATICUSdroid,RealMLP_GPU,4994,2497,0.08377149881765059,0.14255973224921442,0.005155379883944988,0.01049948949366808,0.9419302940368652,1.0620982348918915
bank-marketing,RealMLP_GPU,30140,15071,0.1715079422058617,0.2994010117775506,0.004848646931350231,0.008072634227573872,0.8939021825790405,5.387344934977591
blood-transfusion-service-center,RealMLP_GPU,498,250,0.31133522004963715,0.493438473957826,0.0403449647128582,0.07551226764917374,0.8080000281333923,0.5747041339054704
churn,RealMLP_GPU,3333,1667,0.06413528581512978,0.13790695751115922,0.02371201664209366,0.028510889038443565,0.9610077738761902,0.7345443200320005
coil2000_insurance_policies,RealMLP_GPU,6548,3274,0.10621768918683053,0.20299764917338217,0.007069483399391174,0.0076633961871266365,0.9404398202896118,0.9666108498349786
credit-g,RealMLP_GPU,666,334,0.3253253200241775,0.496787841066171,0.046454355120658875,0.062246695160865784,0.757485032081604,0.4445622581988573
